age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
,State-gov,77516,,13,,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,
50,Self-emp-not-inc,83311,Bachelors,13,,Exec-managerial,,White,Male,0,0,,United-States,<=50K
38,Private,215646,,,Divorced,Handlers-cleaners,,White,Male,0,0,,United-States,
,Private,234721,,,Married-civ-spouse,Handlers-cleaners,,Black,Male,0,0,,United-States,
28,Private,338409,,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
,Private,284582,Masters,14,,Exec-managerial,,White,Female,0,0,,United-States,
49,,160187,,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,
,Self-emp-not-inc,209642,,,Married-civ-spouse,Exec-managerial,,White,Male,0,0,45,United-States,
31,,45781,,,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K
,,159449,Bachelors,13,,Exec-managerial,,White,Male,5178,0,,United-States,
,,280464,Some-college,,,Exec-managerial,,Black,Male,0,0,80,United-States,>50K
30,State-gov,141297,,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,,India,>50K
,,122272,Bachelors,13,Never-married,Adm-clerical,,White,Female,0,0,30,United-States,
32,,205019,,12,,Sales,Not-in-family,Black,Male,0,0,,United-States,
34,,245487,,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
,Self-emp-not-inc,176756,HS-grad,,,Farming-fishing,Own-child,White,Male,0,0,,United-States,<=50K
32,Private,186824,,9,Never-married,Machine-op-inspct,,White,Male,0,0,40,United-States,<=50K
38,Private,28887,11th,,,Sales,Husband,White,Male,0,0,50,United-States,<=50K
,Self-emp-not-inc,292175,Masters,,,Exec-managerial,,White,Female,0,0,45,United-States,
,,193524,Doctorate,,,Prof-specialty,Husband,White,Male,0,0,,United-States,
54,,302146,,,,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,76845,,,Married-civ-spouse,Farming-fishing,,Black,Male,0,0,40,United-States,
43,,117037,,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,,United-States,<=50K
59,,109015,,,,Tech-support,,White,Female,0,0,,United-States,<=50K
56,,216851,,13,,Tech-support,,White,Male,0,0,40,United-States,
19,,168294,HS-grad,,Never-married,Craft-repair,Own-child,White,Male,0,0,,United-States,
,,367260,HS-grad,,,Exec-managerial,,White,Male,0,0,,United-States,
,Private,193366,,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,,United-States,
,,190709,,12,,Protective-serv,,White,Male,0,0,,United-States,<=50K
20,,266015,Some-college,,,Sales,,Black,Male,0,0,,United-States,<=50K
,Private,386940,Bachelors,,,Exec-managerial,,White,Male,0,1408,,United-States,
30,Federal-gov,59951,Some-college,10,,Adm-clerical,Own-child,White,Male,0,0,,United-States,<=50K
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,,Black,Male,0,0,,United-States,
48,,242406,,7,,Machine-op-inspct,,White,Male,0,0,,Puerto-Rico,
,,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,,United-States,<=50K
,,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,,White,Female,0,0,25,United-States,<=50K
48,,265477,,,,Prof-specialty,Husband,White,Male,0,0,,United-States,<=50K
31,Private,507875,,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,
,Self-emp-not-inc,88506,Bachelors,,,Prof-specialty,,White,Male,0,0,40,United-States,<=50K
24,,172987,,13,Married-civ-spouse,Tech-support,,White,Male,0,0,,United-States,<=50K
,,94638,HS-grad,,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,289980,HS-grad,,,Handlers-cleaners,Not-in-family,White,Male,0,0,,United-States,
,,337895,,,,Prof-specialty,Husband,Black,Male,0,0,,United-States,
53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,,White,Male,0,0,,United-States,
44,Private,128354,Masters,,,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
41,State-gov,101603,Assoc-voc,,,Craft-repair,,White,Male,0,0,,United-States,
29,Private,271466,,11,Never-married,Prof-specialty,,White,Male,0,0,,United-States,
