marital-status,education,workclass
,,State-gov
,,Self-emp-not-inc
Divorced,,Private
,,Private
Married-civ-spouse,,Private
Married-civ-spouse,Masters,Private
Married-spouse-absent,9th,Private
,,Self-emp-not-inc
,Masters,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,,Private
Married-civ-spouse,,State-gov
,,Private
,Assoc-acdm,Private
,Assoc-voc,Private
,7th-8th,Private
Never-married,,Self-emp-not-inc
Never-married,HS-grad,Private
,,Private
,,Self-emp-not-inc
,,Private
Separated,HS-grad,Private
Married-civ-spouse,9th,Federal-gov
,11th,Private
Divorced,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,HS-grad,Private
Divorced,HS-grad,Private
Married-civ-spouse,HS-grad,Private
,Assoc-acdm,Local-gov
Never-married,Some-college,Private
,Bachelors,Private
,,Federal-gov
,,State-gov
Never-married,11th,Private
,,Private
,,Private
Married-civ-spouse,Some-college,Private
,Assoc-acdm,Self-emp-not-inc
Married-civ-spouse,,Private
,,Self-emp-not-inc
,,Private
,,Private
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Federal-gov
,,Private
,,Private
,,State-gov
Never-married,,Private
Married-civ-spouse,,Private
,,Private
,,Private
Divorced,Bachelors,Federal-gov
,HS-grad,Self-emp-inc
,Some-college,Private
Married-civ-spouse,5th-6th,Private
,,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,HS-grad,Private
,,Private
Married-civ-spouse,,Private
Married-civ-spouse,,Private
Divorced,Some-college,Private
Married-civ-spouse,,Private
,Some-college,Private
,HS-grad,Private
,,Self-emp-inc
Never-married,,Private
Separated,Bachelors,Private
,,Self-emp-not-inc
,Some-college,Private
Married-civ-spouse,,Private
Never-married,HS-grad,Private
,,Private
Never-married,11th,Private
Married-civ-spouse,7th-8th,Local-gov
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Private
,,Private
Married-civ-spouse,,Private
,,Private
,HS-grad,Private
Married-civ-spouse,HS-grad,Local-gov
,,Private
,9th,Private
Never-married,Doctorate,Federal-gov
,Assoc-voc,Private
Divorced,,Private
,,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,Some-college,Local-gov
,,Self-emp-not-inc
,,Private
,Assoc-acdm,Private
Never-married,HS-grad,Federal-gov
Married-civ-spouse,Masters,Private
,Bachelors,Private
,,Self-emp-not-inc
,Some-college,Private
,HS-grad,Private
,,Self-emp-inc
,11th,Private
Never-married,HS-grad,Local-gov
Married-civ-spouse,HS-grad,Private
Never-married,,Private
Married-civ-spouse,Prof-school,Private
Married-civ-spouse,,Self-emp-not-inc
Married-civ-spouse,Some-college,Private
Never-married,,Private
Married-civ-spouse,9th,Private
Married-civ-spouse,,Self-emp-inc
,Assoc-voc,Local-gov
Married-civ-spouse,,Private
Never-married,,Private
,Some-college,Private
Married-civ-spouse,Bachelors,Private
,Bachelors,Private
,,State-gov
Never-married,,Private
,,Private
Never-married,Some-college,Private
,,Private
Divorced,Some-college,Private
,,Private
,HS-grad,Private
,,Self-emp-not-inc
,Bachelors,Private
,,Private
Married-civ-spouse,Masters,Federal-gov
,,Self-emp-not-inc
,,Private
,,Private
Married-civ-spouse,Some-college,Private
,,Self-emp-inc
Never-married,Some-college,Private
Never-married,Some-college,Private
Never-married,,Private
,Some-college,Private
Never-married,HS-grad,Private
,Some-college,Private
Widowed,,Private
,,Private
Divorced,Some-college,Local-gov
Never-married,HS-grad,Private
Never-married,,Private
,,Private
,,Private
,Bachelors,Private
,Some-college,Self-emp-not-inc
,HS-grad,Private
,,Private
Never-married,HS-grad,Private
Divorced,,Self-emp-inc
,HS-grad,Private
,,Self-emp-not-inc
,Some-college,Private
Never-married,Assoc-acdm,Federal-gov
,,State-gov
Never-married,11th,Private
Widowed,Assoc-voc,Local-gov
,,Private
,,State-gov
,Some-college,Private
Never-married,Bachelors,Private
,Bachelors,State-gov
,HS-grad,Private
Never-married,HS-grad,Private
Never-married,HS-grad,Private
,,Private
,Bachelors,Private
,Some-college,Local-gov
Divorced,Some-college,Private
,Some-college,Private
Married-civ-spouse,7th-8th,Private
Married-civ-spouse,Some-college,Federal-gov
Married-civ-spouse,,Private
Divorced,,Self-emp-not-inc
,Masters,Private
,,State-gov
Divorced,,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,,Local-gov
,,Private
Married-civ-spouse,Bachelors,Federal-gov
,5th-6th,Private
,Some-college,Private
Never-married,Masters,Federal-gov
Married-civ-spouse,Masters,Private
,,Self-emp-not-inc
,,Private
Married-civ-spouse,Bachelors,Private
Never-married,Some-college,Local-gov
,,State-gov
,11th,Private
,Bachelors,Private
Divorced,,Private
Married-civ-spouse,,Self-emp-inc
,,Private
Married-civ-spouse,HS-grad,Local-gov
Married-civ-spouse,,Private
Never-married,Some-college,Private
Married-civ-spouse,,Private
Married-civ-spouse,7th-8th,Self-emp-inc
Never-married,Bachelors,Private
,Assoc-acdm,Private
Married-civ-spouse,,Private
,,Private
Never-married,,Private
Married-civ-spouse,,Private
Never-married,HS-grad,Private
Married-civ-spouse,,Private
Never-married,Preschool,Local-gov
,HS-grad,Private
,,Self-emp-not-inc
,Assoc-voc,Private
Divorced,,Private
Separated,,Private
,HS-grad,Private
,Some-college,Private
Divorced,,Private
Never-married,Prof-school,Private
,,State-gov
,,State-gov
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,Masters,Local-gov
,,Private
,,Private
,,Self-emp-not-inc
,,State-gov
,,Private
,HS-grad,Private
,HS-grad,Private
Never-married,HS-grad,Private
Married-civ-spouse,,Private
Married-civ-spouse,HS-grad,Private
,Prof-school,Private
,Bachelors,Private
Widowed,10th,Local-gov
Never-married,Some-college,Local-gov
Never-married,Some-college,Private
,,Self-emp-not-inc
,,Private
,HS-grad,Private
Widowed,,Private
,,Private
,,Private
,,Private
Never-married,11th,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,11th,Private
Married-civ-spouse,,Self-emp-inc
,HS-grad,Private
Never-married,,Private
,,Private
Married-civ-spouse,HS-grad,Private
Never-married,,Private
,,Self-emp-not-inc
Never-married,,Local-gov
,,Private
,HS-grad,Private
,Some-college,Private
Never-married,Some-college,Private
,Some-college,Private
Married-civ-spouse,,Private
Never-married,,Private
Married-civ-spouse,Some-college,Local-gov
,,Private
,,Private
Never-married,,Private
Married-civ-spouse,Masters,Federal-gov
,,Private
Divorced,Some-college,Private
Never-married,Bachelors,Private
,,Private
Married-civ-spouse,,Private
,HS-grad,Private
Never-married,Bachelors,Local-gov
,Some-college,Private
,,Private
,HS-grad,Private
,Bachelors,Self-emp-inc
,,Private
Divorced,,Private
Married-civ-spouse,Bachelors,Private
,,Private
,HS-grad,Private
Married-civ-spouse,,Private
Married-civ-spouse,,Private
,HS-grad,Private
,Assoc-acdm,Private
,,Private
,Assoc-acdm,Private
,,Self-emp-inc
Never-married,,Private
,,Private
,,Self-emp-not-inc
Never-married,Some-college,Private
,,Private
,,Self-emp-not-inc
,,Private
,,Private
Widowed,HS-grad,Private
,,Self-emp-not-inc
,,Private
Divorced,,Private
Never-married,11th,Private
,,Self-emp-not-inc
,,Self-emp-not-inc
,Some-college,Private
,,Self-emp-not-inc
Never-married,,Private
Never-married,Some-college,Private
Never-married,Bachelors,Private
,,Private
Married-civ-spouse,,Local-gov
,,Private
,,Private
,,Private
Never-married,Masters,Private
Never-married,,Private
,HS-grad,Private
,,Private
,,Private
,,State-gov
,HS-grad,Private
,,State-gov
,,Self-emp-not-inc
,Assoc-acdm,Private
,Bachelors,Private
,Bachelors,Private
Married-civ-spouse,HS-grad,Private
,,Private
Married-civ-spouse,11th,Local-gov
,HS-grad,Federal-gov
,11th,Private
,,Private
,,Private
,9th,Self-emp-not-inc
Married-civ-spouse,10th,Private
Married-civ-spouse,,Private
,Bachelors,Private
Divorced,Bachelors,Private
,HS-grad,Private
,,Private
Married-civ-spouse,,Self-emp-not-inc
Never-married,,Private
,Bachelors,Private
Divorced,,Private
Never-married,Some-college,Federal-gov
,11th,Private
,,State-gov
,HS-grad,Private
Never-married,HS-grad,Private
Never-married,Some-college,Local-gov
,HS-grad,Private
Never-married,Some-college,Private
,,Self-emp-not-inc
Married-civ-spouse,,Private
,HS-grad,Private
,,Private
Married-civ-spouse,,Private
Divorced,Some-college,Private
Married-civ-spouse,Some-college,Local-gov
,,Private
Separated,HS-grad,Private
,Some-college,Private
,,Private
,HS-grad,Private
,HS-grad,Private
Never-married,Bachelors,Private
,,Self-emp-not-inc
,,State-gov
,,Private
,,Private
,Some-college,Private
Married-civ-spouse,,Private
,,Self-emp-inc
Never-married,Some-college,Private
Never-married,,Private
,,State-gov
Divorced,Assoc-voc,Private
,7th-8th,Private
Married-civ-spouse,,Private
Married-civ-spouse,HS-grad,Private
,,Self-emp-not-inc
Married-civ-spouse,Some-college,Private
Divorced,Some-college,Local-gov
Never-married,HS-grad,Private
,Some-college,Private
Married-civ-spouse,,Private
,,State-gov
Divorced,12th,Private
Married-civ-spouse,,Private
Never-married,,Private
,11th,Local-gov
,,State-gov
,,Private
Never-married,11th,Private
,,State-gov
Divorced,HS-grad,Private
Never-married,,Private
,,Private
Never-married,Masters,Federal-gov
,HS-grad,Private
,,Self-emp-inc
Married-civ-spouse,Masters,Local-gov
,,Self-emp-not-inc
,,Private
Never-married,Some-college,Private
,,Private
Never-married,HS-grad,Local-gov
Never-married,Some-college,Local-gov
,,Private
Married-civ-spouse,,Local-gov
Never-married,,Private
,,Private
Never-married,HS-grad,Federal-gov
Married-civ-spouse,Some-college,Private
,9th,Private
Never-married,Some-college,Private
,,Private
,,Private
,,Private
,,Private
,,Self-emp-inc
Married-civ-spouse,HS-grad,Private
,Assoc-acdm,Private
,HS-grad,Self-emp-not-inc
Married-civ-spouse,,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,HS-grad,Private
,Assoc-acdm,Private
Married-civ-spouse,HS-grad,Local-gov
Married-civ-spouse,Bachelors,Private
,,Private
Never-married,Bachelors,Private
,,Private
Divorced,,Private
Married-civ-spouse,,Private
Married-civ-spouse,Masters,Private
Married-civ-spouse,Bachelors,Private
,,Private
Never-married,HS-grad,Private
Never-married,HS-grad,Private
,,Private
,,Private
Never-married,9th,Private
,,Private
Never-married,,Private
,,Private
Married-civ-spouse,Assoc-acdm,Private
,Some-college,Self-emp-not-inc
