age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,,,,no,2143,yes,no,unknown,5,may,261,1,0,0,unknown,
44,technician,,secondary,no,29,yes,no,unknown,,may,151,,0,,unknown,no
33,,,secondary,no,2,yes,yes,unknown,5,may,76,1,0,0,unknown,
47,,married,unknown,no,1506,yes,no,unknown,,may,92,,0,,unknown,
33,,,unknown,no,1,no,no,unknown,5,may,,1,0,0,unknown,
35,management,,tertiary,no,231,yes,no,unknown,,may,139,,0,0,unknown,no
28,,,tertiary,no,447,yes,yes,unknown,,may,217,1,0,0,unknown,
42,entrepreneur,divorced,,yes,2,yes,no,unknown,5,may,380,1,0,0,unknown,
58,,,,no,121,yes,no,unknown,5,may,50,,0,0,unknown,no
43,,,secondary,no,593,yes,no,unknown,5,may,55,1,0,0,unknown,
41,admin.,divorced,secondary,no,270,yes,no,unknown,,may,222,,0,,unknown,
29,admin.,single,,no,390,yes,no,unknown,,may,,,0,0,unknown,
53,technician,,secondary,no,6,yes,no,unknown,,may,517,,0,0,unknown,no
58,technician,married,unknown,no,71,yes,no,unknown,,may,71,,0,0,unknown,no
57,services,,secondary,no,162,yes,no,unknown,,may,,,0,,unknown,
51,,,,no,229,yes,,unknown,5,may,353,1,0,0,unknown,
45,,single,,no,13,yes,no,unknown,5,may,98,1,0,0,unknown,
57,,,,no,52,yes,no,unknown,,may,,,0,0,unknown,no
60,retired,married,,no,60,yes,,unknown,5,may,219,,0,0,unknown,
33,,,secondary,no,0,yes,no,unknown,5,may,,,0,0,unknown,
28,blue-collar,,secondary,no,723,yes,yes,unknown,5,may,262,1,0,,unknown,
56,,married,,no,779,yes,no,unknown,5,may,,,0,,unknown,no
32,blue-collar,,,no,23,yes,yes,unknown,5,may,160,,0,0,unknown,
25,services,,,no,50,yes,no,unknown,,may,342,,0,0,unknown,
40,,married,primary,no,0,yes,yes,unknown,,may,,,0,0,unknown,
44,admin.,married,,no,-372,yes,no,unknown,5,may,172,,0,,unknown,
39,management,,tertiary,no,255,yes,,unknown,,may,296,,0,0,unknown,no
52,entrepreneur,married,,no,113,yes,,unknown,,may,127,,0,0,unknown,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,0,0,unknown,
36,technician,single,secondary,no,265,yes,yes,unknown,,may,348,,0,0,unknown,no
57,,married,secondary,no,839,no,yes,unknown,,may,225,,0,,unknown,
49,management,married,,no,378,yes,no,unknown,5,may,230,1,0,0,unknown,no
60,,,,no,39,yes,yes,unknown,,may,208,,0,0,unknown,no
59,,,secondary,no,0,yes,,unknown,5,may,226,1,0,0,unknown,no
51,management,,,no,10635,yes,no,unknown,,may,336,1,0,0,unknown,no
57,,divorced,secondary,no,63,yes,no,unknown,,may,242,,0,0,unknown,
25,,,secondary,no,-7,yes,no,unknown,5,may,365,1,0,0,unknown,no
53,,,,no,-3,no,no,unknown,5,may,1666,1,0,0,unknown,no
36,admin.,,secondary,no,506,yes,no,unknown,5,may,577,,0,0,unknown,no
37,,,,no,0,yes,no,unknown,5,may,137,,0,0,unknown,no
44,services,,secondary,no,2586,yes,no,unknown,5,may,160,1,0,0,unknown,no
50,,married,secondary,no,49,yes,no,unknown,5,may,180,,0,0,unknown,
60,blue-collar,,unknown,no,104,yes,no,unknown,5,may,22,,0,0,unknown,
54,retired,,,no,529,yes,no,unknown,5,may,,,0,,unknown,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,,0,0,unknown,
36,admin.,single,primary,no,-171,yes,,unknown,,may,,,0,0,unknown,no
58,self-employed,,,no,-364,yes,no,unknown,,may,355,,0,,unknown,
44,technician,married,secondary,no,0,yes,,unknown,5,may,,,0,0,unknown,
55,technician,,,no,0,no,no,unknown,,may,160,,0,,unknown,
29,management,,tertiary,no,0,yes,no,unknown,5,may,363,1,0,0,unknown,
54,,married,secondary,no,1291,yes,,unknown,,may,266,,0,0,unknown,
48,management,,,no,-244,yes,,unknown,,may,,1,0,0,unknown,
32,management,,,no,0,yes,,unknown,,may,179,1,0,0,unknown,
42,admin.,,secondary,no,-76,yes,no,unknown,,may,787,,0,0,unknown,
24,,,secondary,no,-103,yes,yes,unknown,,may,145,1,0,0,unknown,
38,,single,tertiary,no,243,no,,unknown,,may,174,,0,0,unknown,
38,,,,no,424,yes,no,unknown,,may,104,1,0,0,unknown,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,,,0,,unknown,
40,blue-collar,,,no,24,yes,no,unknown,5,may,185,,0,0,unknown,no
46,,married,primary,no,179,yes,no,unknown,5,may,,1,0,0,unknown,no
