a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,zero,2,one,,zero,zero,one,,zero,49,,32,zero
zero,one,1,zero,42,zero,,one,zero,zero,49,one,46,one
one,one,2,one,37,zero,zero,one,zero,three,39,,47,one
zero,,1,zero,46,one,,one,zero,zero,39,one,40,zero
zero,,6,zero,8,one,zero,,,one,71,one,17,zero
zero,,0,zero,21,one,zero,zero,zero,zero,59,one,31,zero
one,,1,zero,8,zero,zero,,zero,two,45,one,18,zero
zero,one,,three,,zero,zero,one,,one,59,one,10,zero
one,,,two,38,zero,zero,,zero,zero,49,one,48,one
one,,,zero,17,zero,,zero,zero,zero,55,one,19,zero
zero,,4,three,,zero,zero,one,zero,one,47,one,20,zero
zero,zero,3,zero,,zero,zero,one,zero,zero,47,one,29,zero
one,one,1,zero,16,zero,,one,zero,zero,47,one,26,one
zero,one,9,zero,17,one,zero,,zero,two,39,one,1,zero
one,,,zero,9,zero,,zero,zero,zero,83,one,2,zero
one,,,zero,,zero,,,zero,zero,47,one,28,zero
one,zero,6,zero,11,zero,zero,,zero,zero,39,one,21,zero
one,zero,,two,,zero,,one,zero,zero,47,,26,zero
one,zero,2,two,32,one,one,,,two,43,one,42,zero
zero,,2,one,24,zero,,one,zero,zero,53,one,3,zero
one,zero,3,two,38,zero,zero,,zero,three,59,one,48,one
zero,one,,two,,zero,,one,,two,41,one,10,zero
zero,zero,,two,65,zero,zero,one,zero,zero,39,one,45,zero
zero,zero,3,one,18,one,one,,zero,zero,39,,18,zero
one,,,zero,27,zero,,zero,,one,47,one,15,zero
zero,zero,6,four,57,zero,zero,one,zero,zero,39,,67,zero
one,zero,3,two,,one,,,zero,two,47,one,13,zero
zero,,,zero,16,one,one,zero,,one,39,one,6,zero
zero,,5,zero,12,one,,zero,zero,zero,41,one,22,zero
zero,zero,3,two,,zero,,one,zero,two,39,one,40,one
zero,one,4,three,,zero,zero,one,zero,two,59,one,40,one
zero,one,2,one,44,zero,zero,one,zero,two,63,,28,one
one,one,,zero,16,zero,zero,zero,zero,three,54,one,26,one
