age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
,State-gov,,,13,,Adm-clerical,Not-in-family,White,,,,40,,
,Self-emp-not-inc,,,,Married-civ-spouse,,Husband,,Male,,,13,United-States,
38,Private,,HS-grad,9,,,Not-in-family,White,Male,0,,40,United-States,<=50K
53,Private,,11th,,,,Husband,,,0,,40,,<=50K
,Private,338409,,,,Prof-specialty,Wife,Black,Female,0,0,,Cuba,
37,,284582,Masters,,,Exec-managerial,Wife,,,,,,,
,,,,5,Married-spouse-absent,,,Black,Female,,0,16,Jamaica,
52,Self-emp-not-inc,209642,HS-grad,9,,Exec-managerial,,,,0,0,,United-States,>50K
,Private,,,14,Never-married,Prof-specialty,Not-in-family,White,,,0,50,,
42,,159449,Bachelors,,,Exec-managerial,Husband,,,5178,,40,United-States,
,,,Some-college,,,Exec-managerial,,Black,Male,,0,80,United-States,
30,State-gov,141297,Bachelors,13,,,,,Male,0,0,,India,>50K
23,,,Bachelors,13,Never-married,,Own-child,White,Female,,0,,United-States,<=50K
,,,Assoc-acdm,,,Sales,,,,,,50,United-States,
,,245487,,,Married-civ-spouse,,,Amer-Indian-Eskimo,,,,,Mexico,
,,176756,,9,,,Own-child,,Male,,,35,,<=50K
32,Private,,,9,,Machine-op-inspct,,White,,,,40,,
,Private,28887,11th,,Married-civ-spouse,,,,,,,,,<=50K
,,292175,Masters,,Divorced,Exec-managerial,,,,,0,45,United-States,>50K
,Private,,Doctorate,16,Married-civ-spouse,,,,Male,,,,,>50K
,Private,302146,HS-grad,,,Other-service,,,,,,20,United-States,
35,Federal-gov,76845,,,Married-civ-spouse,Farming-fishing,Husband,Black,Male,,,40,United-States,<=50K
,,117037,,,,Transport-moving,Husband,,,0,,40,United-States,<=50K
,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,,,40,,
,,,,13,Married-civ-spouse,,,,,,0,,United-States,>50K
19,,,,,Never-married,Craft-repair,Own-child,,Male,0,0,40,United-States,<=50K
39,,367260,,9,Divorced,,,White,,0,0,,,
,,,HS-grad,9,,Craft-repair,Husband,,Male,0,,,United-States,
23,Local-gov,,Assoc-acdm,12,Never-married,,,,,,0,,United-States,<=50K
,Private,266015,,,Never-married,Sales,Own-child,,Male,,,,United-States,<=50K
45,Private,386940,Bachelors,,,,Own-child,,,,1408,40,United-States,<=50K
30,,59951,,10,Married-civ-spouse,,,White,,0,,,United-States,
,State-gov,311512,,10,,,Husband,Black,,,,,,
,Private,242406,,,Never-married,Machine-op-inspct,,,,0,,,Puerto-Rico,
21,Private,,,,Never-married,Machine-op-inspct,,White,Male,0,0,,,<=50K
19,Private,,,,Married-AF-spouse,,,,,0,0,25,,<=50K
,Self-emp-not-inc,265477,,,,,Husband,,Male,,0,40,,<=50K
31,,,9th,,Married-civ-spouse,Machine-op-inspct,Husband,,Male,,0,43,,
53,Self-emp-not-inc,88506,,,Married-civ-spouse,,,,Male,0,0,40,United-States,<=50K
,,172987,,13,,Tech-support,Husband,White,Male,,,,United-States,<=50K
,,,HS-grad,9,,,Unmarried,White,,,0,40,United-States,
,Private,,HS-grad,9,Never-married,Handlers-cleaners,,White,Male,,,35,United-States,<=50K
,Federal-gov,,,,,Prof-specialty,,,Male,0,0,40,United-States,>50K
53,,144361,HS-grad,9,,,,,Male,0,0,38,,
,Private,128354,,,,Exec-managerial,,,,,,,United-States,
,,101603,,11,,Craft-repair,Husband,White,,,0,40,,<=50K
29,Private,,,11,Never-married,Prof-specialty,Not-in-family,,,0,0,,United-States,
25,Private,32275,,,Married-civ-spouse,,Wife,Other,Female,0,,,United-States,
,,,,,,,Wife,White,Female,,,,,>50K
50,Federal-gov,251585,,,,Exec-managerial,,,,,,55,United-States,>50K
47,,,,9,,,Not-in-family,,,0,,60,United-States,
43,,,Some-college,10,,,Husband,White,,,,,,
46,Private,216666,,,Married-civ-spouse,Machine-op-inspct,,,Male,,,,Mexico,<=50K
35,,56352,,,Married-civ-spouse,,Husband,White,Male,0,0,40,,
,,,HS-grad,9,,,Husband,White,Male,0,0,,United-States,<=50K
,Private,188146,HS-grad,9,,Machine-op-inspct,,,Male,5013,0,40,United-States,
30,Private,59496,,13,,Sales,,White,Male,2407,0,40,,
48,,149640,HS-grad,,Married-civ-spouse,,,White,Male,,,40,United-States,<=50K
,,116632,,16,,,Husband,White,,,,,United-States,>50K
29,Private,,Some-college,10,Divorced,Tech-support,,,Male,,0,,United-States,<=50K
36,Private,155537,,9,Married-civ-spouse,Craft-repair,Husband,,,0,,,,<=50K
,,,Some-college,10,,,Not-in-family,White,Female,,,,,
53,Private,,,9,,Adm-clerical,Wife,,,0,,,United-States,
,Self-emp-inc,191681,Some-college,,Married-civ-spouse,,Husband,White,,,0,50,,
