education,marital-status,workclass
,Never-married,State-gov
,Married-civ-spouse,
,Divorced,Private
11th,Married-civ-spouse,Private
,Married-civ-spouse,Private
Masters,Married-civ-spouse,Private
9th,Married-spouse-absent,
HS-grad,,Self-emp-not-inc
Masters,Never-married,Private
Bachelors,Married-civ-spouse,Private
Some-college,,Private
Bachelors,Married-civ-spouse,State-gov
Bachelors,Never-married,Private
,Never-married,
,Married-civ-spouse,Private
7th-8th,Married-civ-spouse,Private
,Never-married,Self-emp-not-inc
HS-grad,,Private
11th,,Private
,Divorced,Self-emp-not-inc
Doctorate,Married-civ-spouse,Private
HS-grad,Separated,Private
,,Federal-gov
11th,Married-civ-spouse,Private
HS-grad,Divorced,
Bachelors,Married-civ-spouse,Local-gov
,,Private
HS-grad,Divorced,Private
HS-grad,Married-civ-spouse,Private
Assoc-acdm,Never-married,
Some-college,Never-married,
Bachelors,Divorced,Private
Some-college,,Federal-gov
Some-college,Married-civ-spouse,
11th,Never-married,Private
Some-college,Never-married,Private
HS-grad,Married-AF-spouse,Private
Some-college,,Private
Assoc-acdm,Married-civ-spouse,
9th,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,Self-emp-not-inc
,Married-civ-spouse,Private
HS-grad,Separated,Private
HS-grad,Never-married,Private
Bachelors,,Federal-gov
HS-grad,Married-civ-spouse,Private
Masters,Divorced,
Assoc-voc,Married-civ-spouse,State-gov
,Never-married,Private
Some-college,Married-civ-spouse,Private
HS-grad,,Private
,Married-civ-spouse,Private
Bachelors,Divorced,Federal-gov
HS-grad,Divorced,Self-emp-inc
,Married-civ-spouse,Private
5th-6th,Married-civ-spouse,Private
Assoc-voc,Married-civ-spouse,Private
,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
,Married-civ-spouse,
HS-grad,Married-civ-spouse,Private
Doctorate,Married-civ-spouse,Private
,Divorced,Private
HS-grad,Married-civ-spouse,Private
,Divorced,Private
HS-grad,,Private
Some-college,,Self-emp-inc
Some-college,Never-married,Private
Bachelors,Separated,Private
Bachelors,Married-civ-spouse,
,Never-married,
Some-college,Married-civ-spouse,Private
HS-grad,Never-married,Private
,Married-civ-spouse,Private
,Never-married,Private
7th-8th,Married-civ-spouse,Local-gov
HS-grad,Never-married,Private
Bachelors,,
HS-grad,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
HS-grad,Divorced,Private
,Divorced,Private
HS-grad,Married-civ-spouse,
Masters,Married-civ-spouse,Private
9th,Never-married,Private
Doctorate,Never-married,Federal-gov
Assoc-voc,Married-civ-spouse,Private
Some-college,Divorced,Private
Some-college,Divorced,Private
HS-grad,Married-civ-spouse,Private
Bachelors,Married-civ-spouse,Local-gov
Some-college,Never-married,Local-gov
Doctorate,Married-civ-spouse,
Some-college,,Private
,Divorced,Private
HS-grad,Never-married,Federal-gov
