marital-status,education,workclass
Never-married,,
,Bachelors,
Divorced,HS-grad,Private
Married-civ-spouse,,Private
Married-civ-spouse,Bachelors,Private
,Masters,Private
Married-spouse-absent,9th,
Married-civ-spouse,HS-grad,
Never-married,Masters,Private
Married-civ-spouse,Bachelors,Private
,Some-college,Private
Married-civ-spouse,Bachelors,State-gov
Never-married,Bachelors,Private
Never-married,,
,Assoc-voc,
Married-civ-spouse,7th-8th,
Never-married,HS-grad,Self-emp-not-inc
,,Private
Married-civ-spouse,,
Divorced,Masters,
Married-civ-spouse,Doctorate,
Separated,HS-grad,Private
Married-civ-spouse,,Federal-gov
Married-civ-spouse,11th,
Divorced,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,HS-grad,Private
Divorced,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Never-married,Assoc-acdm,
Never-married,Some-college,Private
,Bachelors,Private
,,Federal-gov
Married-civ-spouse,Some-college,State-gov
,11th,Private
Never-married,Some-college,
Married-AF-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Private
,Assoc-acdm,
Married-civ-spouse,9th,Private
Married-civ-spouse,,Self-emp-not-inc
Married-civ-spouse,Bachelors,
Separated,HS-grad,Private
Never-married,,Private
Married-civ-spouse,,Federal-gov
Married-civ-spouse,HS-grad,Private
Divorced,Masters,
Married-civ-spouse,Assoc-voc,
Never-married,Assoc-voc,Private
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,Prof-school,Private
Divorced,Bachelors,Federal-gov
Divorced,,
Married-civ-spouse,Some-college,Private
Married-civ-spouse,5th-6th,
,,Private
,HS-grad,
,HS-grad,Private
Married-civ-spouse,Bachelors,
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Doctorate,Private
Divorced,Some-college,Private
Married-civ-spouse,HS-grad,Private
Divorced,Some-college,Private
Married-civ-spouse,,
Married-civ-spouse,Some-college,Self-emp-inc
Never-married,Some-college,Private
Separated,Bachelors,Private
Married-civ-spouse,Bachelors,Self-emp-not-inc
Never-married,Some-college,Private
Married-civ-spouse,Some-college,
Never-married,HS-grad,Private
Married-civ-spouse,Assoc-acdm,Private
,,Private
Married-civ-spouse,7th-8th,Local-gov
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Divorced,HS-grad,
,HS-grad,Private
,HS-grad,Local-gov
Married-civ-spouse,Masters,Private
Never-married,9th,
Never-married,Doctorate,Federal-gov
Married-civ-spouse,Assoc-voc,
Divorced,Some-college,Private
Divorced,Some-college,
Married-civ-spouse,HS-grad,
Married-civ-spouse,Bachelors,Local-gov
Never-married,Some-college,
Married-civ-spouse,Doctorate,
,Some-college,
,Assoc-acdm,Private
Never-married,HS-grad,Federal-gov
Married-civ-spouse,Masters,Private
Married-civ-spouse,Bachelors,Private
Never-married,,
,Some-college,
Never-married,HS-grad,
Married-civ-spouse,HS-grad,
Never-married,11th,Private
,HS-grad,Local-gov
Married-civ-spouse,HS-grad,Private
Never-married,Bachelors,Private
Married-civ-spouse,Prof-school,Private
Married-civ-spouse,,
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,
Married-civ-spouse,9th,Private
Married-civ-spouse,Some-college,Self-emp-inc
Married-civ-spouse,Assoc-voc,
,Some-college,Private
Never-married,HS-grad,
Never-married,Some-college,Private
Married-civ-spouse,,Private
Never-married,Bachelors,Private
Married-civ-spouse,Bachelors,State-gov
,Some-college,Private
Married-civ-spouse,Bachelors,
Never-married,Some-college,Private
Married-civ-spouse,Assoc-acdm,Private
,Some-college,Private
Never-married,Assoc-acdm,Private
,,Private
,HS-grad,
Married-civ-spouse,Bachelors,Private
Divorced,Assoc-acdm,Private
Married-civ-spouse,Masters,Federal-gov
Married-civ-spouse,HS-grad,
Married-civ-spouse,,
Never-married,Some-college,Private
Married-civ-spouse,Some-college,
Married-civ-spouse,,Self-emp-inc
Never-married,Some-college,Private
Never-married,,Private
Never-married,Assoc-voc,
,Some-college,Private
Never-married,HS-grad,Private
,,
Widowed,HS-grad,Private
Married-civ-spouse,11th,Private
Divorced,,
,HS-grad,Private
Never-married,Bachelors,Private
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Never-married,Bachelors,Private
Separated,Some-college,Self-emp-not-inc
Divorced,HS-grad,Private
Separated,,Private
Never-married,HS-grad,Private
Divorced,Masters,Self-emp-inc
Never-married,,Private
Married-civ-spouse,Masters,Self-emp-not-inc
,,Private
Never-married,Assoc-acdm,Federal-gov
Widowed,,State-gov
Never-married,11th,Private
Widowed,Assoc-voc,
Never-married,HS-grad,Private
Married-civ-spouse,,State-gov
Married-civ-spouse,,Private
Never-married,Bachelors,Private
Married-civ-spouse,,
Married-spouse-absent,HS-grad,
Never-married,HS-grad,
Never-married,HS-grad,Private
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Private
,Some-college,Local-gov
Divorced,Some-college,
Never-married,Some-college,Private
Married-civ-spouse,,Private
Married-civ-spouse,Some-college,Federal-gov
Married-civ-spouse,HS-grad,
,Bachelors,
Married-civ-spouse,,Private
Married-civ-spouse,Doctorate,State-gov
,Some-college,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Bachelors,Local-gov
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Bachelors,Federal-gov
Married-civ-spouse,5th-6th,Private
Divorced,Some-college,Private
,Masters,Federal-gov
Married-civ-spouse,Masters,Private
,HS-grad,Self-emp-not-inc
Never-married,Masters,Private
Married-civ-spouse,Bachelors,Private
Never-married,Some-college,Local-gov
Divorced,,State-gov
Never-married,11th,Private
Married-civ-spouse,,Private
Divorced,,Private
Married-civ-spouse,HS-grad,Self-emp-inc
Never-married,11th,Private
Married-civ-spouse,HS-grad,Local-gov
Married-civ-spouse,HS-grad,Private
,Some-college,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,7th-8th,Self-emp-inc
Never-married,Bachelors,Private
Divorced,Assoc-acdm,Private
Married-civ-spouse,,Private
Married-civ-spouse,Bachelors,
Never-married,10th,
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,Private
,Preschool,Local-gov
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,Self-emp-not-inc
,Assoc-voc,Private
Divorced,,Private
Separated,11th,Private
Divorced,HS-grad,
Never-married,Some-college,
Divorced,Some-college,Private
Never-married,Prof-school,Private
,HS-grad,State-gov
,Some-college,State-gov
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,Masters,Local-gov
,,
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,,Self-emp-not-inc
Married-civ-spouse,Assoc-acdm,State-gov
Divorced,,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Never-married,HS-grad,
Married-civ-spouse,Assoc-acdm,
Married-civ-spouse,HS-grad,
Married-civ-spouse,Prof-school,Private
Married-civ-spouse,Bachelors,Private
Widowed,10th,Local-gov
Never-married,Some-college,
Never-married,,Private
,HS-grad,Self-emp-not-inc
Never-married,HS-grad,Private
Separated,,Private
Widowed,,Private
Divorced,7th-8th,Private
Divorced,Bachelors,Private
Married-civ-spouse,,Private
Never-married,11th,Private
Married-civ-spouse,Some-college,Private
,11th,Private
Married-civ-spouse,Some-college,Self-emp-inc
,HS-grad,Private
Never-married,Bachelors,
Married-civ-spouse,,Private
Married-civ-spouse,HS-grad,
Never-married,9th,
Married-civ-spouse,,Self-emp-not-inc
Never-married,Masters,Local-gov
,HS-grad,
Married-civ-spouse,HS-grad,Private
,Some-college,Private
Never-married,Some-college,Private
,,Private
,Some-college,Private
Never-married,Bachelors,Private
Married-civ-spouse,Some-college,Local-gov
Divorced,Assoc-acdm,Private
Divorced,Bachelors,Private
,,
Married-civ-spouse,Masters,Federal-gov
Married-civ-spouse,Prof-school,Private
,Some-college,Private
Never-married,Bachelors,Private
Married-civ-spouse,,Private
,Bachelors,
,,
,Bachelors,Local-gov
Never-married,,Private
Never-married,Bachelors,Private
Married-civ-spouse,,Private
Divorced,Bachelors,Self-emp-inc
Never-married,HS-grad,Private
Divorced,HS-grad,
,Bachelors,Private
Never-married,Some-college,Private
,HS-grad,Private
,HS-grad,
Married-civ-spouse,Some-college,Private
Divorced,HS-grad,Private
Never-married,Assoc-acdm,Private
Never-married,,Private
Married-civ-spouse,Assoc-acdm,Private
Married-civ-spouse,Some-college,Self-emp-inc
Never-married,,Private
,Masters,Private
Divorced,,Self-emp-not-inc
,Some-college,Private
,Some-college,Private
Married-civ-spouse,Some-college,Self-emp-not-inc
Married-civ-spouse,5th-6th,Private
Never-married,,Private
Widowed,HS-grad,Private
Married-civ-spouse,,Self-emp-not-inc
Married-civ-spouse,Some-college,Private
Divorced,HS-grad,Private
Never-married,11th,Private
Married-civ-spouse,Masters,Self-emp-not-inc
Married-civ-spouse,,
Married-civ-spouse,Some-college,
Married-civ-spouse,,Self-emp-not-inc
Never-married,HS-grad,Private
Never-married,Some-college,Private
Never-married,Bachelors,Private
Never-married,,Private
Married-civ-spouse,10th,Local-gov
,,Private
Never-married,5th-6th,Private
,HS-grad,Private
,Masters,Private
Never-married,HS-grad,Private
,HS-grad,
,,Private
Married-civ-spouse,Assoc-voc,Private
,,State-gov
Never-married,HS-grad,Private
,Some-college,State-gov
Never-married,,Self-emp-not-inc
,Assoc-acdm,Private
,Bachelors,Private
,,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,,
Married-civ-spouse,,Local-gov
Married-civ-spouse,HS-grad,Federal-gov
,11th,
Married-civ-spouse,Assoc-voc,Private
,HS-grad,Private
,9th,Self-emp-not-inc
Married-civ-spouse,10th,Private
Married-civ-spouse,Masters,Private
,Bachelors,
Divorced,Bachelors,Private
Married-spouse-absent,HS-grad,Private
,HS-grad,Private
Married-civ-spouse,Some-college,Self-emp-not-inc
Never-married,Assoc-acdm,Private
Divorced,Bachelors,Private
Divorced,HS-grad,
,Some-college,Federal-gov
Never-married,11th,Private
Married-civ-spouse,Assoc-voc,State-gov
Married-civ-spouse,,Private
Never-married,HS-grad,
,Some-college,Local-gov
Married-civ-spouse,HS-grad,Private
Never-married,Some-college,Private
Divorced,Masters,
Married-civ-spouse,HS-grad,Private
Divorced,HS-grad,
Divorced,5th-6th,Private
Married-civ-spouse,Some-college,Private
Divorced,Some-college,
,,Local-gov
Never-married,HS-grad,
Separated,HS-grad,Private
Married-civ-spouse,Some-college,Private
Never-married,Some-college,Private
Never-married,,Private
Married-civ-spouse,HS-grad,
Never-married,Bachelors,Private
,Assoc-acdm,Self-emp-not-inc
Married-civ-spouse,Bachelors,State-gov
Never-married,HS-grad,Private
,Some-college,Private
Divorced,Some-college,Private
,Bachelors,Private
Married-civ-spouse,Bachelors,Self-emp-inc
,Some-college,
Never-married,Some-college,Private
,Bachelors,
Divorced,Assoc-voc,Private
Married-civ-spouse,7th-8th,Private
Married-civ-spouse,Masters,
Married-civ-spouse,HS-grad,
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Some-college,
Divorced,Some-college,Local-gov
Never-married,HS-grad,Private
Divorced,Some-college,Private
Married-civ-spouse,Doctorate,Private
Married-civ-spouse,Some-college,
Divorced,12th,Private
Married-civ-spouse,1st-4th,Private
Never-married,11th,Private
Separated,,Local-gov
Divorced,HS-grad,State-gov
Married-civ-spouse,Some-college,Private
Never-married,11th,Private
Married-civ-spouse,Bachelors,State-gov
Divorced,HS-grad,Private
Never-married,10th,
Married-civ-spouse,,Private
Never-married,Masters,Federal-gov
Never-married,HS-grad,
Married-civ-spouse,HS-grad,Self-emp-inc
Married-civ-spouse,,Local-gov
Married-spouse-absent,,Self-emp-not-inc
Married-civ-spouse,Assoc-acdm,Private
Never-married,Some-college,Private
,Masters,Private
,HS-grad,Local-gov
Never-married,Some-college,Local-gov
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Some-college,Local-gov
Never-married,Bachelors,Private
Divorced,HS-grad,Private
Never-married,HS-grad,Federal-gov
Married-civ-spouse,Some-college,Private
Never-married,,Private
Never-married,Some-college,
Widowed,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,HS-grad,
Never-married,HS-grad,Private
Married-civ-spouse,Some-college,Self-emp-inc
,HS-grad,Private
Married-civ-spouse,Assoc-acdm,
,HS-grad,Self-emp-not-inc
Married-civ-spouse,Assoc-voc,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,Some-college,Private
Married-civ-spouse,HS-grad,Private
,Assoc-acdm,Private
,HS-grad,Local-gov
Married-civ-spouse,Bachelors,Private
Married-spouse-absent,1st-4th,Private
Never-married,Bachelors,
,HS-grad,
,HS-grad,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Masters,Private
,Bachelors,Private
Never-married,Some-college,
Never-married,HS-grad,
Never-married,HS-grad,Private
Divorced,Assoc-voc,Private
Never-married,,Private
Never-married,9th,Private
,Some-college,Private
Never-married,10th,
,HS-grad,Private
Married-civ-spouse,Assoc-acdm,Private
Married-civ-spouse,Some-college,Self-emp-not-inc
Never-married,Bachelors,State-gov
Married-spouse-absent,HS-grad,Private
Married-spouse-absent,Some-college,Private
Married-civ-spouse,,
Divorced,Bachelors,Local-gov
Married-civ-spouse,Bachelors,Private
Never-married,HS-grad,Private
Divorced,HS-grad,
Never-married,Assoc-acdm,
,HS-grad,Private
Never-married,,
,HS-grad,Private
Never-married,Some-college,Private
Never-married,5th-6th,Private
,Some-college,Private
,HS-grad,Local-gov
Married-civ-spouse,,Local-gov
,Some-college,Private
Divorced,Some-college,Private
,Bachelors,Private
Never-married,,Private
Never-married,Some-college,Private
