education,marital-status
,Never-married
Bachelors,Married-civ-spouse
HS-grad,Divorced
,Married-civ-spouse
,Married-civ-spouse
Masters,Married-civ-spouse
9th,Married-spouse-absent
,Married-civ-spouse
Masters,Never-married
Bachelors,Married-civ-spouse
,Married-civ-spouse
Bachelors,Married-civ-spouse
Bachelors,
,Never-married
,Married-civ-spouse
7th-8th,Married-civ-spouse
HS-grad,Never-married
,Never-married
,Married-civ-spouse
Masters,Divorced
Doctorate,Married-civ-spouse
HS-grad,Separated
9th,
11th,Married-civ-spouse
HS-grad,Divorced
,Married-civ-spouse
HS-grad,Never-married
,Married-civ-spouse
,Divorced
HS-grad,
Assoc-acdm,Never-married
,
,
,Married-civ-spouse
,Married-civ-spouse
11th,Never-married
Some-college,
HS-grad,Married-AF-spouse
,Married-civ-spouse
Assoc-acdm,Married-civ-spouse
9th,Married-civ-spouse
,Married-civ-spouse
Bachelors,
HS-grad,Separated
,
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
,
Assoc-voc,Married-civ-spouse
Assoc-voc,Never-married
Some-college,Married-civ-spouse
HS-grad,
,Married-civ-spouse
,Divorced
,
Some-college,
5th-6th,Married-civ-spouse
Assoc-voc,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
7th-8th,Married-spouse-absent
HS-grad,Married-civ-spouse
,Married-civ-spouse
Some-college,Divorced
HS-grad,Married-civ-spouse
,
HS-grad,Married-civ-spouse
Some-college,
Some-college,Never-married
Some-college,Never-married
,Separated
Bachelors,
Some-college,Never-married
,Married-civ-spouse
HS-grad,Never-married
Assoc-acdm,Married-civ-spouse
10th,Married-civ-spouse
11th,Never-married
,Married-civ-spouse
,Never-married
Bachelors,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
HS-grad,Divorced
HS-grad,Divorced
HS-grad,
,Married-civ-spouse
9th,Never-married
,Never-married
,Married-civ-spouse
,Divorced
,
,Married-civ-spouse
,Married-civ-spouse
,
Doctorate,
,Married-civ-spouse
Assoc-acdm,
HS-grad,Never-married
