age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,no,2143,,no,,5,may,,1,,0,unknown,no
44,,single,secondary,no,29,yes,no,,5,may,151,,0,0,unknown,no
33,entrepreneur,,secondary,no,2,yes,yes,unknown,5,,,1,0,0,unknown,no
47,blue-collar,,,no,1506,yes,no,unknown,5,may,92,1,0,0,unknown,no
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,0,0,unknown,no
35,management,married,tertiary,no,231,yes,no,unknown,,,139,1,,0,,no
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,,0,unknown,
,entrepreneur,,tertiary,yes,2,yes,no,,,may,380,1,0,0,unknown,no
58,retired,married,primary,no,121,yes,no,,5,may,50,1,0,0,unknown,no
43,technician,single,secondary,no,,yes,no,unknown,5,,55,,,0,unknown,
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,0,0,unknown,no
29,admin.,single,secondary,no,390,yes,no,unknown,,,137,1,,0,unknown,no
53,technician,,secondary,no,6,yes,no,,,may,517,,0,,unknown,no
58,,married,unknown,no,71,yes,no,unknown,,may,,1,,0,,no
57,,married,secondary,no,162,,no,unknown,5,may,,1,0,0,unknown,no
51,retired,married,primary,no,229,yes,no,unknown,,may,353,,,,unknown,no
45,admin.,,unknown,no,13,yes,no,unknown,5,may,98,,0,0,unknown,no
57,blue-collar,married,primary,,52,yes,no,unknown,,may,38,1,,0,unknown,no
60,retired,married,primary,no,,yes,no,unknown,5,may,219,1,0,0,unknown,no
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,0,0,unknown,no
28,blue-collar,married,secondary,no,,yes,yes,,,may,262,1,,0,unknown,no
56,,married,tertiary,,779,yes,no,unknown,5,may,164,,0,0,unknown,no
32,blue-collar,single,primary,no,23,,yes,unknown,5,may,,1,,0,unknown,no
,services,,,no,50,yes,no,,5,may,342,1,,0,unknown,
40,retired,married,primary,no,0,yes,,unknown,5,may,181,1,0,0,unknown,no
44,admin.,married,secondary,no,,,no,,5,may,,,0,0,unknown,no
39,management,single,tertiary,no,255,yes,,,5,may,296,1,0,0,,no
52,entrepreneur,,secondary,no,113,yes,yes,unknown,5,may,127,,0,,unknown,no
46,,single,secondary,no,-246,yes,no,unknown,5,may,255,,0,,,no
36,technician,single,,no,265,yes,yes,unknown,5,may,348,,0,0,unknown,no
57,technician,,secondary,no,839,no,yes,unknown,5,may,225,,0,0,,no
49,management,married,,no,378,yes,no,unknown,5,may,230,,0,0,unknown,no
60,admin.,married,secondary,no,39,yes,yes,unknown,,may,208,1,0,0,unknown,no
59,blue-collar,married,secondary,no,,,no,,,may,226,1,,0,unknown,no
,management,married,tertiary,no,10635,yes,no,unknown,5,,336,1,0,0,unknown,no
,technician,,secondary,no,63,yes,,unknown,5,may,242,1,0,0,unknown,no
,blue-collar,married,secondary,no,-7,yes,no,unknown,,,365,1,0,0,unknown,no
53,technician,married,secondary,no,-3,no,,unknown,5,may,1666,1,0,,,no
,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,0,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,unknown,,may,,1,0,0,unknown,no
44,services,divorced,secondary,no,,yes,no,,5,may,160,1,0,,unknown,no
50,,,secondary,no,49,,no,unknown,,may,180,2,0,0,unknown,
60,,married,unknown,no,104,yes,no,unknown,5,,22,1,0,0,unknown,
,retired,married,secondary,no,529,yes,,unknown,,may,1492,,0,,unknown,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,0,0,unknown,no
,,single,primary,,-171,yes,,unknown,5,may,242,,0,0,unknown,no
58,,,,,-364,yes,no,unknown,5,may,,,0,0,,no
,technician,married,secondary,no,,yes,no,unknown,5,,225,,0,0,unknown,no
,technician,divorced,secondary,no,0,no,,unknown,5,may,160,1,0,,unknown,no
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,,0,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,0,0,unknown,no
,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,,0,0,unknown,
32,management,married,tertiary,no,0,yes,no,,5,may,179,1,,,,no
,admin.,single,secondary,no,-76,yes,,unknown,5,may,787,1,0,0,,no
,technician,single,secondary,no,-103,yes,yes,,5,may,145,1,0,0,,no
38,entrepreneur,,tertiary,no,243,no,,,5,may,,1,0,0,unknown,no
38,management,single,tertiary,no,424,,no,unknown,5,may,104,1,,0,unknown,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,,may,13,1,,0,unknown,no
,blue-collar,single,unknown,no,24,yes,no,,5,may,185,,0,0,unknown,no
,,married,primary,no,179,yes,no,,5,may,,1,0,0,unknown,no
32,admin.,married,,,0,yes,no,unknown,5,may,138,1,0,0,unknown,no
,technician,divorced,secondary,no,989,,no,unknown,,may,812,1,0,0,,no
,,married,,no,249,yes,no,,,may,164,,0,0,unknown,
33,,married,secondary,no,790,yes,no,unknown,,may,,,0,0,unknown,no
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,0,,unknown,no
51,management,married,,no,6530,,,unknown,5,may,91,1,0,0,unknown,no
60,retired,married,tertiary,no,100,no,,unknown,5,may,528,1,,0,unknown,no
59,management,divorced,tertiary,,59,yes,,unknown,5,may,,,0,0,unknown,no
55,,married,secondary,no,1205,yes,no,unknown,,may,,,0,0,unknown,no
35,,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,0,,unknown,
57,,married,secondary,,,,yes,unknown,5,may,258,1,0,0,unknown,no
,services,married,secondary,no,25,,yes,unknown,5,,172,,,0,unknown,no
54,management,married,,no,282,yes,yes,unknown,5,,154,,,0,unknown,no
,blue-collar,,primary,no,,yes,no,unknown,5,may,291,1,,0,unknown,
43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,0,0,unknown,no
53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,,0,0,unknown,no
44,blue-collar,married,secondary,,582,no,yes,unknown,5,may,211,1,,0,unknown,no
55,,divorced,secondary,no,91,no,no,unknown,5,may,349,1,0,0,unknown,no
49,services,divorced,,no,0,yes,yes,unknown,,may,272,1,0,,,no
,services,divorced,secondary,yes,,yes,no,unknown,5,may,208,1,,,,no
45,admin.,single,secondary,,206,yes,no,unknown,5,may,193,1,0,0,unknown,
47,services,divorced,secondary,no,,no,no,unknown,,may,212,1,0,0,unknown,no
42,technician,,secondary,no,690,yes,no,unknown,5,,,1,0,,,no
59,admin.,married,secondary,no,,yes,no,,,may,1042,1,0,0,,yes
46,self-employed,married,,no,137,yes,yes,unknown,,may,,1,0,0,unknown,no
,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,0,,,
56,admin.,married,secondary,no,45,,,unknown,,may,1467,1,0,,unknown,yes
41,technician,married,secondary,no,1270,,no,unknown,5,may,1389,,0,0,,yes
,management,divorced,secondary,,16,yes,yes,unknown,,may,188,2,0,0,unknown,
,retired,married,secondary,,486,,no,unknown,5,,,2,,0,unknown,no
42,management,single,secondary,,50,no,no,unknown,5,may,48,1,,0,unknown,no
30,technician,married,secondary,no,152,,yes,unknown,5,may,213,2,0,,unknown,no
60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,0,0,,no
60,blue-collar,married,unknown,,54,yes,,unknown,5,may,221,1,0,0,unknown,no
57,,divorced,,no,-37,no,no,unknown,5,,173,1,0,0,unknown,no
36,management,married,tertiary,no,101,yes,yes,unknown,,,426,1,0,,unknown,
55,blue-collar,married,secondary,no,383,,no,,5,may,287,1,0,,unknown,no
60,,married,,,81,,no,unknown,5,may,,1,0,0,unknown,no
39,,married,secondary,no,0,,no,unknown,,may,203,1,0,0,unknown,no
46,,married,tertiary,no,,yes,,unknown,5,may,,,0,0,unknown,
44,blue-collar,married,secondary,no,-674,,no,unknown,5,may,257,,,0,unknown,no
,blue-collar,married,,no,,no,no,unknown,,may,124,,0,,unknown,no
52,blue-collar,married,primary,no,128,yes,,,,may,229,1,0,0,,no
59,blue-collar,married,,no,179,yes,,,5,may,55,3,0,0,unknown,no
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,,0,0,unknown,
44,blue-collar,,secondary,no,,,,unknown,5,may,197,1,0,0,unknown,no
,technician,married,,no,151,yes,,unknown,5,may,190,1,,0,unknown,
34,,married,secondary,no,,no,yes,unknown,5,may,21,1,0,0,unknown,no
,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,0,0,unknown,no
45,management,,tertiary,,523,yes,no,,5,may,849,2,,0,,
29,services,divorced,secondary,no,31,,,unknown,5,may,194,1,0,,unknown,no
,technician,divorced,secondary,,79,no,no,,,may,144,1,0,0,,no
56,self-employed,married,primary,no,-34,,,unknown,5,,212,2,0,0,unknown,no
36,blue-collar,,primary,no,448,yes,no,unknown,,may,,,0,,unknown,no
59,,divorced,primary,,,,no,unknown,,may,107,1,0,0,,
44,blue-collar,married,secondary,no,,yes,,,,may,247,,0,0,unknown,no
41,,married,,no,351,yes,,unknown,5,may,518,,0,,unknown,no
33,,single,tertiary,,-67,,no,unknown,5,may,364,1,0,0,unknown,no
59,management,divorced,tertiary,no,262,,,unknown,5,,178,1,0,0,unknown,no
57,technician,married,primary,no,0,no,no,,5,may,98,1,0,0,unknown,
56,technician,divorced,unknown,no,,yes,,unknown,,may,439,1,0,0,unknown,no
,blue-collar,,secondary,no,26,,no,unknown,5,may,79,1,0,0,unknown,no
34,admin.,married,,no,3,,no,,5,may,120,3,0,0,unknown,no
43,services,married,,no,41,yes,,unknown,5,may,127,2,,0,unknown,no
,,married,tertiary,no,7,no,yes,unknown,5,,175,,0,0,unknown,no
33,technician,single,secondary,no,105,,,unknown,5,may,262,2,0,0,,
29,,single,secondary,no,818,yes,yes,unknown,5,may,,1,0,0,unknown,no
34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,,,,,no
,blue-collar,married,secondary,no,,,no,unknown,5,may,143,1,0,0,unknown,no
,,married,secondary,no,2476,yes,no,unknown,,may,,1,0,0,unknown,yes
,management,married,unknown,,1185,no,no,,5,,,1,0,0,unknown,no
,admin.,,secondary,,217,yes,,unknown,,may,345,1,0,0,unknown,no
38,technician,single,secondary,no,,yes,no,unknown,,may,185,1,0,0,unknown,no
55,admin.,,secondary,no,802,yes,yes,unknown,5,may,,2,0,,unknown,
28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,0,0,,
,,married,secondary,,94,,no,unknown,5,may,,1,0,,unknown,
32,technician,,secondary,no,0,,no,unknown,5,,136,1,0,0,unknown,no
43,services,single,unknown,no,0,no,no,unknown,5,,73,1,0,0,unknown,no
32,blue-collar,married,secondary,no,,yes,no,unknown,5,may,528,1,0,0,unknown,no
46,blue-collar,married,secondary,no,265,,no,unknown,5,,,1,0,0,unknown,no
53,housemaid,divorced,primary,no,947,yes,no,unknown,,may,163,1,0,0,unknown,no
,self-employed,single,secondary,no,3,yes,,unknown,5,,301,1,0,0,unknown,
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,,1,0,,unknown,
