age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,,,Bachelors,13,,,,,,,,40,,
50,,,Bachelors,13,,,Husband,,,,,13,United-States,
,,215646,HS-grad,9,Divorced,,Not-in-family,,,0,,40,United-States,
,Private,234721,11th,7,,,,,,0,0,,United-States,<=50K
28,,338409,,,Married-civ-spouse,Prof-specialty,Wife,,Female,,0,,Cuba,
37,Private,284582,,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,,0,40,,<=50K
49,Private,160187,,,Married-spouse-absent,Other-service,Not-in-family,,Female,0,0,,,
,,209642,HS-grad,,,,Husband,,Male,,,,,>50K
,,,Masters,14,Never-married,Prof-specialty,Not-in-family,,,14084,0,,,>50K
42,,,,13,Married-civ-spouse,Exec-managerial,Husband,White,,5178,0,40,United-States,>50K
,,,,10,Married-civ-spouse,,,Black,Male,,,80,,>50K
30,State-gov,141297,,,Married-civ-spouse,Prof-specialty,Husband,,Male,0,0,,India,
23,Private,,Bachelors,,Never-married,,,White,,0,0,30,United-States,
32,,,,12,Never-married,Sales,,Black,,,0,50,,
34,Private,245487,,,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,,,Mexico,
25,Self-emp-not-inc,176756,HS-grad,9,,Farming-fishing,,White,Male,0,0,35,,
,Private,,HS-grad,9,,Machine-op-inspct,Unmarried,White,Male,,,,United-States,
,Private,,,,Married-civ-spouse,Sales,Husband,White,Male,0,0,,,<=50K
,Self-emp-not-inc,292175,Masters,14,,,,White,,,0,45,United-States,>50K
,Private,193524,Doctorate,16,,,Husband,White,,,,,,
,Private,,HS-grad,,,Other-service,Unmarried,Black,,0,,,,
,,76845,,,,Farming-fishing,Husband,,,,0,40,United-States,<=50K
43,Private,117037,11th,7,,,,White,,0,2042,,,
,,,HS-grad,,,Tech-support,Unmarried,White,Female,0,0,40,United-States,
,,,Bachelors,,,,Husband,White,Male,,0,40,United-States,>50K
,,,HS-grad,9,,,,White,,0,0,40,,
39,Private,367260,,,Divorced,,Not-in-family,White,,,,,,<=50K
,Private,,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0,,40,,<=50K
23,,190709,Assoc-acdm,12,Never-married,,,,,,0,,United-States,<=50K
20,Private,,Some-college,10,,Sales,,,,,0,,United-States,
,,386940,,,Divorced,,,White,,0,1408,,,<=50K
30,Federal-gov,59951,,,,Adm-clerical,,White,Male,,,40,,
,,311512,Some-college,10,,,,Black,,0,,15,,
48,Private,,,7,Never-married,Machine-op-inspct,,White,Male,,0,,Puerto-Rico,
21,,,Some-college,10,,Machine-op-inspct,,,Male,0,,,United-States,<=50K
19,Private,,HS-grad,9,Married-AF-spouse,,,,,0,,,,<=50K
,Self-emp-not-inc,265477,,12,,,Husband,,Male,,0,40,United-States,<=50K
31,Private,507875,,5,,,,,Male,,,43,,<=50K
53,,,Bachelors,,,Prof-specialty,,,Male,0,0,,United-States,
,,,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,,United-States,<=50K
,,,,9,Separated,Adm-clerical,,,,,0,,United-States,<=50K
,,,,,,,,White,Male,0,,35,United-States,
57,Federal-gov,337895,,,Married-civ-spouse,,Husband,Black,,,,40,,>50K
53,,,,9,,Machine-op-inspct,,,,0,,,,<=50K
44,Private,,,14,,,,,,0,,,United-States,<=50K
,,,,11,Married-civ-spouse,,Husband,White,,,,40,United-States,
,,,Assoc-voc,,Never-married,,,White,,0,0,43,,
25,,,,10,Married-civ-spouse,,Wife,Other,,0,,40,,<=50K
47,Private,,,,Married-civ-spouse,Prof-specialty,Wife,,Female,,1902,,,
,Federal-gov,251585,,,,,,White,Male,0,0,55,United-States,
47,Self-emp-inc,,,,,,Not-in-family,White,Male,,,60,,
,Private,237993,,,,Tech-support,,,,,,,United-States,
46,Private,,,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,,,
35,,56352,,,,Other-service,Husband,,Male,0,0,,,<=50K
,Private,,HS-grad,9,,Adm-clerical,,White,,0,0,,,<=50K
30,Private,,HS-grad,,,,,White,Male,,,,,<=50K
30,Private,,,13,Married-civ-spouse,Sales,,,,2407,0,40,,<=50K
,,,,,,Transport-moving,,White,Male,0,0,,,
,,,Doctorate,16,,,Husband,White,Male,,0,45,United-States,>50K
,Private,,,,Divorced,Tech-support,,White,,,,,,<=50K
,,155537,,,,,,White,Male,,,40,United-States,
,Private,183175,Some-college,10,,Adm-clerical,,White,,0,0,40,,<=50K
,,169846,,9,,,Wife,,,0,,,,>50K
,Self-emp-inc,191681,,,,,,,Male,0,,,,>50K
19,Private,,Some-college,,Never-married,Prof-specialty,,,Male,0,0,32,United-States,<=50K
31,Private,,,13,,,,Black,,,0,40,United-States,<=50K
,,162298,Bachelors,13,,Sales,Husband,White,,0,,70,United-States,
23,,,Some-college,,,,,White,Male,,0,40,,<=50K
,Private,,Some-college,10,,,Other-relative,White,,,,20,,<=50K
27,Private,213921,,,,Other-service,Own-child,,,0,0,,Mexico,<=50K
,,32214,,,Married-civ-spouse,,Husband,,Male,0,0,40,United-States,
18,,309634,11th,,,Other-service,,,,0,,,,
31,Local-gov,,7th-8th,,,Farming-fishing,Husband,White,Male,0,,40,,
18,,446839,,9,,,,White,,0,0,,United-States,<=50K
52,,,,,Married-civ-spouse,Other-service,Husband,,Male,,0,,Cuba,
46,,,HS-grad,9,Married-civ-spouse,,,,Female,,0,,United-States,
59,,159937,,9,,,Husband,White,,,,48,,<=50K
,Private,343591,HS-grad,9,,,,,,,,40,,
,,,HS-grad,,Divorced,Sales,Own-child,White,,,,35,,<=50K
,,,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,,Male,,0,40,,
,,,,14,Married-civ-spouse,,Husband,,,0,,,United-States,
,Private,,,,,,Not-in-family,,,0,0,,,<=50K
43,,410867,,,,Prof-specialty,,White,Female,0,,,,
,,,,11,Married-civ-spouse,Prof-specialty,Husband,White,,,0,40,,<=50K
37,Private,,,10,,,Unmarried,,Female,,0,40,United-States,
,,,,10,Divorced,Machine-op-inspct,,Black,Female,0,,,United-States,<=50K
,,226296,,13,,,,White,,0,,,United-States,
,,,Some-college,,Never-married,,,White,,0,,,United-States,
48,,,Doctorate,16,,,Husband,,,0,,,,
37,Private,,Some-college,10,Married-civ-spouse,Sales,,,,0,,,,>50K
48,,,,,Divorced,Exec-managerial,Unmarried,,Female,0,0,,,
32,Federal-gov,,,,,,,Black,,0,0,,,
76,,,,,,,,White,,,,40,United-States,>50K
,Private,,,,Married-civ-spouse,,,White,,,,60,,
47,,,Masters,14,Never-married,Prof-specialty,,White,Female,0,0,50,,<=50K
,,188300,Some-college,,,Tech-support,Own-child,White,,0,0,,United-States,
,,,,,Never-married,,,White,Male,,,,,<=50K
,Self-emp-inc,,HS-grad,,Married-civ-spouse,,Husband,,,,,,,>50K
30,,194901,11th,,,,,White,,0,,40,,
,Local-gov,,,9,,,,White,Female,,0,,,<=50K
42,,,HS-grad,,,Handlers-cleaners,Husband,,,0,,40,United-States,
24,Private,432376,,13,Never-married,Sales,,,Male,,0,40,United-States,<=50K
38,Private,,,15,Married-civ-spouse,Prof-specialty,,,,0,,40,,>50K
56,,,,,Married-civ-spouse,Other-service,Husband,,Male,,1887,,,
,Private,377869,,,Married-civ-spouse,,Wife,,,4064,,,United-States,<=50K
,Private,102864,,,,Machine-op-inspct,,,Female,0,,40,United-States,
53,Private,,,5,Married-civ-spouse,Handlers-cleaners,Husband,White,,,0,50,,<=50K
56,,303090,,,,Sales,,White,,,0,,United-States,<=50K
,Local-gov,,Assoc-voc,,Married-civ-spouse,Craft-repair,,Black,,0,,40,United-States,>50K
55,Private,247552,,10,Married-civ-spouse,Sales,Husband,White,Male,,,56,,<=50K
22,,102632,,,,,Not-in-family,White,Male,,,41,,<=50K
,,,Some-college,10,Never-married,,,White,,0,0,40,,<=50K
40,,118853,Bachelors,13,,Exec-managerial,Husband,,Male,0,,,,
30,Private,,,,Never-married,Exec-managerial,Own-child,,Male,0,0,,,
