education,marital-status,workclass
Bachelors,Never-married,State-gov
,Married-civ-spouse,Self-emp-not-inc
,Divorced,Private
11th,,Private
,Married-civ-spouse,
Masters,,Private
9th,Married-spouse-absent,Private
HS-grad,Married-civ-spouse,Self-emp-not-inc
,Never-married,Private
Bachelors,Married-civ-spouse,Private
Some-college,Married-civ-spouse,Private
,Married-civ-spouse,
Bachelors,Never-married,
,Never-married,
Assoc-voc,Married-civ-spouse,Private
7th-8th,,Private
HS-grad,,Self-emp-not-inc
HS-grad,Never-married,
11th,Married-civ-spouse,Private
Masters,,Self-emp-not-inc
Doctorate,,
HS-grad,Separated,Private
9th,Married-civ-spouse,Federal-gov
11th,Married-civ-spouse,
HS-grad,Divorced,Private
Bachelors,Married-civ-spouse,
HS-grad,Never-married,Private
HS-grad,Divorced,Private
HS-grad,Married-civ-spouse,Private
Assoc-acdm,Never-married,Local-gov
Some-college,,Private
Bachelors,Divorced,Private
Some-college,Married-civ-spouse,Federal-gov
Some-college,Married-civ-spouse,State-gov
,Never-married,
,Never-married,
HS-grad,Married-AF-spouse,Private
Some-college,Married-civ-spouse,Private
Assoc-acdm,,Self-emp-not-inc
9th,,Private
Bachelors,Married-civ-spouse,Self-emp-not-inc
Bachelors,Married-civ-spouse,Private
HS-grad,Separated,Private
HS-grad,Never-married,Private
Bachelors,,Federal-gov
HS-grad,Married-civ-spouse,Private
Masters,Divorced,Private
Assoc-voc,Married-civ-spouse,
Assoc-voc,Never-married,
Some-college,,Private
HS-grad,Never-married,Private
Prof-school,Married-civ-spouse,Private
Bachelors,Divorced,Federal-gov
HS-grad,,Self-emp-inc
Some-college,,Private
,Married-civ-spouse,Private
Assoc-voc,Married-civ-spouse,Private
,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,Private
,Married-civ-spouse,Private
HS-grad,,Private
Doctorate,Married-civ-spouse,Private
Some-college,,Private
HS-grad,,Private
Some-college,Divorced,Private
HS-grad,Married-civ-spouse,Private
Some-college,,Self-emp-inc
Some-college,Never-married,Private
,Separated,
Bachelors,,
Some-college,,
Some-college,,Private
HS-grad,Never-married,
Assoc-acdm,,Private
,,Private
,Married-civ-spouse,Local-gov
,Never-married,
Bachelors,Married-civ-spouse,Private
HS-grad,Married-civ-spouse,
,Married-civ-spouse,Private
HS-grad,Divorced,Private
HS-grad,,Private
HS-grad,Married-civ-spouse,Local-gov
Masters,Married-civ-spouse,Private
9th,Never-married,Private
Doctorate,,
Assoc-voc,,Private
Some-college,Divorced,Private
Some-college,Divorced,Private
HS-grad,Married-civ-spouse,
Bachelors,,Local-gov
,,Local-gov
Doctorate,Married-civ-spouse,
Some-college,Married-civ-spouse,
Assoc-acdm,Divorced,Private
,Never-married,
