marital-status,education,workclass
Never-married,Bachelors,
Married-civ-spouse,Bachelors,
,,
Married-civ-spouse,11th,
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,,Private
Married-spouse-absent,9th,Private
Married-civ-spouse,HS-grad,Self-emp-not-inc
,Masters,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,,Private
Married-civ-spouse,,
Never-married,Bachelors,Private
Never-married,Assoc-acdm,Private
Married-civ-spouse,Assoc-voc,Private
Married-civ-spouse,7th-8th,Private
,HS-grad,Self-emp-not-inc
Never-married,HS-grad,Private
Married-civ-spouse,11th,Private
Divorced,Masters,
,Doctorate,Private
,HS-grad,Private
Married-civ-spouse,9th,Federal-gov
Married-civ-spouse,11th,Private
Divorced,,
Married-civ-spouse,Bachelors,Local-gov
,HS-grad,Private
Divorced,HS-grad,
Married-civ-spouse,HS-grad,Private
Never-married,Assoc-acdm,Local-gov
Never-married,Some-college,Private
Divorced,Bachelors,
,Some-college,
,Some-college,State-gov
Never-married,11th,Private
Never-married,Some-college,Private
Married-AF-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Assoc-acdm,Self-emp-not-inc
Married-civ-spouse,9th,Private
Married-civ-spouse,Bachelors,Self-emp-not-inc
Married-civ-spouse,Bachelors,Private
,HS-grad,Private
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Federal-gov
,,Private
Divorced,,
Married-civ-spouse,Assoc-voc,State-gov
Never-married,Assoc-voc,Private
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,Prof-school,Private
Divorced,,
Divorced,,Self-emp-inc
,Some-college,Private
Married-civ-spouse,5th-6th,
Married-civ-spouse,Assoc-voc,Private
,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Bachelors,
Married-civ-spouse,,Private
,Doctorate,Private
Divorced,,
Married-civ-spouse,HS-grad,Private
Divorced,Some-college,Private
