education,marital-status
,Never-married
Bachelors,Married-civ-spouse
HS-grad,
11th,
Bachelors,Married-civ-spouse
Masters,
,
,Married-civ-spouse
,
,
Some-college,
Bachelors,
,Never-married
,Never-married
Assoc-voc,
,Married-civ-spouse
HS-grad,Never-married
,Never-married
,
,
,
,Separated
9th,Married-civ-spouse
11th,
,Divorced
Bachelors,Married-civ-spouse
,Never-married
Some-college,
HS-grad,
,Married-civ-spouse
,
,Never-married
Bachelors,Divorced
,
Some-college,
,
Some-college,
,
Some-college,
Assoc-acdm,Married-civ-spouse
9th,Married-civ-spouse
,Married-civ-spouse
Bachelors,
,Separated
,
,Married-civ-spouse
,Married-civ-spouse
Masters,Divorced
Assoc-voc,Married-civ-spouse
,Never-married
Some-college,Married-civ-spouse
,Never-married
,Married-civ-spouse
Bachelors,Divorced
,Divorced
Some-college,
5th-6th,Married-civ-spouse
Assoc-voc,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,
Bachelors,
7th-8th,
HS-grad,Married-civ-spouse
Doctorate,
Some-college,
HS-grad,
Some-college,Divorced
HS-grad,Married-civ-spouse
Some-college,
,Never-married
,
,
,Married-civ-spouse
,Never-married
Some-college,Married-civ-spouse
HS-grad,Never-married
,
,Married-civ-spouse
,
,Married-civ-spouse
HS-grad,Never-married
Bachelors,
,Married-civ-spouse
HS-grad,
HS-grad,
HS-grad,
,Married-civ-spouse
,
,Never-married
Doctorate,
Assoc-voc,
Some-college,Divorced
Some-college,Divorced
,
Bachelors,
Some-college,
Doctorate,
Some-college,
Assoc-acdm,Divorced
,
