age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,,2143,yes,no,unknown,5,may,261,1,0,,unknown,no
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,0,,unknown,no
,entrepreneur,married,secondary,no,,yes,yes,unknown,5,may,76,1,,,unknown,no
,blue-collar,married,unknown,,1506,yes,no,unknown,5,,92,1,0,,unknown,no
33,unknown,single,unknown,no,,no,no,,5,may,198,1,0,0,unknown,no
35,management,married,tertiary,no,231,,no,unknown,5,may,139,,0,0,unknown,no
28,management,single,,no,447,yes,yes,unknown,5,may,217,1,0,,,no
42,entrepreneur,divorced,tertiary,yes,2,yes,,,5,may,380,1,0,,unknown,no
58,retired,,primary,no,121,yes,no,unknown,5,may,50,1,0,0,unknown,no
43,technician,,secondary,,593,yes,no,,5,may,,1,0,0,unknown,
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,,222,1,0,0,unknown,no
29,admin.,,secondary,,390,,no,unknown,5,may,137,1,0,,unknown,no
53,technician,married,secondary,,6,yes,no,unknown,5,may,517,1,0,,unknown,no
58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,0,,unknown,no
57,services,married,secondary,no,162,yes,no,unknown,5,may,,1,0,0,,
51,retired,married,primary,,229,yes,no,unknown,5,may,353,1,0,0,unknown,no
45,admin.,single,unknown,no,13,yes,no,,5,may,98,1,0,,unknown,no
57,blue-collar,married,primary,,,yes,,unknown,5,may,38,1,,,unknown,no
60,retired,married,primary,no,,,no,unknown,5,may,219,1,0,,,no
33,services,married,secondary,,,yes,no,,5,may,54,1,,,unknown,no
28,blue-collar,married,secondary,,723,,yes,unknown,5,,262,1,0,0,unknown,no
56,management,,tertiary,no,779,yes,no,,5,,164,1,0,,unknown,no
32,blue-collar,single,primary,,23,,yes,unknown,5,may,160,1,0,0,unknown,
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,,,0,,
40,retired,married,primary,no,,yes,,unknown,,may,181,1,0,,unknown,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,0,0,unknown,no
39,management,,tertiary,no,255,yes,no,,5,may,296,1,0,0,unknown,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,0,,unknown,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,,2,,0,unknown,
36,technician,single,secondary,no,265,,yes,unknown,5,,348,1,0,,,no
57,technician,married,secondary,,839,no,yes,,5,may,225,,0,,unknown,
49,management,married,tertiary,no,,yes,no,unknown,5,may,,1,0,,,
60,admin.,married,secondary,no,39,yes,yes,unknown,5,,208,1,0,0,unknown,no
59,blue-collar,,secondary,no,,,no,,5,may,226,1,0,,unknown,no
51,,married,tertiary,no,10635,yes,,,5,may,336,1,,0,,
57,technician,,secondary,no,63,yes,,unknown,5,may,242,1,0,0,unknown,no
25,blue-collar,married,secondary,no,,,no,,5,may,365,1,0,0,unknown,
53,technician,,,no,,no,no,,5,may,,1,0,0,unknown,no
,admin.,divorced,secondary,no,506,,,unknown,5,may,577,1,0,,unknown,no
37,admin.,single,secondary,,0,yes,no,unknown,5,may,137,1,0,0,unknown,
44,services,divorced,secondary,no,,yes,,,5,may,160,1,0,0,,no
