a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,,2,,,zero,zero,one,zero,zero,49,one,32,zero
,one,1,zero,42,,zero,one,zero,zero,,one,,
one,,,,37,zero,zero,,zero,three,39,,47,
zero,zero,1,zero,46,one,zero,one,,,39,one,40,zero
,zero,,zero,8,one,zero,,zero,one,,one,17,zero
zero,zero,0,,21,,zero,,,,59,,31,zero
,zero,,zero,,,,zero,,two,45,one,,zero
zero,one,4,three,18,zero,zero,one,,one,59,,10,
,one,,two,,,zero,one,zero,zero,,,48,one
one,zero,,zero,17,zero,zero,zero,zero,zero,,one,,zero
zero,,4,three,34,,zero,one,,one,47,one,20,
zero,zero,3,zero,,zero,zero,one,zero,zero,,one,,zero
,,,zero,16,zero,zero,one,zero,zero,,one,26,one
zero,one,9,zero,17,,zero,zero,zero,,39,one,1,zero
,zero,2,,9,zero,zero,,zero,zero,83,,2,zero
,,1,,,zero,,,,zero,,,28,zero
one,,,,11,zero,zero,,,zero,39,one,,zero
one,zero,3,two,,zero,,one,,zero,,,26,
,zero,2,,32,,,zero,zero,,,,,zero
zero,,2,one,24,zero,zero,one,zero,zero,53,one,3,zero
one,zero,3,,,zero,zero,one,zero,three,,one,48,one
zero,,4,two,25,zero,zero,one,zero,two,41,one,,zero
,zero,3,two,,zero,zero,,,zero,39,one,,zero
zero,,3,one,18,one,,zero,zero,,39,one,18,
,zero,,,27,zero,zero,zero,,one,,one,15,zero
zero,,6,,57,zero,zero,one,zero,zero,39,one,67,
one,zero,3,,29,one,zero,,,,47,,13,zero
,one,3,,16,,one,,zero,,39,one,6,zero
,zero,5,zero,12,one,zero,zero,zero,zero,41,,22,zero
zero,zero,3,two,30,,zero,,zero,two,39,,40,one
zero,one,,,30,zero,zero,one,,two,,one,40,
zero,one,2,one,,,,one,,two,63,one,28,one
one,one,0,,16,zero,zero,,zero,three,54,,,one
,zero,3,two,,one,,,zero,zero,47,one,37,
zero,one,,one,36,zero,,one,zero,two,59,one,26,
,one,,,7,zero,zero,zero,zero,one,,one,,zero
zero,zero,,zero,43,,,one,zero,zero,,,12,
,one,3,two,28,zero,zero,,zero,one,89,,31,one
zero,,,,,zero,zero,,zero,zero,39,one,,
zero,,2,one,43,one,,one,zero,,39,one,30,zero
,one,6,three,39,zero,zero,,zero,zero,47,,40,one
zero,zero,2,two,25,one,one,zero,zero,one,,,35,zero
,one,,,,one,zero,one,,one,,one,24,zero
,one,0,,,one,zero,,,one,,one,,zero
,zero,,zero,34,zero,zero,zero,zero,,97,one,,zero
one,,5,four,18,one,,,zero,,35,one,20,
,two,,zero,9,,zero,,zero,two,29,,5,zero
zero,zero,,one,13,,zero,,zero,zero,55,one,23,zero
zero,two,,three,46,zero,zero,one,,three,3,,,one
zero,zero,2,zero,8,zero,,zero,,one,5,,,zero
zero,,4,three,32,zero,zero,one,zero,three,59,,42,one
,zero,,zero,17,zero,zero,zero,,one,,one,20,zero
zero,one,,zero,11,zero,zero,zero,zero,two,23,one,,zero
one,zero,2,,17,,one,zero,zero,,47,one,2,
,zero,5,two,,,zero,one,,zero,29,one,3,
one,,2,,36,one,,one,,,49,one,30,
one,one,3,two,,zero,,one,zero,two,,,1,one
zero,,,zero,,zero,zero,,zero,two,49,one,13,one
one,zero,,one,58,,,,zero,zero,78,one,14,zero
zero,zero,2,one,33,zero,,one,zero,zero,39,,41,
zero,zero,,zero,8,,zero,zero,zero,,,one,,zero
zero,zero,2,one,,zero,,one,zero,zero,,one,22,
zero,zero,2,,17,one,zero,one,,one,43,one,8,zero
zero,one,,two,,zero,zero,one,zero,one,,,,one
,zero,,,,zero,zero,one,zero,zero,49,one,40,zero
one,zero,3,two,,zero,zero,,zero,,55,one,38,zero
zero,one,,three,,zero,,one,zero,,71,one,51,zero
one,,5,four,,zero,,one,,zero,39,one,10,
zero,zero,,two,,,zero,one,zero,,,,16,zero
zero,one,1,,52,zero,one,,,,59,one,62,one
zero,zero,3,three,30,one,one,zero,zero,,39,,40,zero
zero,one,,two,,zero,zero,,zero,one,,one,55,one
,one,,zero,26,zero,,zero,zero,three,,one,,
zero,one,3,two,46,zero,zero,,,,39,one,12,one
,zero,,zero,10,one,zero,zero,zero,,,one,,
zero,,4,one,47,one,,one,zero,zero,47,one,57,zero
zero,,3,two,,zero,zero,,zero,one,47,one,19,
zero,one,,zero,,zero,zero,one,,two,,one,54,one
zero,,2,one,11,zero,,one,,one,39,one,12,zero
,zero,,zero,16,zero,zero,zero,zero,,,one,1,zero
zero,zero,,zero,,,zero,zero,zero,one,59,,,zero
zero,zero,,,7,zero,,,zero,,34,,,
,zero,,zero,13,,zero,,zero,zero,49,one,,zero
,zero,2,two,14,one,,zero,,zero,39,one,10,zero
one,zero,,zero,15,zero,zero,one,zero,zero,55,one,25,zero
,one,,,21,zero,zero,one,,,54,,,one
zero,zero,3,,30,,zero,,,,94,,40,one
zero,one,7,zero,15,,zero,zero,,one,47,one,24,zero
one,,3,,18,zero,,one,zero,zero,47,,4,zero
one,zero,3,two,17,one,zero,one,,zero,39,one,27,zero
one,one,0,zero,47,,one,,zero,,39,,4,one
,one,,two,26,,zero,,,one,,,30,zero
,one,3,two,,zero,zero,,zero,zero,39,one,30,
,,8,eight,42,one,,zero,zero,zero,39,one,5,
one,zero,5,four,,,,one,zero,,55,one,,one
zero,,1,zero,,zero,zero,zero,,zero,,,26,zero
,zero,1,zero,,,zero,one,zero,zero,,,38,zero
zero,,,two,28,one,zero,one,zero,two,39,one,38,one
one,zero,1,one,70,one,,zero,zero,zero,,zero,80,
zero,zero,2,,22,one,zero,,,one,39,,20,zero
,zero,7,two,32,one,,zero,zero,,43,,,zero
,,3,,38,one,,,,two,,one,,zero
zero,,2,one,,zero,,,,two,39,one,16,
zero,zero,3,zero,24,,zero,zero,zero,two,,one,14,zero
,zero,6,zero,39,,,,,,9,one,,zero
zero,one,5,,,zero,zero,one,zero,one,47,,,
zero,,2,,,zero,,one,zero,one,29,one,39,
zero,,2,one,32,one,,,zero,,69,one,17,zero
,,2,,40,,one,,,,,one,50,zero
zero,zero,4,three,55,,zero,,,,14,zero,,zero
zero,,4,three,,,zero,,zero,two,77,one,35,one
one,zero,4,three,19,,zero,one,,zero,29,one,2,zero
,zero,,,,zero,,one,,,65,one,,zero
zero,zero,,,8,zero,zero,zero,zero,,71,,,
one,,4,three,35,,zero,one,zero,one,64,one,45,zero
,,2,two,44,,one,,zero,,44,,,zero
one,one,3,,19,,zero,one,zero,,22,,29,one
,two,4,zero,,,zero,zero,zero,,,one,,zero
,four,5,zero,,,zero,,zero,,63,one,12,one
zero,zero,,two,48,zero,zero,one,zero,,,one,21,
,,2,one,15,one,,,,two,43,one,13,
zero,,3,two,37,,zero,,zero,zero,,,47,zero
zero,,11,nine,37,one,,one,zero,,29,one,12,
zero,zero,2,,14,,zero,one,,one,47,one,0,
zero,zero,3,two,,one,zero,one,,one,,one,32,zero
one,zero,3,one,12,one,zero,one,,zero,47,one,21,zero
,one,4,zero,44,one,,zero,zero,,39,one,54,one
one,one,3,two,36,one,zero,,zero,,17,one,30,zero
zero,zero,4,,18,zero,,one,zero,two,39,one,8,zero
zero,,2,one,,zero,,one,zero,zero,43,one,35,
one,zero,2,,12,,,zero,zero,,,,21,one
zero,,,,36,zero,zero,,zero,zero,39,one,,zero
zero,,,one,21,one,,one,zero,three,,one,31,
zero,,3,,30,,zero,,zero,one,9,one,40,one
,one,2,one,,one,,one,,two,24,one,33,
zero,,2,one,19,,zero,one,,,47,,,zero
,one,,two,,zero,zero,one,,one,,,41,zero
,zero,3,,11,zero,zero,one,,zero,,,21,zero
one,zero,0,zero,,zero,zero,zero,zero,zero,,,,zero
one,four,6,,,zero,zero,one,zero,one,,one,17,one
zero,zero,5,three,61,zero,zero,one,zero,zero,24,,45,zero
one,zero,0,zero,,,one,zero,zero,,,,,
,one,,zero,13,one,zero,zero,zero,,,one,20,one
zero,,2,,25,zero,zero,,,one,47,one,28,zero
zero,,2,one,40,zero,zero,,,zero,39,one,50,zero
,zero,5,three,10,one,zero,zero,,zero,11,,,zero
one,zero,,,,one,,one,,,39,,5,zero
zero,,9,six,,zero,zero,one,zero,zero,39,one,,
,zero,,,13,zero,zero,,,zero,47,one,21,zero
,two,0,,12,,zero,,zero,,,one,,zero
zero,one,,two,,zero,zero,one,zero,three,,one,29,one
zero,,2,one,38,zero,,zero,zero,zero,83,,27,
zero,one,,zero,10,zero,zero,zero,zero,zero,43,one,,zero
zero,,,one,20,one,zero,one,,one,47,one,30,zero
zero,,5,,30,one,,zero,zero,,55,,40,
one,two,,two,,zero,zero,one,,three,,one,,one
zero,two,4,zero,30,zero,one,,zero,,41,,,zero
zero,,3,two,22,one,zero,one,zero,one,39,one,24,zero
,,,two,,zero,,,zero,one,,one,19,zero
zero,one,1,zero,27,zero,zero,one,zero,two,,one,37,
zero,,5,zero,13,,zero,zero,zero,,,one,,zero
one,one,3,two,37,one,zero,one,,,,,0,one
one,zero,3,one,30,,zero,one,zero,two,97,one,40,
,one,0,,18,zero,one,zero,,three,49,,,
zero,zero,3,two,,zero,zero,one,zero,zero,53,,,zero
,zero,,two,18,zero,,one,zero,,,,,zero
zero,,2,one,,zero,,one,,zero,47,one,59,one
,one,,zero,8,zero,zero,zero,zero,,47,one,,
zero,one,4,three,17,one,,,zero,,43,one,24,zero
one,zero,,,,,zero,one,zero,,,one,,one
one,one,1,,,zero,zero,one,zero,zero,47,,12,
one,zero,,zero,,one,zero,,zero,zero,,one,14,zero
one,,5,four,30,zero,,one,zero,zero,47,one,40,
,,,,33,zero,one,,zero,,47,one,8,one
,zero,2,two,25,one,,zero,zero,zero,49,one,35,zero
zero,one,4,,42,,zero,one,zero,one,49,one,,zero
,zero,0,,28,,zero,,zero,,41,one,,
zero,one,,,12,zero,zero,,zero,zero,44,,,zero
,one,,zero,,zero,zero,one,zero,two,47,one,,one
zero,zero,4,,35,,,one,zero,,83,,45,zero
zero,zero,7,,15,zero,zero,zero,zero,zero,39,,,zero
zero,zero,0,,30,zero,zero,zero,zero,zero,,,,zero
zero,one,,two,,,zero,one,zero,zero,64,one,20,zero
zero,one,7,,23,zero,zero,zero,zero,one,,one,30,zero
zero,one,3,two,,,zero,one,zero,two,,one,,one
