marital-status,education,workclass
Never-married,Bachelors,State-gov
Married-civ-spouse,Bachelors,Self-emp-not-inc
Divorced,HS-grad,Private
Married-civ-spouse,11th,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,Masters,Private
Married-spouse-absent,9th,Private
Married-civ-spouse,HS-grad,Self-emp-not-inc
Never-married,Masters,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Bachelors,State-gov
Never-married,Bachelors,Private
Never-married,Assoc-acdm,Private
Married-civ-spouse,Assoc-voc,Private
Married-civ-spouse,7th-8th,Private
Never-married,HS-grad,Self-emp-not-inc
Never-married,HS-grad,Private
Married-civ-spouse,11th,Private
Divorced,Masters,Self-emp-not-inc
Married-civ-spouse,Doctorate,Private
Separated,HS-grad,Private
Married-civ-spouse,9th,Federal-gov
Married-civ-spouse,11th,Private
Divorced,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,HS-grad,Private
Divorced,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Never-married,Assoc-acdm,Local-gov
Never-married,Some-college,Private
Divorced,Bachelors,Private
Married-civ-spouse,Some-college,Federal-gov
Married-civ-spouse,Some-college,State-gov
Never-married,11th,Private
Never-married,Some-college,Private
Married-AF-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,Assoc-acdm,Self-emp-not-inc
Married-civ-spouse,9th,Private
Married-civ-spouse,Bachelors,Self-emp-not-inc
Married-civ-spouse,Bachelors,Private
Separated,HS-grad,Private
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Federal-gov
Married-civ-spouse,HS-grad,Private
Divorced,Masters,Private
Married-civ-spouse,Assoc-voc,State-gov
Never-married,Assoc-voc,Private
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,Prof-school,Private
Divorced,Bachelors,Federal-gov
Divorced,HS-grad,Self-emp-inc
Married-civ-spouse,Some-college,Private
Married-civ-spouse,5th-6th,Private
Married-civ-spouse,Assoc-voc,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Doctorate,Private
Divorced,Some-college,Private
Married-civ-spouse,HS-grad,Private
Divorced,Some-college,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Self-emp-inc
Never-married,Some-college,Private
Separated,Bachelors,Private
Married-civ-spouse,Bachelors,Self-emp-not-inc
Never-married,Some-college,Private
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,Assoc-acdm,Private
Never-married,11th,Private
Married-civ-spouse,7th-8th,Local-gov
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Divorced,HS-grad,Private
Divorced,HS-grad,Private
Married-civ-spouse,HS-grad,Local-gov
Married-civ-spouse,Masters,Private
Never-married,9th,Private
Never-married,Doctorate,Federal-gov
Married-civ-spouse,Assoc-voc,Private
Divorced,Some-college,Private
Divorced,Some-college,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,Some-college,Local-gov
Married-civ-spouse,Doctorate,Self-emp-not-inc
Married-civ-spouse,Some-college,Private
Divorced,Assoc-acdm,Private
Never-married,HS-grad,Federal-gov
Married-civ-spouse,Masters,Private
Married-civ-spouse,Bachelors,Private
Never-married,Masters,Self-emp-not-inc
Never-married,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,Self-emp-inc
Never-married,11th,Private
Never-married,HS-grad,Local-gov
Married-civ-spouse,HS-grad,Private
Never-married,Bachelors,Private
Married-civ-spouse,Prof-school,Private
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,9th,Private
Married-civ-spouse,Some-college,Self-emp-inc
Married-civ-spouse,Assoc-voc,Local-gov
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,Private
Never-married,Some-college,Private
Married-civ-spouse,Bachelors,Private
Never-married,Bachelors,Private
Married-civ-spouse,Bachelors,State-gov
Never-married,Some-college,Private
Married-civ-spouse,Bachelors,Private
Never-married,Some-college,Private
Married-civ-spouse,Assoc-acdm,Private
Divorced,Some-college,Private
Never-married,Assoc-acdm,Private
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Bachelors,Private
Divorced,Assoc-acdm,Private
Married-civ-spouse,Masters,Federal-gov
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Assoc-voc,Private
Never-married,Some-college,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,HS-grad,Self-emp-inc
Never-married,Some-college,Private
Never-married,Some-college,Private
Never-married,Assoc-voc,Private
Never-married,Some-college,Private
Never-married,HS-grad,Private
Married-civ-spouse,Some-college,Private
Widowed,HS-grad,Private
Married-civ-spouse,11th,Private
Divorced,Some-college,Local-gov
Never-married,HS-grad,Private
Never-married,Bachelors,Private
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,Private
Never-married,Bachelors,Private
Separated,Some-college,Self-emp-not-inc
Divorced,HS-grad,Private
Separated,Bachelors,Private
