education,marital-status
Bachelors,Never-married
Bachelors,Married-civ-spouse
HS-grad,Divorced
11th,Married-civ-spouse
Bachelors,Married-civ-spouse
Masters,Married-civ-spouse
9th,Married-spouse-absent
HS-grad,Married-civ-spouse
Masters,Never-married
Bachelors,Married-civ-spouse
Some-college,Married-civ-spouse
Bachelors,Married-civ-spouse
Bachelors,Never-married
Assoc-acdm,Never-married
Assoc-voc,Married-civ-spouse
7th-8th,Married-civ-spouse
HS-grad,Never-married
HS-grad,Never-married
11th,Married-civ-spouse
Masters,Divorced
Doctorate,Married-civ-spouse
HS-grad,Separated
9th,Married-civ-spouse
11th,Married-civ-spouse
HS-grad,Divorced
Bachelors,Married-civ-spouse
HS-grad,Never-married
Some-college,Married-civ-spouse
HS-grad,Divorced
HS-grad,Married-civ-spouse
Assoc-acdm,Never-married
Some-college,Never-married
Bachelors,Divorced
Some-college,Married-civ-spouse
Some-college,Married-civ-spouse
11th,Never-married
Some-college,Never-married
HS-grad,Married-AF-spouse
Some-college,Married-civ-spouse
Assoc-acdm,Married-civ-spouse
9th,Married-civ-spouse
Bachelors,Married-civ-spouse
Bachelors,Married-civ-spouse
HS-grad,Separated
HS-grad,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
Masters,Divorced
Assoc-voc,Married-civ-spouse
Assoc-voc,Never-married
Some-college,Married-civ-spouse
HS-grad,Never-married
Prof-school,Married-civ-spouse
Bachelors,Divorced
HS-grad,Divorced
Some-college,Married-civ-spouse
5th-6th,Married-civ-spouse
Assoc-voc,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
Bachelors,Married-civ-spouse
7th-8th,Married-spouse-absent
HS-grad,Married-civ-spouse
Doctorate,Married-civ-spouse
Some-college,Divorced
HS-grad,Married-civ-spouse
Some-college,Divorced
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Never-married
Some-college,Never-married
Bachelors,Separated
Bachelors,Married-civ-spouse
Some-college,Never-married
Some-college,Married-civ-spouse
HS-grad,Never-married
Assoc-acdm,Married-civ-spouse
10th,Married-civ-spouse
11th,Never-married
7th-8th,Married-civ-spouse
HS-grad,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Divorced
HS-grad,Divorced
HS-grad,Married-civ-spouse
Masters,Married-civ-spouse
9th,Never-married
Doctorate,Never-married
Assoc-voc,Married-civ-spouse
Some-college,Divorced
Some-college,Divorced
HS-grad,Married-civ-spouse
Bachelors,Married-civ-spouse
Some-college,Never-married
Doctorate,Married-civ-spouse
Some-college,Married-civ-spouse
Assoc-acdm,Divorced
HS-grad,Never-married
Masters,Married-civ-spouse
Bachelors,Married-civ-spouse
Masters,Never-married
Some-college,Never-married
HS-grad,Never-married
HS-grad,Married-civ-spouse
10th,Never-married
11th,Never-married
HS-grad,Never-married
HS-grad,Married-civ-spouse
Bachelors,Never-married
Prof-school,Married-civ-spouse
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
HS-grad,Never-married
9th,Married-civ-spouse
Some-college,Married-civ-spouse
Assoc-voc,Married-civ-spouse
Some-college,Married-civ-spouse
HS-grad,Never-married
Some-college,Never-married
Bachelors,Married-civ-spouse
Bachelors,Never-married
Bachelors,Married-civ-spouse
Some-college,Never-married
Bachelors,Married-civ-spouse
Some-college,Never-married
Assoc-acdm,Married-civ-spouse
HS-grad,Married-civ-spouse
Some-college,Divorced
Assoc-acdm,Never-married
HS-grad,Never-married
HS-grad,Married-civ-spouse
Bachelors,Married-civ-spouse
Assoc-acdm,Divorced
Masters,Married-civ-spouse
HS-grad,Married-civ-spouse
Assoc-voc,Married-civ-spouse
Some-college,Never-married
Some-college,Married-civ-spouse
HS-grad,Married-civ-spouse
Some-college,Never-married
Some-college,Never-married
Assoc-voc,Never-married
Some-college,Never-married
HS-grad,Never-married
Some-college,Married-civ-spouse
HS-grad,Widowed
11th,Married-civ-spouse
Some-college,Divorced
Some-college,Divorced
HS-grad,Never-married
Bachelors,Never-married
HS-grad,Never-married
HS-grad,Divorced
HS-grad,Married-civ-spouse
Bachelors,Never-married
Some-college,Separated
HS-grad,Divorced
Bachelors,Separated
1st-4th,Divorced
HS-grad,Never-married
Masters,Divorced
HS-grad,Never-married
Masters,Married-civ-spouse
Some-college,Divorced
Assoc-acdm,Never-married
Masters,Widowed
11th,Never-married
Assoc-voc,Widowed
HS-grad,Never-married
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
Bachelors,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-spouse-absent
HS-grad,Never-married
HS-grad,Never-married
HS-grad,Never-married
Bachelors,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Divorced
Some-college,Never-married
7th-8th,Married-civ-spouse
Some-college,Married-civ-spouse
HS-grad,Married-civ-spouse
Bachelors,Divorced
Bachelors,Divorced
Masters,Married-civ-spouse
Doctorate,Married-civ-spouse
Some-college,Divorced
Some-college,Married-civ-spouse
Bachelors,Married-civ-spouse
Some-college,Married-civ-spouse
Bachelors,Married-civ-spouse
5th-6th,Married-civ-spouse
Some-college,Divorced
Masters,Never-married
Masters,Married-civ-spouse
HS-grad,Never-married
Masters,Never-married
HS-grad,Never-married
Bachelors,Married-civ-spouse
Some-college,Never-married
HS-grad,Divorced
11th,Never-married
Bachelors,Married-civ-spouse
HS-grad,Divorced
HS-grad,Married-civ-spouse
11th,Never-married
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
Some-college,Never-married
HS-grad,Married-civ-spouse
7th-8th,Married-civ-spouse
Bachelors,Never-married
Assoc-acdm,Divorced
Bachelors,Married-civ-spouse
Bachelors,Married-civ-spouse
10th,Never-married
Some-college,Married-civ-spouse
1st-4th,Divorced
HS-grad,Never-married
HS-grad,Married-civ-spouse
Preschool,Never-married
HS-grad,Never-married
10th,Divorced
HS-grad,Married-civ-spouse
Assoc-voc,Widowed
HS-grad,Divorced
11th,Separated
HS-grad,Divorced
Some-college,Never-married
Some-college,Divorced
Prof-school,Never-married
HS-grad,Married-civ-spouse
Some-college,Never-married
Bachelors,Married-civ-spouse
Masters,Married-civ-spouse
HS-grad,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
Assoc-acdm,Married-civ-spouse
Some-college,Never-married
Some-college,Divorced
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Never-married
Assoc-acdm,Married-civ-spouse
HS-grad,Married-civ-spouse
Prof-school,Married-civ-spouse
Bachelors,Married-civ-spouse
10th,Widowed
Some-college,Never-married
Some-college,Never-married
HS-grad,Married-civ-spouse
HS-grad,Never-married
HS-grad,Separated
Assoc-voc,Widowed
7th-8th,Divorced
Bachelors,Divorced
HS-grad,Married-civ-spouse
11th,Never-married
Some-college,Married-civ-spouse
11th,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Never-married
HS-grad,Married-civ-spouse
Bachelors,Never-married
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
9th,Never-married
Masters,Married-civ-spouse
Masters,Never-married
HS-grad,Divorced
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Never-married
Some-college,Never-married
Some-college,Married-civ-spouse
Bachelors,Never-married
Some-college,Married-civ-spouse
Assoc-acdm,Divorced
Bachelors,Divorced
HS-grad,Never-married
Masters,Married-civ-spouse
Prof-school,Married-civ-spouse
Some-college,Divorced
Bachelors,Never-married
7th-8th,Married-civ-spouse
Bachelors,Married-civ-spouse
HS-grad,Divorced
Bachelors,Never-married
Some-college,Never-married
Bachelors,Never-married
HS-grad,Married-civ-spouse
Bachelors,Divorced
Masters,Married-civ-spouse
HS-grad,Never-married
HS-grad,Divorced
Bachelors,Married-civ-spouse
Some-college,Never-married
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
