age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.0,State-gov,77516.0,Bachelors,13.0,Never-married,,Not-in-family,White,Male,2174.0,0.0,40.0,United-States,<=50K
50.0,Self-emp-not-inc,,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,,,0.0,0.0,,United-States,<=50K
,Private,215646.0,HS-grad,9.0,,,Not-in-family,White,Male,0.0,0.0,40.0,,<=50K
53.0,,234721.0,,7.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
,Private,,Bachelors,13.0,Married-civ-spouse,Prof-specialty,,Black,Female,0.0,0.0,40.0,Cuba,<=50K
37.0,Private,284582.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
49.0,Private,160187.0,9th,5.0,Married-spouse-absent,Other-service,Not-in-family,Black,Female,,0.0,16.0,,<=50K
52.0,Self-emp-not-inc,,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
31.0,Private,45781.0,Masters,,,Prof-specialty,Not-in-family,White,Female,14084.0,0.0,50.0,United-States,>50K
42.0,Private,159449.0,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,5178.0,0.0,,,>50K
37.0,,280464.0,Some-college,10.0,Married-civ-spouse,,Husband,Black,Male,0.0,0.0,80.0,,>50K
30.0,,141297.0,Bachelors,13.0,Married-civ-spouse,,Husband,Asian-Pac-Islander,,0.0,0.0,40.0,India,>50K
23.0,Private,122272.0,Bachelors,,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,,United-States,<=50K
32.0,Private,205019.0,Assoc-acdm,12.0,Never-married,Sales,Not-in-family,Black,Male,0.0,,50.0,,<=50K
34.0,Private,245487.0,7th-8th,4.0,Married-civ-spouse,,Husband,,Male,,,45.0,Mexico,<=50K
25.0,Self-emp-not-inc,176756.0,HS-grad,9.0,Never-married,Farming-fishing,Own-child,White,,0.0,0.0,35.0,United-States,<=50K
32.0,Private,186824.0,HS-grad,,Never-married,Machine-op-inspct,Unmarried,,Male,,0.0,40.0,,<=50K
38.0,Private,28887.0,11th,7.0,Married-civ-spouse,Sales,Husband,White,,0.0,0.0,50.0,United-States,<=50K
43.0,Self-emp-not-inc,292175.0,Masters,14.0,Divorced,,Unmarried,White,Female,0.0,0.0,45.0,United-States,>50K
40.0,Private,,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,,,>50K
54.0,,302146.0,HS-grad,,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,20.0,United-States,<=50K
35.0,Federal-gov,76845.0,9th,,Married-civ-spouse,,,,Male,0.0,0.0,40.0,,<=50K
43.0,,117037.0,,7.0,Married-civ-spouse,Transport-moving,,White,Male,0.0,2042.0,40.0,United-States,<=50K
59.0,Private,109015.0,,9.0,Divorced,Tech-support,Unmarried,White,,0.0,0.0,,,<=50K
56.0,Local-gov,216851.0,,,Married-civ-spouse,Tech-support,Husband,White,Male,,0.0,40.0,United-States,
19.0,Private,168294.0,,9.0,Never-married,Craft-repair,Own-child,White,,,0.0,,United-States,<=50K
39.0,Private,367260.0,,9.0,Divorced,Exec-managerial,,White,Male,0.0,0.0,,United-States,
49.0,Private,193366.0,HS-grad,,Married-civ-spouse,Craft-repair,,White,,0.0,0.0,40.0,United-States,<=50K
23.0,,190709.0,,12.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,52.0,United-States,<=50K
20.0,Private,266015.0,Some-college,10.0,Never-married,Sales,Own-child,Black,,0.0,0.0,44.0,United-States,<=50K
45.0,Private,386940.0,Bachelors,13.0,Divorced,Exec-managerial,Own-child,White,Male,0.0,1408.0,40.0,United-States,<=50K
30.0,Federal-gov,59951.0,,10.0,Married-civ-spouse,Adm-clerical,,White,Male,0.0,0.0,40.0,United-States,
,,311512.0,Some-college,,Married-civ-spouse,,Husband,Black,Male,,0.0,15.0,,
48.0,Private,242406.0,11th,7.0,Never-married,Machine-op-inspct,Unmarried,White,Male,,0.0,40.0,Puerto-Rico,<=50K
21.0,Private,197200.0,Some-college,10.0,,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,544091.0,HS-grad,9.0,Married-AF-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25.0,,<=50K
48.0,Self-emp-not-inc,,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,,507875.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,,43.0,United-States,<=50K
53.0,Self-emp-not-inc,88506.0,,13.0,,,Husband,White,,0.0,0.0,40.0,,
24.0,Private,172987.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,,Male,0.0,0.0,50.0,United-States,<=50K
49.0,,94638.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,,Female,0.0,0.0,,United-States,
25.0,,289980.0,,9.0,Never-married,Handlers-cleaners,Not-in-family,White,,0.0,,35.0,United-States,<=50K
57.0,Federal-gov,337895.0,,13.0,Married-civ-spouse,Prof-specialty,,Black,Male,0.0,0.0,40.0,,>50K
53.0,Private,144361.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,Male,0.0,0.0,38.0,United-States,<=50K
44.0,Private,,,14.0,Divorced,Exec-managerial,Unmarried,White,Female,,,40.0,United-States,<=50K
41.0,State-gov,101603.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,,Male,0.0,0.0,40.0,,<=50K
29.0,Private,271466.0,Assoc-voc,11.0,Never-married,Prof-specialty,,White,Male,,0.0,43.0,,<=50K
25.0,Private,32275.0,Some-college,10.0,Married-civ-spouse,,Wife,Other,Female,0.0,0.0,,United-States,<=50K
47.0,Private,51835.0,Prof-school,,,Prof-specialty,Wife,,Female,0.0,1902.0,60.0,Honduras,>50K
,Federal-gov,251585.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,>50K
,Self-emp-inc,109832.0,HS-grad,9.0,Divorced,Exec-managerial,,White,Male,0.0,0.0,60.0,United-States,<=50K
43.0,Private,,Some-college,10.0,Married-civ-spouse,,Husband,,Male,,0.0,40.0,,
46.0,Private,216666.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,,White,Male,,0.0,40.0,Mexico,<=50K
35.0,Private,56352.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,,Male,,0.0,40.0,Puerto-Rico,<=50K
41.0,Private,147372.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
30.0,,188146.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013.0,0.0,40.0,United-States,<=50K
30.0,Private,59496.0,Bachelors,,Married-civ-spouse,Sales,Husband,White,,2407.0,0.0,40.0,United-States,<=50K
48.0,Private,149640.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,,United-States,<=50K
42.0,,116632.0,,16.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,,United-States,>50K
29.0,Private,105598.0,Some-college,10.0,Divorced,,Not-in-family,,Male,0.0,0.0,58.0,United-States,
,Private,155537.0,HS-grad,9.0,,Craft-repair,Husband,White,Male,0.0,,40.0,United-States,<=50K
,Private,183175.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,,
53.0,Private,169846.0,,9.0,Married-civ-spouse,Adm-clerical,,White,Female,0.0,0.0,40.0,United-States,>50K
49.0,Self-emp-inc,191681.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0.0,50.0,,>50K
,Private,,Some-college,10.0,,Prof-specialty,,White,Male,0.0,,32.0,United-States,<=50K
31.0,Private,,,13.0,Separated,,Own-child,Black,Female,0.0,0.0,40.0,United-States,
29.0,Self-emp-not-inc,162298.0,,13.0,Married-civ-spouse,Sales,Husband,,,0.0,,70.0,United-States,>50K
,,211678.0,Some-college,10.0,Never-married,Machine-op-inspct,,White,Male,0.0,0.0,40.0,,<=50K
79.0,Private,124744.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0.0,0.0,20.0,United-States,
27.0,Private,213921.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,,0.0,0.0,40.0,Mexico,<=50K
40.0,Private,,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,,Male,,0.0,40.0,United-States,
18.0,Private,309634.0,,,Never-married,Other-service,Own-child,,Female,0.0,0.0,22.0,United-States,<=50K
31.0,Local-gov,125927.0,,4.0,,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
18.0,Private,446839.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,,0.0,30.0,United-States,
52.0,Private,,Bachelors,13.0,Married-civ-spouse,,Husband,White,,0.0,0.0,40.0,Cuba,<=50K
46.0,Private,51618.0,HS-grad,9.0,,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
59.0,Private,,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,,0.0,48.0,United-States,<=50K
44.0,Private,343591.0,HS-grad,9.0,Divorced,Craft-repair,,,Female,14344.0,0.0,40.0,United-States,>50K
53.0,Private,346253.0,HS-grad,9.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
,Local-gov,268234.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,,United-States,>50K
33.0,,202051.0,Masters,14.0,Married-civ-spouse,Prof-specialty,,White,Male,0.0,0.0,50.0,United-States,
,,54334.0,9th,5.0,Never-married,Sales,Not-in-family,,Male,0.0,,40.0,United-States,
43.0,Federal-gov,410867.0,Doctorate,16.0,,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,>50K
57.0,Private,249977.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0.0,40.0,United-States,<=50K
37.0,Private,286730.0,Some-college,10.0,Divorced,,Unmarried,,Female,0.0,0.0,40.0,United-States,<=50K
,Private,212563.0,Some-college,10.0,Divorced,,Unmarried,,Female,,,25.0,United-States,
34.0,,226296.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,,,United-States,>50K
29.0,Local-gov,115585.0,Some-college,10.0,Never-married,,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
48.0,,191277.0,,16.0,Married-civ-spouse,Prof-specialty,,White,Male,0.0,1902.0,60.0,United-States,>50K
,Private,202683.0,Some-college,10.0,,Sales,Husband,White,Male,0.0,0.0,,United-States,>50K
48.0,,,Assoc-acdm,12.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,,
32.0,,249409.0,HS-grad,9.0,Never-married,,Own-child,Black,Male,0.0,0.0,40.0,,<=50K
76.0,Private,124191.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,,
44.0,Private,,Bachelors,13.0,Married-civ-spouse,,Husband,White,,15024.0,0.0,,United-States,>50K
47.0,,149116.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,,<=50K
20.0,Private,,Some-college,10.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,,<=50K
29.0,Private,103432.0,HS-grad,9.0,,,Not-in-family,White,Male,,0.0,,United-States,<=50K
32.0,Self-emp-inc,317660.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,Male,,0.0,40.0,United-States,>50K
30.0,Private,194901.0,,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Local-gov,189265.0,HS-grad,,,,,White,Female,0.0,0.0,,United-States,<=50K
42.0,Private,124692.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,,432376.0,Bachelors,13.0,Never-married,Sales,Other-relative,White,,,,40.0,United-States,<=50K
38.0,Private,,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,0.0,40.0,United-States,>50K
56.0,Self-emp-not-inc,335605.0,,,Married-civ-spouse,,,White,Male,0.0,1887.0,50.0,Canada,>50K
28.0,Private,377869.0,Some-college,10.0,Married-civ-spouse,Sales,Wife,White,Female,4064.0,0.0,25.0,United-States,<=50K
,Private,,HS-grad,9.0,Never-married,,Own-child,White,Female,0.0,0.0,,United-States,<=50K
53.0,Private,,9th,5.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,,50.0,United-States,
56.0,Self-emp-inc,303090.0,Some-college,10.0,,Sales,Husband,,,0.0,0.0,,,<=50K
,Local-gov,197371.0,Assoc-voc,,Married-civ-spouse,Craft-repair,,Black,Male,,0.0,40.0,,>50K
55.0,Private,247552.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,,0.0,56.0,United-States,<=50K
22.0,,102632.0,HS-grad,,Never-married,Craft-repair,Not-in-family,,Male,,0.0,41.0,United-States,
,Private,199915.0,,10.0,Never-married,Other-service,Own-child,,,,0.0,40.0,United-States,<=50K
40.0,Private,,Bachelors,,,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
30.0,Private,77143.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,Black,,0.0,,,Germany,
29.0,State-gov,267989.0,Bachelors,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,,,>50K
19.0,Private,301606.0,,10.0,Never-married,Other-service,Own-child,Black,Male,,0.0,35.0,,<=50K
,Private,287828.0,,,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
,Private,111697.0,Some-college,,,,Own-child,,Female,0.0,1719.0,28.0,United-States,<=50K
,,114937.0,Assoc-acdm,12.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
39.0,Private,,Some-college,10.0,,,Not-in-family,White,Male,0.0,0.0,40.0,United-States,
,Private,69621.0,,,Never-married,Sales,Not-in-family,White,,,0.0,60.0,United-States,<=50K
24.0,Private,43323.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,,Female,0.0,,40.0,United-States,<=50K
38.0,,120985.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,,Male,4386.0,0.0,35.0,United-States,<=50K
37.0,Private,,Bachelors,13.0,Married-civ-spouse,Sales,,White,,0.0,0.0,50.0,,
46.0,Private,146195.0,,12.0,,Tech-support,,Black,Female,0.0,0.0,36.0,United-States,<=50K
38.0,Federal-gov,125933.0,Masters,14.0,,,Husband,White,Male,0.0,0.0,,Iran,
43.0,,56920.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,,,<=50K
,Private,,Assoc-voc,,Married-civ-spouse,Adm-clerical,,White,Female,,0.0,35.0,United-States,<=50K
20.0,Private,34310.0,Some-college,10.0,,,Own-child,White,Male,0.0,0.0,20.0,,<=50K
49.0,Private,81973.0,Some-college,,Married-civ-spouse,,,Asian-Pac-Islander,Male,0.0,,40.0,United-States,>50K
,Self-emp-inc,66614.0,HS-grad,9.0,,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,232782.0,Some-college,,Never-married,,Own-child,White,Female,0.0,,,United-States,<=50K
