age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.0,State-gov,77516.0,Bachelors,13.0,,Adm-clerical,,White,Male,,,40.0,United-States,<=50K
,Self-emp-not-inc,83311.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,,White,Male,0.0,0.0,13.0,United-States,<=50K
38.0,Private,215646.0,HS-grad,9.0,Divorced,Handlers-cleaners,,White,Male,,,40.0,United-States,
53.0,Private,234721.0,11th,7.0,Married-civ-spouse,,Husband,Black,Male,0.0,0.0,,United-States,<=50K
28.0,Private,,Bachelors,13.0,,Prof-specialty,Wife,Black,,0.0,0.0,40.0,Cuba,<=50K
,Private,284582.0,Masters,14.0,Married-civ-spouse,,,White,Female,0.0,0.0,40.0,,<=50K
,Private,160187.0,9th,5.0,Married-spouse-absent,,,Black,,,0.0,16.0,Jamaica,<=50K
52.0,Self-emp-not-inc,209642.0,HS-grad,9.0,Married-civ-spouse,,,,Male,0.0,0.0,45.0,United-States,>50K
31.0,,45781.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,,0.0,50.0,United-States,>50K
42.0,,159449.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178.0,0.0,40.0,United-States,>50K
37.0,,280464.0,Some-college,,Married-civ-spouse,Exec-managerial,Husband,Black,Male,,0.0,80.0,United-States,>50K
,State-gov,,,,Married-civ-spouse,Prof-specialty,,Asian-Pac-Islander,Male,0.0,0.0,40.0,India,>50K
23.0,Private,122272.0,,13.0,Never-married,Adm-clerical,,White,Female,0.0,0.0,30.0,United-States,<=50K
32.0,Private,205019.0,Assoc-acdm,12.0,,Sales,Not-in-family,Black,Male,0.0,0.0,50.0,,<=50K
34.0,Private,,7th-8th,4.0,Married-civ-spouse,Transport-moving,,Amer-Indian-Eskimo,Male,,0.0,45.0,Mexico,<=50K
25.0,Self-emp-not-inc,176756.0,,,Never-married,Farming-fishing,Own-child,White,,0.0,,35.0,United-States,<=50K
32.0,,186824.0,,9.0,Never-married,,,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,,11th,,Married-civ-spouse,Sales,,White,Male,0.0,0.0,,,<=50K
43.0,Self-emp-not-inc,,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,>50K
40.0,Private,193524.0,,16.0,,Prof-specialty,Husband,White,Male,0.0,0.0,,United-States,>50K
54.0,Private,302146.0,HS-grad,9.0,Separated,Other-service,,Black,Female,0.0,0.0,,United-States,<=50K
35.0,,76845.0,9th,5.0,,Farming-fishing,,Black,Male,0.0,0.0,40.0,United-States,<=50K
43.0,Private,117037.0,,7.0,Married-civ-spouse,,Husband,,Male,0.0,2042.0,40.0,United-States,<=50K
,Private,109015.0,,9.0,Divorced,Tech-support,Unmarried,White,,0.0,0.0,40.0,,<=50K
56.0,Local-gov,,Bachelors,13.0,Married-civ-spouse,,Husband,,Male,,,40.0,United-States,>50K
19.0,Private,,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,,
39.0,Private,367260.0,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,,0.0,0.0,80.0,United-States,<=50K
,Private,193366.0,HS-grad,,Married-civ-spouse,Craft-repair,Husband,White,,0.0,0.0,40.0,United-States,<=50K
23.0,Local-gov,,Assoc-acdm,12.0,Never-married,,Not-in-family,White,Male,,0.0,,United-States,
20.0,Private,266015.0,,10.0,Never-married,,,Black,Male,0.0,0.0,44.0,United-States,<=50K
45.0,Private,386940.0,Bachelors,13.0,,,,,Male,0.0,1408.0,40.0,United-States,<=50K
,Federal-gov,59951.0,,10.0,Married-civ-spouse,,Own-child,,Male,,0.0,40.0,United-States,<=50K
22.0,State-gov,311512.0,,10.0,Married-civ-spouse,Other-service,Husband,Black,,0.0,,,,<=50K
48.0,Private,,11th,7.0,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,Puerto-Rico,<=50K
,Private,197200.0,Some-college,,Never-married,Machine-op-inspct,Own-child,White,,0.0,0.0,40.0,United-States,<=50K
19.0,Private,544091.0,HS-grad,9.0,,,,,Female,,0.0,25.0,United-States,<=50K
48.0,Self-emp-not-inc,,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,,White,,0.0,,,United-States,
31.0,Private,,9th,,Married-civ-spouse,Machine-op-inspct,,White,Male,0.0,,43.0,United-States,<=50K
53.0,Self-emp-not-inc,88506.0,Bachelors,,Married-civ-spouse,Prof-specialty,,White,Male,0.0,0.0,40.0,United-States,<=50K
,,172987.0,,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,
49.0,Private,94638.0,,,Separated,,Unmarried,White,Female,,0.0,,United-States,<=50K
25.0,Private,,HS-grad,9.0,,Handlers-cleaners,Not-in-family,,Male,0.0,,35.0,United-States,<=50K
57.0,Federal-gov,337895.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States,
53.0,Private,144361.0,HS-grad,9.0,,,Husband,,Male,,0.0,38.0,United-States,<=50K
44.0,Private,,Masters,14.0,Divorced,,Unmarried,White,Female,,0.0,,United-States,<=50K
41.0,State-gov,101603.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
29.0,Private,271466.0,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,,,United-States,<=50K
