age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,State-gov,77516,Bachelors,13,,,Not-in-family,White,,,0,,United-States,<=50K
50,Self-emp-not-inc,,,,Married-civ-spouse,Exec-managerial,,,Male,0,0,13,,<=50K
38,Private,215646,HS-grad,,Divorced,,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,,Male,0,,40,United-States,
28,Private,,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,,,<=50K
37,Private,284582,Masters,,Married-civ-spouse,Exec-managerial,Wife,,Female,0,,40,United-States,<=50K
,Private,160187,,5,Married-spouse-absent,,Not-in-family,Black,,,,16,Jamaica,
,Self-emp-not-inc,209642,,,,Exec-managerial,,White,Male,0,,,United-States,>50K
,,,,14,,Prof-specialty,Not-in-family,White,,14084,0,50,United-States,
42,Private,159449,,13,,Exec-managerial,,White,,5178,0,40,United-States,
,,280464,,10,Married-civ-spouse,Exec-managerial,,,,,,80,United-States,>50K
,State-gov,,Bachelors,13,,Prof-specialty,Husband,Asian-Pac-Islander,Male,,0,40,,>50K
23,Private,122272,Bachelors,,Never-married,,Own-child,White,Female,,0,30,United-States,<=50K
,Private,205019,,12,Never-married,Sales,Not-in-family,Black,,0,0,50,,<=50K
,Private,,,4,Married-civ-spouse,,,Amer-Indian-Eskimo,,,0,,,<=50K
25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,,0,,35,United-States,<=50K
32,Private,186824,HS-grad,,Never-married,Machine-op-inspct,Unmarried,,Male,0,0,40,United-States,<=50K
,Private,,,,Married-civ-spouse,Sales,,White,Male,0,,50,,<=50K
43,,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,,0,0,45,United-States,>50K
,,193524,,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,,>50K
54,,302146,,9,Separated,Other-service,Unmarried,Black,,,0,20,,
,Federal-gov,76845,,5,,Farming-fishing,Husband,Black,Male,,0,40,,<=50K
,,,,7,Married-civ-spouse,Transport-moving,Husband,White,,0,2042,40,,<=50K
59,,,,9,Divorced,Tech-support,,,Female,0,,,,<=50K
,,,Bachelors,13,Married-civ-spouse,Tech-support,Husband,,,0,0,,,>50K
19,Private,168294,HS-grad,9,Never-married,Craft-repair,,White,Male,,,,United-States,<=50K
39,Private,367260,HS-grad,9,,Exec-managerial,Not-in-family,White,Male,0,,80,United-States,
49,Private,193366,HS-grad,,Married-civ-spouse,Craft-repair,,White,Male,,0,40,United-States,<=50K
,Local-gov,190709,,12,Never-married,,Not-in-family,White,Male,0,0,52,United-States,<=50K
,,,,10,Never-married,Sales,Own-child,Black,,,,44,United-States,<=50K
45,Private,386940,,,Divorced,Exec-managerial,,White,Male,0,1408,40,United-States,
30,Federal-gov,59951,Some-college,,,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
22,State-gov,311512,,10,,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
48,Private,,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,,40,Puerto-Rico,<=50K
