age,job,education,balance,day,month,duration,campaign,pdays,previous,poutcome,y,combo
58,management,tertiary,2143,5.0,may,261.0,,0,0.0,unknown,no,married_no_yes_no_unknown
44,,secondary,29,5.0,may,151.0,,0,0.0,unknown,no,single_no_yes_no_unknown
33,entrepreneur,secondary,2,5.0,may,76.0,1.0,0,0.0,unknown,no,married_no_yes_yes_unknown
47,blue-collar,unknown,1506,5.0,may,92.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
33,unknown,unknown,1,5.0,may,,1.0,0,0.0,unknown,no,
35,management,tertiary,231,5.0,may,139.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
28,management,tertiary,447,5.0,may,217.0,1.0,0,0.0,unknown,no,
42,entrepreneur,tertiary,2,5.0,may,380.0,1.0,0,,unknown,no,
58,retired,primary,121,5.0,may,50.0,1.0,0,0.0,unknown,no,
43,technician,secondary,593,5.0,may,55.0,,0,0.0,unknown,no,
41,admin.,secondary,270,5.0,may,222.0,,0,0.0,unknown,no,
29,admin.,secondary,390,5.0,may,137.0,,0,0.0,unknown,no,single_no_yes_no_unknown
53,technician,secondary,6,5.0,may,517.0,,0,0.0,unknown,no,married_no_yes_no_unknown
58,technician,unknown,71,,may,,,0,0.0,unknown,no,
57,,secondary,162,5.0,may,174.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
51,retired,primary,229,,may,353.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
45,admin.,unknown,13,5.0,may,,1.0,0,0.0,unknown,no,
57,blue-collar,primary,52,5.0,may,38.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
60,retired,primary,60,5.0,may,,1.0,0,0.0,unknown,no,
33,services,secondary,0,5.0,may,54.0,1.0,0,0.0,unknown,no,
28,blue-collar,secondary,723,5.0,may,262.0,1.0,0,0.0,unknown,no,
56,management,tertiary,779,5.0,may,164.0,1.0,0,0.0,unknown,no,
32,,primary,23,5.0,may,160.0,1.0,0,0.0,unknown,no,
25,services,secondary,50,5.0,may,342.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
40,retired,primary,0,5.0,may,181.0,1.0,0,0.0,unknown,no,
44,admin.,secondary,-372,5.0,may,172.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
39,management,tertiary,255,5.0,may,296.0,1.0,0,0.0,unknown,no,
52,entrepreneur,secondary,113,5.0,may,127.0,1.0,0,0.0,unknown,no,married_no_yes_yes_unknown
46,management,secondary,-246,5.0,may,255.0,2.0,0,0.0,unknown,no,
36,technician,secondary,265,5.0,may,,1.0,0,0.0,unknown,no,single_no_yes_yes_unknown
57,technician,secondary,839,5.0,may,,1.0,0,0.0,unknown,no,married_no_no_yes_unknown
49,management,tertiary,378,5.0,may,230.0,,0,,unknown,no,
60,admin.,secondary,39,5.0,may,208.0,1.0,0,0.0,unknown,no,married_no_yes_yes_unknown
59,blue-collar,secondary,0,5.0,may,226.0,1.0,0,0.0,unknown,no,
51,management,tertiary,10635,5.0,may,336.0,,0,0.0,unknown,no,
57,technician,secondary,63,5.0,may,242.0,1.0,0,0.0,unknown,no,divorced_no_yes_no_unknown
25,blue-collar,secondary,-7,5.0,may,365.0,,0,0.0,unknown,no,married_no_yes_no_unknown
53,technician,secondary,-3,5.0,may,1666.0,,0,0.0,unknown,no,married_no_no_no_unknown
36,,secondary,506,5.0,may,577.0,1.0,0,0.0,unknown,no,divorced_no_yes_no_unknown
37,admin.,secondary,0,5.0,may,,,0,0.0,unknown,no,
44,services,secondary,2586,5.0,may,,1.0,0,0.0,unknown,no,divorced_no_yes_no_unknown
50,management,secondary,49,,may,180.0,2.0,0,0.0,unknown,no,
60,blue-collar,unknown,104,5.0,may,22.0,,0,0.0,unknown,no,
54,retired,secondary,529,5.0,may,,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
58,retired,unknown,96,5.0,may,616.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
36,admin.,primary,-171,5.0,may,242.0,,0,0.0,unknown,no,single_no_yes_no_unknown
58,self-employed,tertiary,-364,5.0,may,,,0,0.0,unknown,no,married_no_yes_no_unknown
44,,secondary,0,5.0,may,,2.0,0,0.0,unknown,no,married_no_yes_no_unknown
55,technician,secondary,0,5.0,may,160.0,1.0,0,0.0,unknown,no,divorced_no_no_no_unknown
29,,tertiary,0,5.0,may,363.0,1.0,0,0.0,unknown,no,
54,blue-collar,secondary,1291,5.0,may,,1.0,0,0.0,unknown,no,
48,management,tertiary,-244,5.0,may,,,0,0.0,unknown,no,divorced_no_yes_no_unknown
32,management,tertiary,0,5.0,may,,1.0,0,0.0,unknown,no,
42,admin.,secondary,-76,5.0,may,787.0,1.0,0,0.0,unknown,no,single_no_yes_no_unknown
24,technician,secondary,-103,5.0,may,145.0,,0,0.0,unknown,no,single_no_yes_yes_unknown
38,entrepreneur,tertiary,243,5.0,may,,1.0,0,0.0,unknown,no,
38,management,tertiary,424,5.0,may,104.0,1.0,0,0.0,unknown,no,
47,blue-collar,unknown,306,5.0,may,13.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
40,blue-collar,unknown,24,5.0,may,185.0,,0,0.0,unknown,no,
46,services,primary,179,5.0,may,1778.0,,0,0.0,unknown,no,married_no_yes_no_unknown
32,admin.,tertiary,0,5.0,may,,,0,0.0,unknown,no,married_no_yes_no_unknown
53,technician,secondary,989,5.0,may,,1.0,0,0.0,unknown,no,divorced_no_yes_no_unknown
57,blue-collar,primary,249,5.0,may,164.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
33,services,secondary,790,5.0,may,391.0,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
49,blue-collar,unknown,154,5.0,may,,1.0,0,0.0,unknown,no,married_no_yes_no_unknown
51,management,tertiary,6530,5.0,may,91.0,,0,0.0,unknown,no,married_no_yes_no_unknown
60,retired,tertiary,100,5.0,may,,1.0,0,0.0,unknown,no,married_no_no_no_unknown
