age,job,education,balance,day,month,duration,campaign,pdays,previous,poutcome,y,combo
58.0,management,tertiary,2143.0,5.0,,261.0,1.0,0.0,0.0,unknown,,married_no_yes_no_unknown
44.0,technician,secondary,,5.0,may,151.0,1.0,0.0,0.0,unknown,no,
33.0,entrepreneur,secondary,,5.0,,76.0,1.0,0.0,0.0,unknown,,married_no_yes_yes_unknown
47.0,blue-collar,,1506.0,5.0,may,92.0,1.0,0.0,,unknown,no,married_no_yes_no_unknown
33.0,unknown,unknown,1.0,5.0,may,198.0,,0.0,,unknown,no,
35.0,,tertiary,231.0,5.0,may,139.0,,0.0,0.0,,no,married_no_yes_no_unknown
28.0,management,tertiary,447.0,,may,217.0,1.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
42.0,entrepreneur,tertiary,2.0,,may,380.0,1.0,0.0,0.0,unknown,no,
58.0,retired,primary,121.0,5.0,may,50.0,1.0,0.0,0.0,unknown,no,
43.0,technician,secondary,,5.0,may,55.0,1.0,0.0,0.0,unknown,no,
41.0,admin.,secondary,270.0,,may,,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
29.0,admin.,,,5.0,,137.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
53.0,technician,secondary,,,,517.0,1.0,0.0,0.0,unknown,no,
58.0,technician,unknown,71.0,5.0,may,71.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
57.0,services,secondary,162.0,5.0,may,174.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
51.0,retired,primary,229.0,5.0,may,353.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
45.0,admin.,unknown,13.0,5.0,may,,1.0,0.0,,unknown,no,single_no_yes_no_unknown
57.0,blue-collar,primary,52.0,5.0,may,38.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
60.0,,primary,60.0,5.0,may,219.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,,secondary,0.0,5.0,may,54.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
28.0,blue-collar,secondary,723.0,5.0,may,262.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
,management,,779.0,5.0,may,164.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
32.0,blue-collar,primary,23.0,5.0,may,160.0,1.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
25.0,services,secondary,50.0,5.0,may,342.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
40.0,retired,primary,0.0,5.0,,181.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
44.0,admin.,secondary,-372.0,5.0,may,172.0,,0.0,0.0,unknown,no,married_no_yes_no_unknown
39.0,management,,255.0,5.0,may,296.0,,0.0,0.0,unknown,no,
52.0,entrepreneur,secondary,113.0,5.0,may,127.0,,0.0,0.0,unknown,no,married_no_yes_yes_unknown
46.0,management,secondary,-246.0,5.0,may,255.0,2.0,,0.0,,no,
36.0,technician,secondary,265.0,5.0,may,348.0,1.0,0.0,,unknown,no,single_no_yes_yes_unknown
57.0,technician,secondary,839.0,5.0,may,225.0,1.0,0.0,0.0,unknown,no,married_no_no_yes_unknown
49.0,management,tertiary,378.0,5.0,may,230.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
60.0,admin.,secondary,,5.0,may,208.0,,0.0,0.0,unknown,no,married_no_yes_yes_unknown
59.0,blue-collar,secondary,0.0,5.0,may,226.0,,0.0,,unknown,,
,management,,10635.0,5.0,may,336.0,1.0,0.0,0.0,,no,married_no_yes_no_unknown
57.0,,secondary,63.0,5.0,may,242.0,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
25.0,blue-collar,,-7.0,5.0,may,365.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
53.0,technician,secondary,-3.0,5.0,may,1666.0,1.0,0.0,,unknown,no,
36.0,admin.,secondary,506.0,5.0,may,577.0,1.0,,0.0,unknown,no,divorced_no_yes_no_unknown
37.0,admin.,secondary,0.0,5.0,may,137.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
44.0,,,2586.0,5.0,may,160.0,1.0,0.0,0.0,unknown,no,
50.0,management,,49.0,5.0,may,180.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
60.0,,unknown,104.0,5.0,may,22.0,1.0,0.0,0.0,unknown,no,
54.0,retired,secondary,529.0,5.0,may,1492.0,1.0,0.0,0.0,unknown,no,
58.0,retired,unknown,96.0,5.0,may,616.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
36.0,admin.,primary,-171.0,5.0,may,242.0,1.0,0.0,0.0,unknown,no,
58.0,self-employed,tertiary,-364.0,5.0,may,355.0,1.0,,0.0,unknown,no,
44.0,technician,,0.0,5.0,may,225.0,2.0,0.0,0.0,unknown,,married_no_yes_no_unknown
55.0,technician,secondary,0.0,5.0,may,,1.0,0.0,0.0,unknown,no,
29.0,management,tertiary,0.0,5.0,may,363.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
54.0,blue-collar,secondary,1291.0,5.0,may,266.0,1.0,,0.0,,no,married_no_yes_no_unknown
48.0,management,tertiary,-244.0,5.0,may,253.0,1.0,,0.0,,no,
32.0,management,tertiary,0.0,5.0,may,179.0,1.0,0.0,0.0,unknown,,married_no_yes_no_unknown
42.0,admin.,secondary,-76.0,5.0,may,787.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
24.0,technician,secondary,-103.0,5.0,may,145.0,1.0,0.0,,unknown,no,single_no_yes_yes_unknown
38.0,,tertiary,243.0,5.0,may,174.0,1.0,0.0,0.0,unknown,no,
,management,tertiary,424.0,5.0,may,104.0,1.0,0.0,0.0,unknown,no,
47.0,,unknown,,5.0,,13.0,1.0,0.0,,unknown,,married_no_yes_no_unknown
40.0,blue-collar,unknown,24.0,5.0,may,185.0,1.0,0.0,0.0,unknown,no,
46.0,services,primary,179.0,5.0,,1778.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
32.0,admin.,tertiary,0.0,5.0,may,,1.0,,,unknown,no,
53.0,technician,secondary,989.0,5.0,may,,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
57.0,,primary,249.0,5.0,may,,,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,services,secondary,790.0,5.0,may,391.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
49.0,blue-collar,unknown,154.0,5.0,may,357.0,,0.0,0.0,unknown,no,married_no_yes_no_unknown
51.0,management,tertiary,6530.0,5.0,may,91.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
60.0,retired,tertiary,100.0,,,528.0,,0.0,0.0,,no,married_no_no_no_unknown
59.0,management,tertiary,59.0,5.0,may,273.0,,,0.0,unknown,no,
55.0,technician,secondary,,,may,158.0,,,0.0,unknown,no,married_no_yes_no_unknown
35.0,blue-collar,secondary,12223.0,5.0,may,177.0,1.0,0.0,0.0,unknown,no,
57.0,blue-collar,secondary,5935.0,,may,,1.0,0.0,0.0,unknown,no,
31.0,services,secondary,25.0,5.0,may,172.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
54.0,management,,282.0,5.0,may,154.0,1.0,0.0,0.0,unknown,no,
55.0,blue-collar,,23.0,5.0,,291.0,1.0,0.0,0.0,,no,married_no_yes_no_unknown
43.0,technician,secondary,1937.0,,may,181.0,1.0,0.0,0.0,unknown,no,
53.0,technician,,384.0,5.0,may,176.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
44.0,blue-collar,secondary,582.0,5.0,may,211.0,1.0,0.0,0.0,unknown,no,married_no_no_yes_unknown
55.0,services,secondary,91.0,5.0,may,349.0,1.0,0.0,0.0,unknown,no,divorced_no_no_no_unknown
49.0,services,secondary,0.0,5.0,may,272.0,1.0,0.0,0.0,unknown,,
55.0,services,secondary,1.0,5.0,may,208.0,1.0,0.0,0.0,unknown,no,divorced_yes_yes_no_unknown
,admin.,secondary,206.0,5.0,may,193.0,1.0,,0.0,unknown,no,single_no_yes_no_unknown
47.0,services,secondary,164.0,5.0,may,212.0,1.0,0.0,0.0,unknown,,
,technician,secondary,690.0,5.0,may,20.0,1.0,0.0,0.0,unknown,no,
59.0,admin.,secondary,2343.0,,,1042.0,1.0,0.0,0.0,unknown,yes,married_no_yes_no_unknown
,,tertiary,137.0,5.0,may,246.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
51.0,blue-collar,,,5.0,may,529.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
56.0,admin.,secondary,45.0,,may,1467.0,,0.0,0.0,unknown,,
,technician,secondary,1270.0,5.0,may,1389.0,1.0,0.0,0.0,unknown,yes,
46.0,management,secondary,16.0,5.0,may,188.0,2.0,0.0,0.0,unknown,no,
57.0,retired,,486.0,5.0,may,180.0,2.0,0.0,0.0,unknown,no,
42.0,management,,50.0,5.0,may,48.0,1.0,0.0,0.0,unknown,no,
30.0,technician,secondary,152.0,5.0,may,213.0,2.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
60.0,admin.,secondary,290.0,5.0,may,583.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
60.0,blue-collar,unknown,54.0,5.0,may,221.0,,0.0,0.0,unknown,no,married_no_yes_no_unknown
57.0,entrepreneur,,-37.0,5.0,may,173.0,1.0,0.0,0.0,unknown,no,
36.0,management,tertiary,101.0,5.0,may,426.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
55.0,blue-collar,secondary,,5.0,may,287.0,1.0,,0.0,unknown,no,
60.0,retired,tertiary,81.0,5.0,,,1.0,0.0,0.0,unknown,no,
39.0,technician,secondary,,5.0,may,203.0,1.0,0.0,0.0,,no,married_no_yes_no_unknown
46.0,management,tertiary,229.0,5.0,may,197.0,,0.0,,,no,
44.0,,secondary,-674.0,5.0,may,257.0,1.0,0.0,0.0,unknown,no,
53.0,blue-collar,primary,90.0,5.0,may,124.0,1.0,0.0,0.0,unknown,,married_no_no_no_unknown
52.0,,primary,128.0,5.0,may,229.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
59.0,blue-collar,primary,179.0,5.0,may,55.0,3.0,0.0,0.0,,no,
27.0,technician,tertiary,0.0,5.0,may,400.0,1.0,0.0,0.0,unknown,no,
44.0,blue-collar,secondary,54.0,5.0,may,197.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
47.0,technician,tertiary,,5.0,may,190.0,1.0,0.0,0.0,unknown,no,
34.0,admin.,secondary,61.0,5.0,may,21.0,1.0,0.0,0.0,,,
59.0,retired,secondary,30.0,5.0,may,514.0,1.0,0.0,0.0,unknown,no,
45.0,management,,523.0,5.0,may,849.0,2.0,0.0,,unknown,no,
,services,secondary,31.0,,may,,1.0,0.0,0.0,unknown,no,
46.0,technician,secondary,79.0,5.0,may,144.0,1.0,0.0,0.0,unknown,no,
56.0,,primary,,5.0,may,212.0,2.0,0.0,0.0,unknown,,married_no_yes_yes_unknown
36.0,blue-collar,primary,448.0,5.0,may,286.0,1.0,0.0,,unknown,no,married_no_yes_no_unknown
59.0,retired,primary,81.0,5.0,may,,1.0,0.0,0.0,unknown,no,
44.0,blue-collar,,144.0,,,247.0,2.0,0.0,0.0,unknown,no,
41.0,admin.,secondary,351.0,5.0,,518.0,1.0,0.0,0.0,unknown,no,
33.0,management,tertiary,-67.0,,may,364.0,,0.0,0.0,unknown,no,single_no_yes_no_unknown
,management,tertiary,262.0,5.0,may,178.0,1.0,0.0,0.0,unknown,no,divorced_no_no_no_unknown
57.0,,,0.0,5.0,may,98.0,1.0,0.0,0.0,unknown,no,
56.0,technician,unknown,56.0,5.0,may,439.0,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
51.0,blue-collar,secondary,26.0,5.0,may,79.0,1.0,0.0,,unknown,no,
34.0,admin.,unknown,3.0,5.0,may,120.0,3.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
43.0,services,secondary,41.0,,may,,2.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
52.0,technician,tertiary,7.0,5.0,may,175.0,1.0,0.0,0.0,unknown,no,married_no_no_yes_unknown
33.0,technician,secondary,105.0,5.0,,262.0,2.0,0.0,,unknown,no,single_no_yes_no_unknown
29.0,admin.,secondary,818.0,5.0,may,,1.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
34.0,services,secondary,-16.0,5.0,may,78.0,1.0,0.0,,unknown,no,married_no_yes_yes_unknown
31.0,blue-collar,secondary,0.0,5.0,may,143.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
55.0,services,secondary,2476.0,5.0,may,579.0,1.0,0.0,0.0,unknown,yes,married_no_yes_no_unknown
55.0,management,unknown,1185.0,5.0,may,677.0,1.0,0.0,0.0,unknown,no,married_no_no_no_unknown
32.0,admin.,secondary,217.0,5.0,may,345.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
38.0,,secondary,1685.0,5.0,may,185.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
,admin.,secondary,802.0,5.0,,100.0,2.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
28.0,,tertiary,0.0,,may,125.0,,0.0,0.0,,no,single_no_yes_no_unknown
23.0,blue-collar,,94.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
32.0,technician,secondary,,5.0,may,136.0,,,0.0,unknown,no,single_no_yes_no_unknown
43.0,,unknown,0.0,5.0,may,73.0,1.0,0.0,0.0,unknown,no,
32.0,blue-collar,secondary,517.0,5.0,may,,,0.0,0.0,unknown,no,married_no_yes_no_unknown
46.0,blue-collar,secondary,265.0,5.0,may,541.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
53.0,housemaid,primary,947.0,5.0,may,163.0,1.0,0.0,0.0,unknown,no,
34.0,self-employed,secondary,3.0,5.0,may,301.0,,0.0,0.0,unknown,no,single_no_yes_no_unknown
,unemployed,tertiary,42.0,5.0,may,46.0,1.0,0.0,0.0,,no,
,blue-collar,secondary,37.0,5.0,may,204.0,1.0,,0.0,,no,
59.0,blue-collar,secondary,57.0,5.0,may,98.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,services,,22.0,5.0,may,71.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,blue-collar,primary,8.0,5.0,may,,2.0,0.0,0.0,unknown,no,
48.0,unemployed,secondary,293.0,5.0,may,243.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,services,primary,3.0,5.0,may,186.0,2.0,0.0,,unknown,no,married_no_yes_no_unknown
54.0,blue-collar,primary,348.0,5.0,may,579.0,2.0,,0.0,unknown,no,married_no_yes_no_unknown
51.0,blue-collar,,-19.0,5.0,,,2.0,0.0,0.0,unknown,no,
26.0,student,secondary,0.0,5.0,may,,2.0,0.0,0.0,unknown,no,
40.0,management,tertiary,,5.0,may,2033.0,1.0,0.0,0.0,unknown,no,
39.0,management,secondary,,5.0,may,85.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
50.0,technician,primary,139.0,5.0,may,114.0,,0.0,,,no,
41.0,,,0.0,,may,114.0,2.0,,0.0,unknown,no,married_no_yes_no_unknown
51.0,blue-collar,unknown,1883.0,5.0,may,57.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
60.0,retired,secondary,216.0,5.0,may,238.0,1.0,0.0,0.0,unknown,no,
52.0,blue-collar,secondary,782.0,5.0,may,93.0,3.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
48.0,blue-collar,secondary,904.0,5.0,may,128.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
48.0,services,unknown,1705.0,5.0,may,,1.0,0.0,0.0,,no,
39.0,technician,tertiary,,5.0,may,181.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
47.0,services,secondary,176.0,5.0,may,303.0,2.0,,0.0,,no,single_no_yes_no_unknown
40.0,blue-collar,secondary,1225.0,5.0,may,558.0,5.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
45.0,technician,secondary,86.0,5.0,may,270.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
26.0,admin.,secondary,82.0,5.0,may,,1.0,0.0,,unknown,no,single_no_yes_no_unknown
52.0,management,tertiary,271.0,5.0,may,99.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
54.0,,secondary,1378.0,5.0,may,,1.0,0.0,0.0,,no,married_no_yes_no_unknown
54.0,admin.,tertiary,184.0,5.0,may,673.0,2.0,0.0,0.0,unknown,yes,
50.0,blue-collar,primary,0.0,5.0,,233.0,3.0,0.0,0.0,unknown,no,married_no_no_no_unknown
35.0,blue-collar,,0.0,5.0,may,1056.0,1.0,0.0,0.0,unknown,no,
44.0,services,secondary,1357.0,5.0,may,250.0,,,0.0,unknown,no,married_no_yes_yes_unknown
53.0,entrepreneur,unknown,19.0,5.0,,252.0,1.0,0.0,0.0,unknown,no,
35.0,retired,primary,434.0,5.0,,138.0,1.0,,0.0,unknown,no,single_no_no_no_unknown
60.0,admin.,secondary,92.0,5.0,may,130.0,,,0.0,unknown,no,
53.0,admin.,secondary,1151.0,5.0,may,412.0,,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
48.0,unemployed,secondary,41.0,5.0,may,179.0,2.0,,0.0,unknown,no,
34.0,technician,secondary,51.0,5.0,may,19.0,2.0,0.0,,,no,married_no_yes_no_unknown
54.0,services,secondary,214.0,5.0,may,458.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
51.0,management,secondary,1161.0,5.0,may,717.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
31.0,services,tertiary,37.0,5.0,may,313.0,1.0,0.0,0.0,unknown,no,
35.0,technician,secondary,787.0,5.0,may,683.0,2.0,,0.0,unknown,no,divorced_no_yes_no_unknown
35.0,services,secondary,59.0,5.0,may,1077.0,1.0,0.0,0.0,unknown,no,
38.0,technician,secondary,253.0,5.0,may,416.0,1.0,0.0,0.0,unknown,no,
36.0,admin.,tertiary,211.0,5.0,may,146.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
58.0,retired,primary,235.0,,may,167.0,1.0,0.0,0.0,unknown,no,
40.0,services,unknown,4384.0,5.0,may,315.0,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
54.0,management,secondary,,5.0,may,140.0,1.0,,0.0,unknown,no,married_no_no_no_unknown
34.0,blue-collar,,53.0,,,346.0,1.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
31.0,management,tertiary,0.0,5.0,may,562.0,1.0,0.0,0.0,unknown,no,
,retired,secondary,2127.0,5.0,may,172.0,1.0,0.0,0.0,unknown,no,
33.0,management,tertiary,377.0,5.0,may,,1.0,,0.0,,no,married_no_yes_no_unknown
55.0,management,,,5.0,may,,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
42.0,admin.,secondary,445.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
34.0,blue-collar,secondary,243.0,5.0,may,291.0,1.0,,0.0,unknown,no,
33.0,blue-collar,secondary,307.0,5.0,may,309.0,2.0,0.0,0.0,unknown,no,
38.0,services,secondary,155.0,5.0,may,248.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
50.0,technician,tertiary,173.0,5.0,may,98.0,1.0,0.0,0.0,unknown,no,divorced_no_no_yes_unknown
43.0,management,tertiary,400.0,5.0,may,256.0,1.0,0.0,0.0,unknown,no,
61.0,blue-collar,primary,1428.0,5.0,may,82.0,,0.0,0.0,unknown,no,
,admin.,,,5.0,may,577.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
48.0,self-employed,tertiary,7.0,5.0,may,286.0,1.0,0.0,0.0,unknown,no,
44.0,blue-collar,secondary,575.0,,may,477.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
35.0,student,unknown,298.0,5.0,may,611.0,2.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
35.0,services,secondary,,5.0,may,471.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
50.0,services,secondary,5699.0,5.0,may,381.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
41.0,management,tertiary,176.0,5.0,may,42.0,1.0,0.0,0.0,unknown,no,
41.0,management,tertiary,517.0,5.0,may,251.0,,0.0,,unknown,no,married_no_yes_no_unknown
,services,unknown,257.0,5.0,may,408.0,1.0,0.0,0.0,,no,
42.0,retired,secondary,56.0,5.0,may,215.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
38.0,blue-collar,,,5.0,may,287.0,1.0,0.0,0.0,unknown,no,
,retired,,330.0,5.0,may,216.0,,0.0,0.0,unknown,no,married_no_yes_no_unknown
59.0,housemaid,primary,195.0,5.0,may,366.0,2.0,0.0,0.0,unknown,no,divorced_no_no_no_unknown
36.0,services,secondary,301.0,,may,210.0,1.0,0.0,0.0,unknown,no,
54.0,blue-collar,primary,-41.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
40.0,technician,tertiary,483.0,5.0,may,168.0,1.0,0.0,0.0,unknown,no,
,,unknown,28.0,5.0,may,338.0,2.0,0.0,0.0,unknown,no,
53.0,unemployed,unknown,13.0,5.0,may,410.0,3.0,0.0,0.0,unknown,no,married_no_no_no_unknown
46.0,housemaid,primary,965.0,5.0,may,177.0,,0.0,0.0,unknown,no,married_no_no_no_unknown
39.0,management,,378.0,5.0,may,127.0,,0.0,0.0,,no,married_no_yes_yes_unknown
40.0,unemployed,secondary,219.0,,may,357.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
28.0,blue-collar,primary,324.0,5.0,may,175.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
35.0,entrepreneur,secondary,-69.0,,may,300.0,1.0,0.0,,unknown,no,divorced_no_yes_no_unknown
55.0,retired,secondary,0.0,5.0,may,136.0,,0.0,0.0,unknown,no,married_no_no_yes_unknown
43.0,technician,unknown,205.0,5.0,may,1419.0,1.0,0.0,,unknown,,
48.0,blue-collar,primary,278.0,5.0,may,125.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
58.0,management,unknown,1065.0,5.0,may,,3.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,,tertiary,,5.0,may,27.0,1.0,0.0,,unknown,no,single_no_yes_no_unknown
36.0,blue-collar,unknown,1033.0,5.0,may,238.0,2.0,0.0,0.0,unknown,no,
53.0,services,secondary,1467.0,5.0,may,124.0,1.0,0.0,0.0,,no,divorced_no_yes_no_unknown
,,primary,-12.0,5.0,may,18.0,1.0,0.0,0.0,unknown,no,
31.0,services,secondary,388.0,5.0,may,730.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
57.0,entrepreneur,secondary,294.0,5.0,may,746.0,2.0,0.0,0.0,unknown,no,
,blue-collar,unknown,1827.0,5.0,,121.0,1.0,0.0,0.0,unknown,no,married_no_no_no_unknown
55.0,blue-collar,primary,,5.0,,247.0,,0.0,0.0,unknown,,
45.0,blue-collar,primary,25.0,5.0,may,40.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
53.0,admin.,secondary,315.0,,may,181.0,2.0,,0.0,unknown,,divorced_no_yes_no_unknown
,blue-collar,primary,0.0,5.0,may,79.0,1.0,0.0,,unknown,no,married_no_yes_no_unknown
44.0,admin.,secondary,66.0,5.0,may,206.0,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
49.0,blue-collar,primary,-9.0,5.0,,389.0,1.0,,0.0,unknown,,divorced_no_yes_yes_unknown
46.0,technician,secondary,349.0,5.0,may,127.0,1.0,,0.0,unknown,,married_no_yes_yes_unknown
43.0,entrepreneur,unknown,100.0,5.0,may,702.0,1.0,0.0,0.0,unknown,no,
38.0,admin.,secondary,0.0,5.0,may,151.0,1.0,0.0,0.0,,no,
43.0,technician,secondary,434.0,5.0,may,117.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
