age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,,0,0,,no
44,,single,secondary,no,,,no,,,may,151,,0,0,unknown,no
,entrepreneur,married,,no,,,yes,unknown,5,may,,,0,,unknown,no
,blue-collar,,,no,1506,,no,unknown,,,92,,,0,,no
33,,single,unknown,no,1,no,no,,5,,198,1,0,0,unknown,no
35,management,married,tertiary,no,,yes,,unknown,5,may,139,,,0,unknown,no
,management,,tertiary,no,447,yes,,,,may,217,1,0,,unknown,
,,,tertiary,yes,2,,,unknown,5,may,380,1,,0,unknown,no
58,retired,married,primary,no,121,,no,unknown,5,,,1,0,,unknown,no
43,,single,,no,,yes,no,,,may,55,,0,0,,
,admin.,,,no,270,,no,,5,may,222,1,0,0,unknown,no
,,,secondary,no,390,yes,no,,5,may,137,,0,0,unknown,
53,technician,married,,no,6,,,unknown,5,may,,1,,0,unknown,no
58,,married,unknown,,71,yes,no,unknown,,,71,,,0,,no
,services,married,secondary,no,162,yes,no,unknown,5,,174,1,0,0,unknown,no
,,married,primary,,229,yes,,,5,may,353,1,,0,,no
45,admin.,single,unknown,no,13,,no,unknown,,may,98,1,,0,unknown,no
57,blue-collar,married,,no,52,yes,no,unknown,,,38,1,,,unknown,no
60,retired,married,primary,no,,yes,,,,may,,1,,,,no
33,services,married,secondary,no,0,,no,unknown,5,may,54,1,0,,unknown,no
28,blue-collar,married,secondary,,723,yes,yes,unknown,5,may,,1,0,,unknown,no
,,,tertiary,,779,yes,,,5,may,164,1,0,0,unknown,no
32,blue-collar,single,primary,no,,,yes,unknown,5,may,160,1,,0,unknown,no
25,,married,secondary,,50,yes,no,unknown,5,,342,1,0,,unknown,no
40,,married,primary,no,0,yes,yes,,5,may,181,1,,0,unknown,no
44,admin.,married,,no,-372,,no,unknown,5,,172,,0,,unknown,
39,management,single,,no,255,yes,no,unknown,5,may,,1,,0,unknown,no
52,entrepreneur,,secondary,,113,yes,yes,unknown,,may,127,1,0,0,unknown,no
46,management,single,secondary,no,-246,yes,no,unknown,5,,,,0,,unknown,no
36,,single,,,,,,unknown,5,,348,,,0,unknown,no
,technician,married,,no,839,,,unknown,5,,,1,0,,,no
49,management,married,,,,,no,,5,,230,1,0,,,
,admin.,,,no,39,yes,yes,unknown,5,,208,,0,0,unknown,
,blue-collar,,secondary,no,0,yes,no,unknown,,may,226,,0,,unknown,no
51,management,,,,10635,,no,,5,may,,1,0,0,unknown,
57,technician,,secondary,no,,,no,,5,may,,1,,0,unknown,no
25,,married,secondary,no,-7,yes,,unknown,,may,,1,,,,
53,technician,married,secondary,no,,no,no,,5,may,1666,1,0,,unknown,
36,admin.,divorced,secondary,no,506,yes,no,,5,may,577,1,,0,,no
37,,single,,,,yes,,unknown,,may,137,1,0,0,unknown,
44,,,secondary,,2586,yes,no,unknown,,may,160,1,,0,,
50,management,married,secondary,no,,yes,no,unknown,5,,180,2,0,,unknown,no
,blue-collar,married,unknown,,,yes,no,unknown,5,,22,1,,0,unknown,no
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,,0,,unknown,no
58,,married,unknown,no,,,no,unknown,5,may,616,1,0,0,unknown,
36,admin.,,primary,no,-171,,no,unknown,5,may,242,1,,0,unknown,no
58,,married,tertiary,no,,yes,no,,,may,355,,0,0,unknown,no
44,,married,secondary,no,0,yes,no,unknown,5,may,225,2,0,0,unknown,
55,technician,divorced,,no,,,,,5,may,160,1,0,0,unknown,no
29,,single,tertiary,no,0,yes,,,,,363,,0,0,unknown,no
,blue-collar,married,secondary,no,,yes,,unknown,5,may,,1,,0,unknown,no
48,management,divorced,tertiary,no,,,no,,,may,253,1,0,0,unknown,no
,,married,,,,yes,,unknown,5,,179,1,0,,unknown,no
42,admin.,single,secondary,no,,yes,no,unknown,5,may,,,0,0,unknown,no
24,technician,,,,-103,yes,yes,unknown,5,may,145,1,,0,,
38,entrepreneur,single,tertiary,no,,no,yes,unknown,5,may,,1,0,0,unknown,no
38,,,,no,,yes,,,5,may,,1,,0,,no
47,blue-collar,,unknown,,306,yes,,unknown,5,may,13,1,0,0,,no
40,,single,unknown,no,24,,no,unknown,5,may,185,1,0,0,unknown,no
46,services,,,,,yes,no,,,,,1,,0,unknown,
32,,married,tertiary,no,0,yes,no,unknown,,,138,1,,,unknown,
,technician,divorced,secondary,no,989,yes,no,unknown,,may,,1,0,,,no
,blue-collar,married,primary,no,249,yes,no,,5,,,1,0,,,no
33,,married,,no,790,yes,,,5,,391,1,0,0,,no
49,blue-collar,married,,,154,,no,,5,,357,1,0,0,unknown,no
51,management,married,tertiary,,6530,yes,no,unknown,,,91,,0,,unknown,no
60,retired,,tertiary,,,no,no,unknown,5,may,,1,,0,unknown,no
59,management,divorced,tertiary,no,,yes,no,unknown,5,may,,1,0,0,,no
,,,,,1205,yes,no,unknown,5,may,158,2,,0,unknown,no
35,blue-collar,,secondary,no,12223,,yes,,5,may,177,1,0,,unknown,
,,,,no,5935,yes,yes,unknown,5,may,258,1,0,,unknown,
,services,married,secondary,no,25,yes,,unknown,5,,172,,0,0,unknown,no
54,management,married,secondary,no,282,yes,,,,,154,,,0,,no
,blue-collar,married,,no,23,yes,no,unknown,5,may,,,0,0,unknown,
,technician,married,,,1937,yes,,unknown,,,181,1,0,,unknown,no
,,married,,no,384,yes,no,unknown,5,may,176,,0,,,no
44,blue-collar,married,secondary,no,582,no,yes,unknown,5,,211,,,0,unknown,no
55,services,divorced,secondary,no,,no,no,unknown,5,,,1,0,,unknown,no
49,,,secondary,no,0,,yes,unknown,5,,272,1,0,0,unknown,no
55,services,,,yes,,,no,,5,may,208,,0,0,,no
,admin.,single,secondary,no,206,yes,no,unknown,5,,193,,0,,,
47,services,divorced,,,164,no,no,unknown,5,may,212,1,,0,unknown,no
42,,single,secondary,,,yes,no,unknown,5,,20,1,,0,unknown,no
59,admin.,,secondary,,,yes,,unknown,5,may,1042,1,0,,unknown,yes
46,self-employed,married,tertiary,,,,,unknown,5,may,246,1,0,,unknown,no
51,blue-collar,married,primary,,173,yes,,unknown,,may,529,2,0,0,unknown,no
56,admin.,,secondary,no,45,,,unknown,5,may,1467,1,0,0,,yes
,,married,secondary,no,1270,yes,no,unknown,,,1389,1,,0,unknown,yes
46,,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,,0,,no
57,,,,,,,no,unknown,,,,,0,,unknown,no
42,management,,,no,,no,,unknown,,,48,1,0,,unknown,no
,technician,married,secondary,no,152,yes,yes,unknown,,may,213,2,,0,unknown,no
60,,,secondary,no,290,,no,,5,,583,,,0,unknown,no
,blue-collar,,,,,yes,,unknown,5,may,221,1,,0,,
,entrepreneur,,secondary,no,-37,no,no,unknown,5,may,173,1,0,0,unknown,no
36,management,married,tertiary,,101,yes,,unknown,5,may,,1,0,,unknown,no
55,,married,secondary,no,,no,,unknown,5,,,1,0,0,unknown,no
60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,,0,unknown,no
39,,married,secondary,no,,yes,no,unknown,5,,203,1,0,0,unknown,no
46,management,married,tertiary,no,229,yes,no,unknown,,,,1,0,0,,no
44,,married,secondary,no,-674,,no,unknown,5,may,257,,,0,,
53,blue-collar,married,primary,,,no,,unknown,,may,124,,,,unknown,
,blue-collar,married,,,,yes,no,unknown,,may,,1,,0,,
59,blue-collar,,primary,,179,yes,no,unknown,5,may,55,,0,0,,
27,,single,tertiary,no,,yes,,,5,may,,1,,0,unknown,no
44,blue-collar,married,secondary,,,,no,,5,may,,,,0,,no
47,technician,married,tertiary,no,151,yes,no,unknown,5,,190,1,0,0,unknown,no
34,admin.,married,,no,61,,,unknown,5,may,21,1,0,,unknown,
59,,single,secondary,no,,yes,,unknown,5,may,514,1,,,unknown,no
45,,married,tertiary,no,523,yes,,unknown,5,may,849,2,0,0,,no
,services,divorced,secondary,,31,yes,no,,5,may,194,1,0,0,unknown,
,technician,,secondary,,79,no,,unknown,5,may,144,,0,,unknown,no
,self-employed,married,,no,-34,yes,yes,unknown,5,,212,,,0,unknown,no
,,married,primary,no,,yes,,unknown,,,286,,0,0,,no
59,retired,divorced,,no,,yes,,,5,may,107,1,0,0,unknown,no
44,blue-collar,,,no,,yes,no,unknown,,may,,,,0,,no
41,,married,secondary,no,351,yes,,unknown,5,may,,1,,0,unknown,no
33,,,tertiary,no,,yes,no,unknown,5,may,364,1,,0,unknown,no
59,management,,tertiary,no,262,,no,unknown,5,may,,1,0,0,unknown,no
,technician,,primary,,,no,no,,,may,98,,0,0,unknown,
56,,divorced,,no,56,,no,,,may,439,1,0,0,,
,blue-collar,married,,no,26,yes,no,unknown,5,,,1,0,0,unknown,
34,admin.,married,unknown,,3,yes,,unknown,,may,,3,,0,unknown,
43,services,,,no,41,yes,yes,unknown,5,may,127,2,0,0,,
,,married,tertiary,no,7,no,,unknown,5,may,175,1,0,0,unknown,no
33,technician,single,,,105,yes,no,,5,,262,,0,0,unknown,no
29,admin.,,secondary,no,818,,yes,unknown,5,may,61,1,0,0,unknown,no
,,,,,-16,yes,yes,unknown,5,may,78,,0,,unknown,no
,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,,0,unknown,
55,services,,secondary,no,,,no,,5,,,1,,,,
55,management,,,no,1185,no,no,unknown,5,may,677,1,,0,unknown,no
32,,single,secondary,,,,no,unknown,,may,345,1,,0,unknown,no
,technician,,secondary,no,,yes,no,unknown,5,may,185,,0,0,unknown,no
55,admin.,single,secondary,no,802,yes,yes,unknown,5,,,,,0,unknown,no
28,unemployed,single,tertiary,,0,,no,,5,may,,,0,0,unknown,
,,married,secondary,no,94,yes,no,unknown,,may,,1,0,0,unknown,no
,technician,single,secondary,no,0,yes,no,,5,may,,1,0,0,unknown,no
,services,single,,no,0,no,no,unknown,5,may,73,,0,0,unknown,no
,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,0,0,unknown,no
,blue-collar,married,secondary,,265,yes,no,,5,,541,1,0,0,unknown,no
,,divorced,primary,no,,yes,,,,may,,1,,,,
,self-employed,single,secondary,no,3,yes,no,unknown,,may,301,,0,0,unknown,no
,unemployed,married,tertiary,,42,no,no,,5,may,,,0,,,no
37,,married,secondary,no,37,,no,,,may,,1,0,0,,no
59,,,,no,,yes,no,unknown,,may,,1,,0,unknown,no
33,services,married,secondary,,,yes,no,unknown,5,may,71,1,0,0,unknown,no
,blue-collar,divorced,primary,,8,yes,no,unknown,,may,157,,0,0,,no
,unemployed,married,,,293,yes,no,,,may,,1,0,0,unknown,
43,services,,primary,,3,yes,no,unknown,5,may,186,2,0,0,unknown,no
54,blue-collar,married,,no,348,,no,,,may,,,,0,unknown,no
,blue-collar,married,unknown,no,,,,unknown,5,may,163,2,,,unknown,no
,,single,secondary,no,0,yes,no,unknown,,may,,2,0,,unknown,no
40,management,,tertiary,no,-4,yes,,unknown,5,may,,1,0,0,unknown,no
39,management,married,secondary,no,18,yes,no,unknown,5,may,,1,0,0,,
,technician,married,,no,,no,no,unknown,5,,,2,0,0,unknown,no
41,services,,secondary,no,0,yes,,unknown,5,may,114,,0,0,unknown,no
51,,,,,,yes,,unknown,5,,57,1,0,,unknown,no
60,retired,,secondary,no,,,,unknown,,,238,1,,0,,no
52,blue-collar,married,secondary,no,,,no,unknown,,may,93,3,0,,unknown,
48,blue-collar,married,secondary,no,904,,no,unknown,5,may,128,2,,0,unknown,
48,services,married,,,1705,yes,,,5,may,107,,0,0,unknown,no
,technician,single,tertiary,,,yes,,unknown,5,may,181,,,0,,no
