age,job,education,balance,day,month,duration,campaign,pdays,previous,poutcome,y,combo
58.0,management,tertiary,2143.0,5.0,may,261.0,1.0,0.0,0.0,unknown,no,
44.0,,secondary,29.0,5.0,may,151.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
33.0,entrepreneur,secondary,2.0,5.0,may,76.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
47.0,blue-collar,,1506.0,5.0,may,92.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,unknown,unknown,1.0,5.0,may,198.0,1.0,0.0,0.0,,no,single_no_no_no_unknown
35.0,management,tertiary,231.0,5.0,may,139.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
28.0,,tertiary,447.0,5.0,may,217.0,1.0,0.0,0.0,,no,
,,tertiary,2.0,5.0,may,,1.0,0.0,0.0,unknown,no,
,retired,primary,121.0,5.0,may,50.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
43.0,technician,secondary,593.0,5.0,may,55.0,1.0,0.0,0.0,unknown,,
41.0,admin.,secondary,270.0,,may,222.0,1.0,0.0,0.0,unknown,,
29.0,admin.,secondary,390.0,5.0,may,137.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
53.0,technician,secondary,6.0,5.0,may,517.0,1.0,0.0,0.0,unknown,no,
58.0,technician,unknown,71.0,5.0,may,71.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
57.0,services,secondary,162.0,5.0,may,174.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
51.0,retired,primary,229.0,5.0,may,353.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
45.0,,unknown,13.0,5.0,may,98.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
57.0,,primary,52.0,5.0,may,38.0,1.0,,0.0,unknown,,
60.0,retired,primary,60.0,5.0,may,219.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,services,secondary,0.0,5.0,may,54.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
28.0,blue-collar,secondary,723.0,5.0,may,,1.0,0.0,0.0,unknown,,
56.0,management,tertiary,779.0,5.0,may,164.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
32.0,blue-collar,primary,23.0,,,160.0,1.0,,0.0,unknown,no,single_no_yes_yes_unknown
25.0,,,50.0,5.0,may,342.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,retired,primary,0.0,5.0,may,181.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
44.0,admin.,secondary,-372.0,,may,172.0,1.0,,0.0,unknown,no,
39.0,management,tertiary,255.0,5.0,may,296.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
52.0,entrepreneur,secondary,113.0,5.0,,127.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
46.0,management,secondary,-246.0,5.0,may,255.0,2.0,0.0,0.0,unknown,no,
36.0,technician,secondary,265.0,5.0,may,348.0,1.0,0.0,0.0,unknown,,single_no_yes_yes_unknown
57.0,technician,secondary,839.0,5.0,may,225.0,1.0,0.0,0.0,,no,married_no_no_yes_unknown
49.0,management,tertiary,378.0,5.0,may,230.0,1.0,0.0,0.0,,no,married_no_yes_no_unknown
,admin.,secondary,39.0,5.0,may,208.0,1.0,0.0,0.0,unknown,no,
59.0,blue-collar,secondary,0.0,5.0,may,226.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
51.0,management,tertiary,10635.0,5.0,may,336.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
57.0,technician,secondary,63.0,5.0,may,,1.0,0.0,0.0,unknown,no,
25.0,blue-collar,secondary,-7.0,5.0,may,,1.0,0.0,0.0,,no,married_no_yes_no_unknown
53.0,technician,,-3.0,5.0,may,1666.0,1.0,0.0,0.0,,no,married_no_no_no_unknown
,,secondary,506.0,5.0,may,577.0,1.0,0.0,0.0,unknown,no,
37.0,,secondary,0.0,5.0,may,137.0,1.0,0.0,0.0,unknown,,single_no_yes_no_unknown
44.0,services,secondary,2586.0,5.0,may,160.0,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
50.0,management,secondary,49.0,5.0,may,180.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
60.0,blue-collar,unknown,104.0,5.0,may,22.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
54.0,retired,secondary,529.0,5.0,may,1492.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
58.0,,unknown,96.0,,,616.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
36.0,admin.,primary,-171.0,5.0,may,242.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
58.0,self-employed,tertiary,-364.0,5.0,may,,1.0,0.0,,unknown,no,
44.0,technician,secondary,0.0,5.0,may,,2.0,0.0,0.0,,no,married_no_yes_no_unknown
55.0,technician,secondary,0.0,,may,160.0,1.0,0.0,0.0,,no,divorced_no_no_no_unknown
,management,tertiary,0.0,5.0,may,,1.0,,0.0,,no,
54.0,blue-collar,secondary,1291.0,5.0,may,266.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
48.0,management,tertiary,-244.0,5.0,may,253.0,1.0,0.0,0.0,,no,divorced_no_yes_no_unknown
32.0,management,tertiary,0.0,5.0,may,179.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
42.0,admin.,secondary,-76.0,5.0,may,787.0,1.0,0.0,0.0,,no,single_no_yes_no_unknown
24.0,technician,secondary,-103.0,5.0,may,145.0,1.0,0.0,0.0,unknown,no,
,entrepreneur,tertiary,243.0,5.0,may,174.0,1.0,0.0,0.0,unknown,no,single_no_no_yes_unknown
,management,tertiary,424.0,5.0,may,104.0,1.0,0.0,0.0,,no,
47.0,blue-collar,unknown,306.0,5.0,may,13.0,,0.0,0.0,unknown,no,
40.0,blue-collar,unknown,,,may,185.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
46.0,services,primary,179.0,5.0,may,1778.0,,0.0,0.0,,no,
32.0,admin.,tertiary,0.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
53.0,technician,secondary,989.0,5.0,may,812.0,1.0,0.0,0.0,unknown,no,
57.0,blue-collar,primary,249.0,5.0,may,164.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,services,,790.0,5.0,may,391.0,1.0,,0.0,unknown,no,
49.0,blue-collar,unknown,154.0,5.0,,357.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
51.0,management,tertiary,,,may,91.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
60.0,retired,tertiary,100.0,5.0,may,528.0,1.0,0.0,0.0,unknown,no,married_no_no_no_unknown
59.0,management,tertiary,59.0,5.0,may,273.0,1.0,0.0,0.0,unknown,,divorced_no_yes_no_unknown
55.0,,secondary,1205.0,5.0,may,,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,blue-collar,secondary,12223.0,5.0,may,177.0,1.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
57.0,blue-collar,secondary,5935.0,5.0,may,258.0,1.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
,services,secondary,25.0,5.0,may,172.0,1.0,0.0,0.0,unknown,no,
54.0,management,secondary,282.0,5.0,may,154.0,1.0,,0.0,unknown,no,married_no_yes_yes_unknown
55.0,blue-collar,primary,23.0,5.0,may,291.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
43.0,,secondary,1937.0,5.0,may,181.0,1.0,0.0,0.0,,no,
53.0,technician,secondary,384.0,5.0,may,176.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
44.0,blue-collar,,582.0,,may,211.0,1.0,0.0,0.0,unknown,no,married_no_no_yes_unknown
55.0,services,secondary,91.0,,may,349.0,1.0,0.0,0.0,unknown,,divorced_no_no_no_unknown
49.0,services,,0.0,5.0,may,272.0,1.0,0.0,0.0,unknown,,
55.0,,,1.0,5.0,may,208.0,1.0,0.0,0.0,unknown,,divorced_yes_yes_no_unknown
45.0,admin.,secondary,206.0,5.0,may,193.0,,0.0,0.0,unknown,no,
47.0,services,secondary,164.0,5.0,may,212.0,1.0,0.0,0.0,unknown,no,divorced_no_no_no_unknown
42.0,,secondary,690.0,5.0,,20.0,1.0,0.0,0.0,unknown,no,
59.0,admin.,secondary,2343.0,5.0,may,,1.0,,0.0,unknown,yes,married_no_yes_no_unknown
46.0,self-employed,tertiary,137.0,5.0,may,246.0,1.0,,0.0,,no,married_no_yes_yes_unknown
51.0,,primary,173.0,5.0,may,529.0,2.0,0.0,0.0,unknown,no,
56.0,admin.,secondary,45.0,5.0,may,1467.0,1.0,0.0,0.0,unknown,yes,
41.0,,secondary,1270.0,,may,1389.0,1.0,0.0,0.0,unknown,yes,married_no_yes_no_unknown
46.0,management,secondary,16.0,5.0,may,188.0,2.0,,0.0,unknown,no,divorced_no_yes_yes_unknown
57.0,retired,secondary,486.0,5.0,,180.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
42.0,,secondary,50.0,5.0,may,48.0,1.0,0.0,0.0,unknown,no,
30.0,technician,secondary,152.0,5.0,may,213.0,2.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
60.0,admin.,secondary,290.0,5.0,may,583.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,blue-collar,unknown,54.0,5.0,,221.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
,entrepreneur,secondary,,5.0,,,1.0,0.0,0.0,unknown,,divorced_no_no_no_unknown
36.0,management,tertiary,101.0,,may,426.0,1.0,0.0,0.0,unknown,no,
55.0,blue-collar,secondary,383.0,5.0,may,287.0,1.0,,0.0,unknown,no,married_no_no_no_unknown
,retired,tertiary,81.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
39.0,technician,secondary,0.0,5.0,,203.0,1.0,,0.0,unknown,no,married_no_yes_no_unknown
46.0,management,tertiary,229.0,5.0,may,197.0,1.0,0.0,0.0,unknown,,married_no_yes_no_unknown
44.0,,secondary,-674.0,5.0,may,257.0,1.0,0.0,0.0,,no,
53.0,,primary,90.0,5.0,may,124.0,1.0,0.0,0.0,unknown,no,married_no_no_no_unknown
52.0,blue-collar,primary,128.0,5.0,may,229.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
59.0,blue-collar,primary,179.0,5.0,may,55.0,3.0,0.0,0.0,unknown,no,
27.0,technician,tertiary,0.0,5.0,may,,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
,blue-collar,secondary,,5.0,may,,1.0,0.0,0.0,unknown,,married_no_yes_no_unknown
47.0,technician,tertiary,151.0,5.0,may,190.0,1.0,0.0,0.0,unknown,no,
34.0,admin.,,61.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_no_yes_unknown
,retired,secondary,30.0,5.0,may,514.0,1.0,0.0,,unknown,no,single_no_yes_no_unknown
45.0,management,tertiary,,5.0,may,849.0,2.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
29.0,,secondary,31.0,5.0,may,194.0,1.0,0.0,0.0,unknown,no,
46.0,technician,secondary,79.0,5.0,may,144.0,1.0,0.0,0.0,unknown,no,divorced_no_no_no_unknown
56.0,self-employed,primary,-34.0,5.0,may,212.0,2.0,0.0,0.0,unknown,no,married_no_yes_yes_unknown
36.0,blue-collar,primary,448.0,,may,286.0,1.0,,0.0,,no,married_no_yes_no_unknown
59.0,retired,primary,81.0,5.0,may,107.0,1.0,0.0,0.0,unknown,no,divorced_no_yes_no_unknown
44.0,blue-collar,secondary,144.0,5.0,may,247.0,2.0,0.0,0.0,unknown,,married_no_yes_no_unknown
41.0,admin.,secondary,351.0,5.0,may,,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
33.0,,tertiary,-67.0,5.0,may,364.0,1.0,0.0,0.0,unknown,,single_no_yes_no_unknown
59.0,management,tertiary,262.0,,may,178.0,1.0,0.0,0.0,,no,
57.0,,primary,0.0,,may,98.0,1.0,0.0,0.0,unknown,no,married_no_no_no_unknown
56.0,technician,unknown,56.0,5.0,may,439.0,1.0,0.0,0.0,unknown,no,
,blue-collar,secondary,26.0,5.0,,79.0,1.0,0.0,0.0,unknown,no,
34.0,admin.,unknown,3.0,5.0,may,,3.0,0.0,0.0,unknown,,
,services,secondary,,,,,2.0,0.0,,unknown,no,
,technician,tertiary,7.0,5.0,may,175.0,1.0,0.0,0.0,unknown,no,married_no_no_yes_unknown
33.0,,secondary,105.0,5.0,,262.0,2.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
29.0,,secondary,818.0,5.0,may,61.0,1.0,0.0,0.0,unknown,no,
34.0,services,secondary,-16.0,5.0,,78.0,1.0,0.0,0.0,unknown,no,
31.0,blue-collar,secondary,0.0,5.0,,,,0.0,0.0,,no,married_no_yes_no_unknown
55.0,services,secondary,2476.0,5.0,may,579.0,1.0,0.0,0.0,unknown,yes,
55.0,management,unknown,1185.0,5.0,may,677.0,1.0,0.0,0.0,,no,married_no_no_no_unknown
32.0,admin.,secondary,217.0,5.0,may,345.0,1.0,0.0,0.0,unknown,,
38.0,technician,secondary,1685.0,5.0,,185.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
55.0,admin.,secondary,802.0,5.0,,100.0,2.0,0.0,0.0,unknown,no,single_no_yes_yes_unknown
28.0,unemployed,tertiary,0.0,5.0,may,125.0,2.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
23.0,blue-collar,secondary,94.0,5.0,may,193.0,1.0,0.0,0.0,unknown,no,married_no_yes_no_unknown
32.0,technician,secondary,0.0,5.0,may,136.0,1.0,,0.0,unknown,no,
43.0,services,unknown,0.0,5.0,may,73.0,1.0,0.0,0.0,unknown,no,single_no_no_no_unknown
32.0,blue-collar,secondary,517.0,5.0,may,528.0,1.0,0.0,0.0,unknown,no,
46.0,blue-collar,secondary,265.0,5.0,may,541.0,1.0,0.0,0.0,unknown,no,
53.0,housemaid,primary,947.0,5.0,may,163.0,1.0,,0.0,unknown,no,
34.0,,secondary,3.0,5.0,may,301.0,1.0,,0.0,unknown,,
