age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,management,,tertiary,no,2143,yes,no,unknown,,may,,1,,0,unknown,no
,technician,single,secondary,no,29,yes,no,unknown,,may,151,1,0,0,unknown,no
33,entrepreneur,married,,no,,,yes,,5,,76,1,0,0,,no
47,blue-collar,married,unknown,no,1506,yes,,unknown,5,,,,0,0,,
33,unknown,single,unknown,no,1,,no,unknown,,,,1,,0,unknown,no
35,,,tertiary,,,yes,no,unknown,5,may,139,1,0,0,,no
28,,,tertiary,no,447,yes,,unknown,,may,,1,,0,,no
42,entrepreneur,divorced,,yes,2,yes,,unknown,5,may,380,1,0,,,
,,married,,,121,yes,no,unknown,,may,,1,0,,unknown,no
43,,,secondary,no,,yes,no,unknown,5,,55,1,0,0,unknown,no
,admin.,divorced,,no,270,yes,no,,5,may,222,1,0,,,no
29,,,secondary,,,,no,unknown,,,137,,0,0,unknown,no
53,technician,,secondary,no,,,no,,5,may,,1,0,0,,
,technician,married,,no,,,no,unknown,5,may,71,1,0,,,
57,services,married,secondary,,,yes,,unknown,5,may,174,1,0,0,,
,retired,married,primary,no,,,no,unknown,5,may,353,,0,0,unknown,no
45,,single,unknown,no,13,yes,no,unknown,,,98,,,0,unknown,no
57,blue-collar,,primary,,52,yes,no,,5,may,,,,0,,
,retired,married,,no,60,,no,unknown,5,may,219,1,,,unknown,
33,services,married,secondary,no,,yes,no,unknown,,,54,1,0,,,no
28,blue-collar,,,no,,yes,,,5,may,262,1,0,0,unknown,no
56,management,,tertiary,no,779,yes,no,unknown,5,may,164,,0,0,unknown,
32,blue-collar,,primary,no,,,yes,unknown,5,may,,1,,0,unknown,no
25,services,,secondary,no,50,yes,no,unknown,,may,342,,0,0,unknown,no
40,retired,married,,no,0,yes,,,5,may,181,1,0,0,unknown,no
44,admin.,married,secondary,no,-372,,,unknown,5,may,,1,,0,unknown,no
39,,single,tertiary,no,255,,no,unknown,5,,,1,,0,unknown,no
52,entrepreneur,,secondary,no,113,,yes,unknown,5,may,127,,0,,,no
,,single,secondary,no,-246,,no,unknown,5,may,,2,0,0,unknown,no
36,,single,secondary,no,,yes,,unknown,5,may,348,1,0,0,unknown,no
57,technician,,,,839,,yes,unknown,5,may,225,1,0,0,,no
49,,,tertiary,no,,yes,no,,,may,230,,,0,,no
60,,married,,no,39,yes,,unknown,5,may,208,1,0,0,,no
59,blue-collar,,secondary,,0,yes,no,,5,may,226,,0,0,unknown,no
,,,tertiary,no,,yes,no,unknown,5,may,336,1,0,0,,no
,technician,divorced,secondary,,,yes,no,,5,may,242,1,0,0,,
25,blue-collar,,,no,-7,yes,no,unknown,,may,365,1,0,0,unknown,
53,technician,married,secondary,no,,no,,unknown,,may,1666,,,0,,
,,divorced,,,506,yes,,,5,may,577,1,0,,unknown,
,,single,secondary,no,0,yes,no,unknown,,,137,1,,0,unknown,no
,services,divorced,,no,2586,,no,,5,may,160,1,0,,,
50,management,married,secondary,no,49,,,unknown,5,,180,2,0,0,unknown,
60,blue-collar,married,,no,,yes,,unknown,5,may,22,1,0,0,unknown,
,retired,married,secondary,no,529,yes,no,,,,1492,,0,0,unknown,
58,retired,married,,no,,,no,,,may,616,1,0,0,,no
36,admin.,,primary,no,-171,yes,,unknown,5,may,242,1,0,0,unknown,no
58,self-employed,married,tertiary,no,,yes,no,,5,,355,1,0,0,unknown,
44,technician,married,secondary,,0,yes,no,unknown,5,may,225,2,0,0,unknown,no
,technician,divorced,,no,0,no,no,,5,,160,1,0,,,
29,,single,tertiary,no,0,,no,unknown,5,may,363,1,,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,,may,266,1,0,0,unknown,
,management,divorced,,,-244,yes,no,,5,may,253,1,0,,,no
32,management,married,tertiary,no,0,yes,,unknown,5,may,179,1,,0,unknown,
42,admin.,single,secondary,no,-76,yes,no,unknown,5,,787,,0,0,unknown,no
24,,,secondary,no,,,yes,unknown,,,,1,,0,,no
38,,,tertiary,no,243,,,unknown,5,,,1,0,,unknown,no
38,management,single,,no,424,,,unknown,5,may,104,1,,,unknown,no
47,blue-collar,married,,no,,,no,,,may,,1,0,0,unknown,no
40,blue-collar,,unknown,no,24,yes,,unknown,5,,,,0,0,unknown,no
,services,,primary,no,179,yes,no,,5,may,,1,,,unknown,no
32,admin.,married,tertiary,no,,yes,no,unknown,5,may,138,1,0,,unknown,
,technician,divorced,,no,989,,,,5,may,812,,,,unknown,no
,blue-collar,,primary,no,249,yes,no,,5,,164,,0,,unknown,
33,services,married,secondary,,790,,no,unknown,,may,391,1,0,0,unknown,no
,blue-collar,,unknown,no,,yes,no,unknown,5,,357,,,0,unknown,
51,management,married,,,6530,yes,,unknown,5,may,91,,0,0,unknown,no
60,retired,married,tertiary,no,100,,no,,5,may,528,,0,,unknown,no
59,management,,,no,,yes,no,,5,may,273,1,0,,,
55,technician,,,no,,yes,no,unknown,5,may,158,2,0,,,no
35,blue-collar,single,secondary,,,,yes,unknown,,,,1,0,0,unknown,no
57,,married,,no,5935,yes,yes,unknown,5,may,258,1,0,,unknown,no
31,services,married,,no,25,yes,,unknown,5,may,172,1,0,,,no
54,management,married,secondary,,282,yes,yes,,5,may,154,,,,,no
55,blue-collar,,primary,,23,yes,no,unknown,,may,291,1,0,0,unknown,no
,,married,secondary,no,,,no,unknown,5,may,181,,,0,unknown,no
53,technician,married,secondary,no,384,,,unknown,5,may,176,1,0,0,,no
44,blue-collar,,secondary,no,,no,yes,,5,,211,,,0,,no
,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,0,,unknown,no
49,services,divorced,,,0,yes,yes,,5,may,272,1,0,,,no
55,services,,,,,yes,no,unknown,,may,208,1,0,,unknown,
45,,,secondary,,,yes,no,unknown,,,,,0,0,unknown,no
,services,divorced,,no,164,no,no,unknown,5,may,212,1,0,0,unknown,
42,technician,single,,,690,yes,no,unknown,,,,1,,,unknown,no
,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,0,,unknown,yes
46,,,,no,,yes,,,5,may,246,,0,,unknown,no
51,blue-collar,married,primary,,173,yes,no,unknown,5,may,529,2,0,0,unknown,
,admin.,married,secondary,,45,,no,unknown,5,,1467,,0,0,,yes
41,technician,married,,,1270,yes,,,5,may,1389,1,0,0,unknown,yes
,management,divorced,,,16,yes,yes,,5,may,188,2,0,0,unknown,no
57,retired,,secondary,,486,yes,,,,,180,2,0,0,unknown,
42,,single,secondary,no,,,no,unknown,,,,1,,0,unknown,no
30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,0,0,unknown,no
60,,married,,no,,yes,,unknown,5,may,583,1,0,0,unknown,no
,blue-collar,married,unknown,,54,yes,no,unknown,5,may,221,1,,,unknown,no
,entrepreneur,divorced,secondary,no,-37,no,no,,5,may,173,1,0,,unknown,no
36,management,married,tertiary,no,,,yes,unknown,5,may,426,1,0,0,,no
55,blue-collar,married,secondary,no,383,,no,unknown,5,,,1,0,0,unknown,no
,retired,married,,no,,yes,,unknown,5,may,101,,,0,unknown,no
,technician,married,secondary,no,0,yes,no,unknown,,may,203,1,,,,no
,management,married,tertiary,no,229,yes,no,unknown,5,may,197,,,0,unknown,
44,blue-collar,married,secondary,,,yes,,unknown,,may,257,,,,unknown,no
53,blue-collar,married,,,90,no,no,unknown,5,may,124,1,,,unknown,no
,blue-collar,,primary,no,,,no,,5,,229,,0,0,unknown,no
,blue-collar,married,,,179,yes,no,,5,may,55,3,0,,unknown,no
,technician,single,tertiary,no,0,,no,unknown,,,,1,,0,unknown,no
,blue-collar,married,secondary,no,54,,no,unknown,5,may,197,1,0,0,unknown,
,,married,,,151,yes,,unknown,5,,190,,0,,unknown,
34,,married,secondary,no,61,no,yes,,5,may,21,1,0,0,unknown,no
59,,single,secondary,no,30,,,unknown,5,may,,1,,0,unknown,no
,management,,tertiary,,523,yes,no,,,,849,2,0,0,unknown,no
29,services,divorced,secondary,,,yes,no,,5,may,194,1,0,0,,no
46,technician,,,,79,no,no,,5,may,144,,0,,,
56,,married,primary,no,-34,yes,yes,unknown,5,may,,2,0,0,unknown,no
36,,married,primary,no,448,yes,,,,,286,1,0,,unknown,
,retired,divorced,primary,no,81,yes,,unknown,5,may,107,1,0,,,
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,,247,2,0,,unknown,no
41,,married,,no,351,yes,,,5,may,518,1,0,0,unknown,no
33,,single,tertiary,no,-67,yes,no,unknown,,,364,1,,0,unknown,no
,management,divorced,tertiary,,262,no,no,,5,may,178,,0,,,
,technician,,primary,,0,no,,unknown,5,may,98,,0,0,unknown,no
56,technician,,,no,56,yes,no,,5,,439,,0,0,unknown,
51,blue-collar,,secondary,,,yes,,unknown,5,may,79,1,,,,no
34,admin.,married,unknown,no,3,yes,no,unknown,,may,120,3,,0,,no
43,,married,secondary,no,41,yes,,unknown,5,may,127,,0,,unknown,no
52,technician,,,no,,,,unknown,5,may,175,,0,,unknown,no
33,technician,,,no,105,,,unknown,,,262,2,,0,unknown,no
29,admin.,single,secondary,no,818,yes,,unknown,5,may,,,,,unknown,no
34,services,married,,no,-16,,yes,,5,,78,,,0,,no
31,blue-collar,married,secondary,no,0,yes,no,unknown,,may,143,1,0,0,unknown,
55,,married,secondary,no,2476,yes,,unknown,5,may,,1,0,0,unknown,
55,,,,no,1185,no,,unknown,5,may,677,1,0,,unknown,no
,,single,secondary,,217,,no,,,,345,1,0,0,unknown,no
38,,single,secondary,no,,yes,no,,,,,1,0,0,unknown,no
55,,,secondary,,,,,unknown,5,,,2,0,,unknown,no
28,unemployed,single,tertiary,,,,no,unknown,,,,2,,0,unknown,no
,,married,secondary,no,,yes,no,unknown,,may,193,1,,,unknown,no
,technician,single,,no,0,,no,unknown,5,,,,,0,unknown,no
43,,single,unknown,,,no,,unknown,5,may,73,1,,0,unknown,no
32,blue-collar,,,no,517,yes,no,unknown,5,may,528,1,0,0,unknown,no
46,blue-collar,married,secondary,no,265,yes,,unknown,5,,541,,0,,,
,housemaid,,,,947,yes,,,5,may,163,,0,0,,no
34,self-employed,single,,,3,yes,,unknown,,,,,,0,unknown,
57,unemployed,married,,,42,no,,unknown,5,,46,,0,,unknown,
,blue-collar,married,,no,37,yes,no,unknown,5,may,204,1,0,0,,
59,blue-collar,married,secondary,no,,,,,,may,98,1,0,0,unknown,no
33,services,married,,no,,yes,no,unknown,5,may,,,,0,,
56,blue-collar,,,,8,yes,,,5,may,157,,0,0,,
48,unemployed,married,,,293,yes,no,unknown,5,may,243,1,0,0,,no
43,services,married,primary,no,,yes,no,unknown,5,,186,2,0,,unknown,no
,blue-collar,,primary,no,,,no,unknown,5,may,579,2,0,,unknown,no
,blue-collar,married,,no,-19,yes,,unknown,,may,163,,0,0,,
26,,single,secondary,no,,yes,no,unknown,,may,,2,0,0,unknown,
40,management,married,tertiary,no,-4,,no,unknown,5,may,2033,1,0,0,,
,,married,secondary,no,18,yes,no,unknown,5,may,85,1,,0,unknown,
50,,married,,,,no,no,unknown,5,may,114,2,0,0,,
41,services,married,secondary,no,0,,no,,5,,114,2,,0,unknown,no
51,,married,,,,yes,no,unknown,5,,57,1,0,,unknown,
,retired,,,no,,yes,no,,,may,238,1,0,,unknown,
,blue-collar,married,,no,782,,no,unknown,5,may,93,3,0,0,unknown,no
48,blue-collar,married,secondary,no,,,no,unknown,,may,128,2,0,0,unknown,no
