a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,zero,2,one,22,zero,zero,one,zero,zero,49,one,,zero
zero,one,1,zero,42,,zero,one,,zero,49,one,46,one
one,one,,,37,zero,zero,one,zero,three,39,one,47,one
zero,zero,1,,46,one,,,zero,zero,39,one,40,zero
zero,zero,,zero,8,one,,zero,zero,one,71,one,,zero
zero,zero,0,zero,21,one,,zero,zero,zero,59,one,,zero
one,zero,,zero,8,,zero,zero,zero,two,45,one,18,zero
zero,one,,three,18,zero,zero,one,zero,one,59,one,10,zero
one,one,3,,38,,zero,,zero,zero,49,one,,one
one,zero,0,,17,zero,zero,,zero,zero,55,one,,zero
zero,zero,,three,34,zero,zero,,zero,one,47,one,,zero
zero,zero,3,zero,19,,,,zero,zero,47,one,29,zero
one,one,1,,16,,,one,,zero,47,one,26,one
zero,one,,,17,,zero,zero,,two,39,one,1,zero
one,zero,2,,9,zero,zero,,,zero,83,one,2,zero
one,one,1,,18,,zero,one,,zero,47,one,,zero
one,zero,6,zero,11,,,,zero,zero,39,one,,zero
one,zero,,,16,zero,zero,,zero,zero,47,one,,zero
one,zero,,two,32,one,one,zero,zero,two,43,one,,zero
zero,zero,2,one,24,,zero,one,zero,zero,53,one,,zero
one,zero,,two,38,zero,zero,one,zero,three,59,one,48,one
zero,one,4,,25,,zero,one,,two,41,one,10,zero
zero,zero,3,two,65,,,one,zero,zero,39,one,,zero
zero,zero,3,,18,one,one,zero,zero,zero,39,one,18,zero
one,zero,,zero,27,zero,,zero,,one,47,one,,zero
zero,zero,6,,57,zero,zero,one,zero,zero,39,one,67,zero
one,zero,3,two,29,one,zero,,zero,two,47,one,13,zero
zero,one,3,,16,one,one,zero,zero,one,39,one,6,zero
zero,zero,5,,12,,,,zero,zero,41,one,22,zero
zero,zero,3,two,30,zero,zero,one,,two,39,one,40,one
zero,one,,,30,zero,zero,one,,two,59,one,40,one
zero,one,,one,44,zero,zero,one,zero,two,63,one,28,one
one,one,,,16,zero,zero,,,three,54,one,26,one
one,zero,,two,27,,zero,one,,zero,47,one,37,zero
zero,one,2,one,36,,,one,zero,two,59,one,,zero
zero,one,5,,7,zero,zero,zero,,one,39,one,,zero
zero,zero,1,zero,43,,zero,one,zero,zero,39,one,,zero
zero,one,,,28,,zero,one,,one,89,zero,31,one
zero,zero,3,two,44,,zero,one,zero,zero,39,one,54,one
zero,zero,2,one,43,one,zero,one,zero,two,39,one,30,zero
zero,one,6,,39,,zero,one,zero,zero,47,one,40,one
zero,zero,,,25,one,one,zero,zero,one,47,one,35,zero
zero,one,,,14,,zero,one,,one,14,one,,zero
zero,one,0,,6,one,zero,zero,,one,47,one,0,zero
one,zero,,zero,34,,,zero,,zero,97,one,,zero
one,zero,,four,18,one,zero,one,zero,one,35,one,,zero
zero,two,,,9,zero,,zero,zero,two,29,one,5,zero
zero,zero,2,one,13,,,,zero,zero,55,one,,zero
zero,two,4,,46,,,one,zero,three,3,one,56,one
zero,zero,2,,8,zero,zero,,zero,one,5,one,18,zero
zero,two,4,three,32,,zero,one,zero,three,59,one,,one
zero,zero,,zero,17,zero,zero,zero,,one,47,one,20,zero
zero,one,7,,11,zero,,zero,zero,two,23,one,,zero
one,zero,2,one,17,one,one,zero,zero,one,47,one,2,zero
one,zero,5,two,51,zero,zero,,zero,zero,29,one,3,zero
one,zero,2,one,36,one,zero,,zero,one,49,one,,zero
one,one,,,31,,zero,,,two,59,one,1,one
zero,one,,,37,zero,zero,one,zero,two,49,one,13,one
one,zero,3,one,58,zero,zero,one,,zero,78,one,14,zero
zero,zero,2,,33,,zero,,zero,zero,39,one,,zero
zero,zero,,zero,8,zero,zero,,zero,one,9,one,,zero
zero,zero,,one,12,,,one,zero,zero,24,one,,zero
