a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
zero,2.0,one,,,zero,49,,32,zero_zero_zero_one_zero
one,1.0,zero,42.0,zero,zero,49,one,46,
one,2.0,one,37.0,zero,three,39,,47,one_zero_zero_one_one
,1.0,zero,46.0,zero,zero,39,one,40,
,6.0,zero,8.0,,one,71,one,17,
,0.0,zero,21.0,zero,zero,59,one,31,zero_one_zero_zero_zero
,1.0,zero,8.0,zero,two,45,one,18,
one,,three,,,one,59,one,10,zero_zero_zero_one_zero
,,two,38.0,zero,zero,49,one,48,
,,zero,17.0,zero,zero,55,one,19,
,4.0,three,,zero,one,47,one,20,zero_zero_zero_one_zero
zero,3.0,zero,,zero,zero,47,one,29,zero_zero_zero_one_zero
one,1.0,zero,16.0,zero,zero,47,one,26,
one,9.0,zero,17.0,zero,two,39,one,1,
,,zero,9.0,zero,zero,83,one,2,
,,zero,,zero,zero,47,one,28,
zero,6.0,zero,11.0,zero,zero,39,one,21,
zero,,two,,zero,zero,47,,26,
zero,2.0,two,32.0,,two,43,one,42,
,2.0,one,24.0,zero,zero,53,one,3,
zero,3.0,two,38.0,zero,three,59,one,48,
one,,two,,,two,41,one,10,
zero,,two,65.0,zero,zero,39,one,45,zero_zero_zero_one_zero
zero,3.0,one,18.0,zero,zero,39,,18,
,,zero,27.0,,one,47,one,15,
zero,6.0,four,57.0,zero,zero,39,,67,zero_zero_zero_one_zero
zero,3.0,two,,zero,two,47,one,13,
,,zero,16.0,,one,39,one,6,zero_one_one_zero_zero
,5.0,zero,12.0,zero,zero,41,one,22,
zero,3.0,two,,zero,two,39,one,40,
one,4.0,three,,zero,two,59,one,40,zero_zero_zero_one_one
one,2.0,one,44.0,zero,two,63,,28,zero_zero_zero_one_one
one,,zero,16.0,zero,three,54,one,26,one_zero_zero_zero_one
zero,3.0,two,27.0,,zero,47,,37,one_one_zero_one_zero
one,2.0,one,36.0,,two,59,,26,zero_zero_zero_one_zero
,,zero,,zero,one,39,one,17,
,1.0,zero,,zero,zero,39,one,12,
,,two,28.0,,one,89,,31,
zero,3.0,two,44.0,zero,zero,39,one,54,zero_zero_zero_one_one
zero,2.0,one,43.0,zero,two,39,,30,
,,three,,zero,zero,47,one,40,zero_zero_zero_one_one
zero,2.0,two,25.0,zero,one,47,one,35,
one,,two,14.0,,one,14,one,24,
