a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
,2.0,one,22.0,zero,zero,,one,,
one,1.0,zero,42.0,zero,,49.0,,46.0,
one,2.0,one,37.0,zero,three,39.0,,,
,1.0,,46.0,,,39.0,one,40.0,
zero,6.0,zero,8.0,zero,one,,one,17.0,
zero,,zero,21.0,zero,,59.0,,31.0,
,1.0,zero,8.0,,two,45.0,one,18.0,one_zero_zero_zero_zero
one,4.0,three,,zero,one,59.0,one,10.0,
one,3.0,,38.0,zero,zero,49.0,one,48.0,one_zero_zero_one_one
,0.0,zero,,,zero,55.0,,19.0,
,4.0,three,34.0,zero,one,47.0,one,20.0,
zero,3.0,,19.0,zero,,47.0,one,29.0,
,,zero,16.0,zero,zero,47.0,one,26.0,one_zero_zero_one_one
one,,zero,17.0,zero,two,39.0,one,1.0,
zero,2.0,,9.0,zero,,83.0,,2.0,
one,,zero,,zero,,47.0,,28.0,
zero,6.0,zero,11.0,,zero,,one,,
zero,3.0,two,16.0,zero,zero,47.0,,26.0,
zero,,,32.0,zero,two,43.0,one,42.0,
zero,2.0,one,24.0,zero,,,one,3.0,
,,two,38.0,zero,three,,one,,
one,4.0,,25.0,zero,two,,one,10.0,
zero,3.0,two,,zero,,,,45.0,
zero,3.0,,18.0,zero,,39.0,,,
zero,3.0,zero,27.0,,one,47.0,,15.0,one_zero_zero_zero_zero
zero,6.0,,57.0,,,39.0,,67.0,
zero,3.0,two,29.0,zero,two,,one,13.0,
one,3.0,,,zero,one,39.0,one,,
zero,,,,zero,,,one,22.0,
zero,3.0,two,30.0,,two,,,,zero_zero_zero_one_one
one,4.0,,30.0,zero,,59.0,,40.0,
one,2.0,,,zero,two,63.0,one,,
one,0.0,zero,16.0,,three,54.0,one,,
zero,3.0,two,27.0,,,47.0,one,37.0,
one,2.0,,36.0,zero,two,,,,
,5.0,zero,7.0,zero,one,39.0,one,17.0,zero_zero_zero_zero_zero
zero,1.0,zero,,zero,zero,,one,,zero_one_zero_one_zero
,3.0,two,,zero,one,,zero,,
zero,3.0,,44.0,zero,zero,39.0,one,54.0,
zero,,,43.0,zero,,,,,
one,6.0,,39.0,zero,zero,47.0,,40.0,zero_zero_zero_one_one
zero,,,,zero,one,47.0,one,35.0,
,,two,,zero,one,,one,24.0,
one,0.0,zero,6.0,zero,one,47.0,one,,
,3.0,zero,34.0,,zero,97.0,,,
zero,5.0,four,18.0,,one,35.0,,,
two,9.0,,9.0,zero,two,29.0,,,
,,one,,,zero,55.0,,23.0,
,4.0,three,46.0,zero,three,,one,56.0,
zero,2.0,,8.0,zero,one,,one,18.0,
two,4.0,,32.0,,,,one,,
,,zero,17.0,,one,47.0,,20.0,
one,7.0,zero,,zero,two,23.0,,12.0,
,2.0,,17.0,,one,,one,,one_one_one_zero_zero
zero,,,51.0,,zero,29.0,,,
zero,2.0,one,36.0,zero,one,49.0,one,30.0,
,,two,,,two,,one,,
,1.0,zero,,,,49.0,,13.0,
zero,3.0,,58.0,zero,zero,,one,,one_zero_zero_one_zero
,2.0,one,,zero,zero,39.0,one,,
,4.0,zero,8.0,zero,one,9.0,one,,zero_zero_zero_zero_zero
zero,,one,12.0,zero,,,one,22.0,
,,one,,zero,one,43.0,,8.0,
one,3.0,two,33.0,,one,,,9.0,
,,zero,52.0,zero,zero,49.0,one,40.0,
zero,,two,28.0,zero,one,55.0,one,38.0,
one,4.0,,41.0,,,71.0,one,51.0,
zero,,four,,zero,zero,39.0,one,10.0,
,3.0,two,35.0,zero,zero,,,16.0,
one,,zero,52.0,,three,59.0,one,,
,3.0,three,30.0,zero,one,39.0,one,40.0,zero_one_one_zero_zero
one,3.0,two,45.0,zero,one,55.0,one,55.0,
one,0.0,zero,26.0,,three,59.0,one,1.0,
,,,,zero,three,39.0,,,
zero,6.0,zero,10.0,zero,zero,47.0,,,
zero,4.0,one,,zero,zero,47.0,one,,
one,3.0,two,24.0,zero,one,47.0,,19.0,
one,1.0,zero,44.0,zero,,39.0,one,54.0,
,,,11.0,zero,,39.0,,12.0,
zero,4.0,zero,,zero,zero,47.0,one,1.0,one_zero_zero_zero_zero
zero,,zero,8.0,zero,,59.0,one,18.0,
,7.0,,7.0,zero,,34.0,one,17.0,
,,zero,13.0,,,49.0,one,,
,2.0,two,14.0,,zero,39.0,,,
,,,15.0,zero,,55.0,one,25.0,
one,3.0,two,21.0,zero,,54.0,one,,
zero,,,30.0,,,94.0,one,,zero_one_zero_one_one
,7.0,zero,15.0,,,47.0,,24.0,zero_zero_zero_zero_zero
,,,18.0,zero,,,one,4.0,
zero,3.0,two,,zero,zero,,one,,
one,0.0,zero,47.0,zero,three,39.0,,4.0,
one,,,26.0,,one,,one,30.0,
