a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
,,2,one,22,,zero,one,,zero,49,one,32,zero
zero,one,,zero,42,zero,,one,zero,zero,49,one,46,
,one,2,one,37,,,one,zero,,39,one,47,one
zero,zero,1,zero,46,one,zero,one,zero,zero,39,,,zero
zero,zero,6,zero,8,one,zero,zero,zero,one,71,one,17,zero
zero,zero,0,zero,,one,zero,zero,zero,zero,59,one,31,zero
one,zero,1,,,zero,zero,zero,,two,45,one,,zero
zero,one,,,,,,one,zero,,59,one,10,zero
one,one,3,two,38,zero,,one,zero,,49,one,48,
,,0,,17,zero,zero,zero,zero,zero,55,one,19,zero
zero,zero,4,three,,zero,zero,,zero,one,47,one,20,zero
zero,zero,3,,19,zero,zero,one,zero,zero,47,one,29,zero
one,,,zero,16,zero,zero,one,,zero,,one,26,one
zero,one,9,zero,17,one,zero,zero,zero,two,,one,,zero
one,zero,2,zero,9,zero,zero,zero,zero,zero,83,one,2,zero
one,one,1,zero,18,zero,zero,one,,,47,one,,zero
one,,6,,11,zero,zero,,zero,zero,39,one,,zero
one,,3,two,,zero,zero,one,zero,zero,47,one,26,zero
one,zero,2,two,32,one,one,zero,zero,two,43,one,42,
zero,zero,,one,24,zero,zero,one,zero,zero,53,one,3,zero
one,zero,3,two,,zero,zero,one,,three,59,,48,
zero,one,,two,25,zero,zero,one,zero,two,,one,10,zero
zero,,3,two,65,zero,zero,one,zero,zero,39,one,,zero
zero,zero,3,one,18,,one,,zero,zero,39,one,18,zero
one,zero,,,,zero,zero,,zero,one,47,one,15,zero
zero,,6,four,,,zero,one,zero,zero,39,one,,
one,zero,3,two,29,,zero,one,zero,,47,,13,
,one,,zero,16,one,,zero,zero,,39,one,6,
,zero,5,zero,12,one,,,,zero,41,one,,zero
zero,zero,3,two,30,zero,zero,one,zero,two,,one,40,one
zero,one,,,30,zero,zero,one,,two,59,one,40,one
zero,one,2,one,44,zero,zero,one,zero,two,,one,28,one
,one,,zero,,,zero,zero,zero,,,one,26,one
one,zero,3,two,27,one,zero,,,zero,47,one,37,zero
zero,,2,one,36,zero,,one,,two,,one,26,
,one,5,zero,7,,,zero,zero,,,one,17,zero
,zero,1,zero,43,one,zero,one,zero,zero,39,,12,
zero,one,,two,,zero,zero,one,zero,,,,31,
zero,zero,3,,44,,zero,one,zero,zero,39,one,,one
zero,zero,2,one,43,one,zero,,zero,two,39,one,30,zero
zero,one,,three,39,zero,,one,zero,,,one,40,one
zero,zero,2,two,25,one,one,,zero,one,47,one,35,zero
zero,one,3,two,14,one,zero,one,,one,14,one,24,zero
zero,one,0,zero,6,one,zero,zero,,one,47,one,0,zero
