a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
,2.0,one,22.0,,zero,49.0,one,32.0,
one,,zero,42.0,zero,zero,49.0,one,46.0,
one,2.0,one,37.0,zero,,39.0,one,47.0,
zero,1.0,zero,46.0,zero,zero,39.0,,,zero_one_zero_one_zero
zero,6.0,zero,8.0,zero,one,71.0,one,17.0,zero_one_zero_zero_zero
zero,0.0,zero,,zero,zero,59.0,one,31.0,zero_one_zero_zero_zero
zero,1.0,,,,two,45.0,one,,one_zero_zero_zero_zero
one,,,,zero,,59.0,one,10.0,
one,3.0,two,38.0,zero,,49.0,one,48.0,
,0.0,,17.0,zero,zero,55.0,one,19.0,
zero,4.0,three,,zero,one,47.0,one,20.0,
zero,3.0,,19.0,zero,zero,47.0,one,29.0,zero_zero_zero_one_zero
,,zero,16.0,,zero,,one,26.0,one_zero_zero_one_one
one,9.0,zero,17.0,zero,two,,one,,zero_one_zero_zero_zero
zero,2.0,zero,9.0,zero,zero,83.0,one,2.0,one_zero_zero_zero_zero
one,1.0,zero,18.0,,,47.0,one,,one_zero_zero_one_zero
,6.0,,11.0,zero,zero,39.0,one,,
,3.0,two,,zero,zero,47.0,one,26.0,one_zero_zero_one_zero
zero,2.0,two,32.0,zero,two,43.0,one,42.0,
zero,,one,24.0,zero,zero,53.0,one,3.0,zero_zero_zero_one_zero
zero,3.0,two,,,three,59.0,,48.0,
one,,two,25.0,zero,two,,one,10.0,zero_zero_zero_one_zero
,3.0,two,65.0,zero,zero,39.0,one,,zero_zero_zero_one_zero
zero,3.0,one,18.0,zero,zero,39.0,one,18.0,
zero,,,,zero,one,47.0,one,15.0,
,6.0,four,,zero,zero,39.0,one,,
zero,3.0,two,29.0,zero,,47.0,,13.0,
one,,zero,16.0,zero,,39.0,one,6.0,
zero,5.0,zero,12.0,,zero,41.0,one,,
zero,3.0,two,30.0,zero,two,,one,40.0,zero_zero_zero_one_one
one,,,30.0,,two,59.0,one,40.0,zero_zero_zero_one_one
one,2.0,one,44.0,zero,two,,one,28.0,zero_zero_zero_one_one
one,,zero,,zero,,,one,26.0,
zero,3.0,two,27.0,,zero,47.0,one,37.0,
,2.0,one,36.0,,two,,one,26.0,
one,5.0,zero,7.0,zero,,,one,17.0,
zero,1.0,zero,43.0,zero,zero,39.0,,12.0,
one,,two,,zero,,,,31.0,
zero,3.0,,44.0,zero,zero,39.0,one,,
zero,2.0,one,43.0,zero,two,39.0,one,30.0,
one,,three,39.0,zero,,,one,40.0,
zero,2.0,two,25.0,zero,one,47.0,one,35.0,
one,3.0,two,14.0,,one,14.0,one,24.0,zero_one_zero_one_zero
one,0.0,zero,6.0,,one,47.0,one,0.0,zero_one_zero_zero_zero
zero,3.0,zero,,zero,zero,97.0,one,22.0,one_zero_zero_zero_zero
zero,5.0,four,18.0,zero,one,35.0,one,,one_one_zero_one_zero
two,,,9.0,zero,,29.0,one,5.0,zero_zero_zero_zero_zero
zero,2.0,one,13.0,zero,zero,55.0,one,23.0,zero_zero_zero_one_zero
,4.0,three,,zero,three,3.0,one,56.0,
zero,2.0,,8.0,zero,,5.0,one,18.0,zero_zero_zero_zero_zero
,4.0,three,32.0,zero,three,59.0,one,42.0,zero_zero_zero_one_one
zero,2.0,,,zero,one,47.0,one,20.0,zero_zero_zero_zero_zero
one,7.0,zero,11.0,,,23.0,one,12.0,
,2.0,,17.0,,one,47.0,,,
zero,5.0,two,,zero,zero,29.0,one,3.0,
zero,,one,36.0,zero,one,49.0,one,,one_one_zero_one_zero
,3.0,two,31.0,zero,two,59.0,one,1.0,
one,1.0,zero,37.0,,,49.0,one,13.0,
zero,3.0,one,58.0,zero,zero,,one,14.0,one_zero_zero_one_zero
zero,,one,33.0,,zero,39.0,one,41.0,zero_zero_zero_one_zero
zero,4.0,,,zero,,9.0,one,18.0,zero_zero_zero_zero_zero
zero,2.0,one,12.0,zero,zero,24.0,one,22.0,
,2.0,one,17.0,zero,one,43.0,,8.0,zero_one_zero_one_zero
one,,two,33.0,,one,,one,9.0,
zero,1.0,,52.0,zero,,,,40.0,
zero,3.0,two,28.0,zero,one,,one,38.0,one_zero_zero_one_zero
one,4.0,three,41.0,zero,zero,71.0,one,51.0,zero_zero_zero_one_zero
,5.0,four,,zero,zero,,one,10.0,one_zero_zero_one_zero
zero,3.0,,,,zero,39.0,one,,zero_zero_zero_one_zero
one,,zero,,zero,,59.0,,62.0,
zero,,three,30.0,zero,one,39.0,one,40.0,
one,,two,,zero,,,one,55.0,
one,,zero,,zero,,59.0,,1.0,
one,,two,46.0,zero,,,one,12.0,
zero,6.0,,,zero,zero,47.0,one,,one_one_zero_zero_zero
zero,4.0,one,47.0,,zero,47.0,,,
one,3.0,two,24.0,,,,one,19.0,
one,,zero,,zero,two,,one,54.0,
zero,,,11.0,zero,one,39.0,one,12.0,zero_zero_zero_one_zero
,4.0,zero,16.0,zero,zero,47.0,one,,one_zero_zero_zero_zero
,2.0,zero,8.0,zero,one,59.0,one,,
zero,7.0,zero,7.0,zero,one,34.0,one,,zero_zero_zero_zero_zero
zero,3.0,zero,13.0,zero,zero,49.0,one,23.0,one_zero_zero_zero_zero
zero,2.0,two,14.0,zero,zero,39.0,one,10.0,
zero,1.0,,,zero,zero,55.0,one,25.0,one_zero_zero_one_zero
,3.0,two,,zero,one,,one,27.0,
zero,,,30.0,zero,zero,94.0,one,40.0,zero_one_zero_one_one
one,7.0,zero,15.0,zero,,,one,24.0,
,3.0,two,18.0,zero,,,one,4.0,
zero,3.0,two,17.0,zero,zero,39.0,one,27.0,
one,,zero,47.0,zero,,39.0,one,4.0,
,3.0,two,26.0,zero,,39.0,one,30.0,
one,3.0,two,47.0,zero,zero,39.0,one,30.0,
zero,8.0,eight,,zero,zero,39.0,,5.0,
zero,5.0,four,29.0,zero,one,55.0,one,,
zero,1.0,zero,16.0,zero,zero,47.0,one,26.0,
zero,1.0,,52.0,zero,zero,47.0,one,38.0,zero_zero_zero_one_zero
zero,,two,28.0,,two,39.0,one,38.0,
zero,1.0,one,70.0,zero,zero,19.0,zero,80.0,
zero,2.0,two,22.0,zero,one,39.0,one,20.0,zero_one_zero_zero_zero
