AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,DENSITY,EDU,PINCP,PINCP_DECILE,POVPIP,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
66,1,1,0,2,0,2,1,2731.2,9,,9,501,2,2,2,2,45,45
63,2,,,2,0,2,1,,7,,3,501,2,2,2,2,,45
41,2,,,2,2,3,2,2731.2,8,32000,6,155,2,2,2,2,157,
24,2,,0,2,2,3,1,2731.2,7,,2,36,2,,,2,,
61,2,4,,2,0,2,1,2731.2,7,,0,54,2,2,2,2,,
33,2,6,0,2,0,2,1,2731.2,5,,2,54,1,2,2,2,,
65,2,,0,2,0,2,1,2731.2,7,2200,1,105,2,2,2,2,,
19,1,6,0,2,0,,1,2731.2,5,,3,105,,,2,2,245,
63,1,1,0,2,0,,1,,7,17080,4,204,2,2,1,1,59,59
59,2,,,2,0,2,1,2731.2,10,17300,4,204,2,1,,2,,
86,2,3,,1,0,3,1,,5,16700,4,209,2,,2,2,62,62
68,2,,0,1,0,,1,2731.2,10,,4,209,2,2,,2,,62
43,2,6,0,1,0,3,1,2731.2,7,8000,2,209,2,2,,2,,
81,1,2,0,1,0,,1,2731.2,11,17000,4,139,2,2,,2,63,62
57,1,1,0,2,0,3,1,2731.2,9,,8,501,2,2,2,2,49,49
60,2,1,0,2,0,3,1,2731.2,5,,7,501,2,2,2,2,,
35,1,6,,2,0,3,1,2731.2,9,,7,501,,2,2,2,,49
71,1,1,0,2,0,3,1,2731.2,7,34500,6,432,,,2,1,215,215
71,2,,0,2,0,,1,2731.2,5,21200,4,432,2,,,2,,215
49,1,,,2,0,3,1,2731.2,9,30000,5,432,2,2,2,2,326,215
36,2,,0,2,4,5,2,2731.2,4,900,1,3,2,2,2,2,69,
36,1,,0,2,2,4,1,2731.2,9,36200,6,356,2,2,2,2,,185
33,2,1,0,2,2,4,1,2731.2,10,,8,356,2,,2,2,,185
74,1,1,,2,0,2,1,2731.2,5,,8,495,,2,2,2,34,33
68,2,,0,2,0,2,1,2731.2,9,,4,495,2,2,,2,42,
52,1,4,0,2,0,,2,2731.2,7,21000,4,154,2,2,2,2,132,132
51,1,,0,2,0,2,2,,5,5000,2,154,2,,2,2,138,132
72,1,,,2,0,2,1,,7,34500,6,501,2,2,2,2,73,73
72,2,1,,2,0,2,1,2731.2,9,44000,7,501,2,2,,2,87,
28,1,,,8,0,,1,2731.2,1,15000,3,73,,2,2,2,27,27
18,2,,,8,0,,1,2731.2,4,0,0,73,2,2,2,2,,
30,2,,1,3,2,3,2,,4,,2,45,1,2,,2,,
76,1,,,2,0,4,1,2731.2,3,52300,7,244,2,,2,2,97,96
74,2,,,2,0,4,1,2731.2,7,8300,2,244,2,,2,2,118,96
25,2,6,0,2,0,4,1,,5,,1,244,2,,,2,286,
71,1,,0,2,0,,1,2731.2,7,46100,7,239,2,2,2,2,60,61
72,2,,0,2,0,4,1,2731.2,8,8300,2,239,,2,,2,,
40,2,4,0,2,0,4,1,2731.2,10,,2,239,,,2,2,,
45,2,4,,2,0,,2,2731.2,7,30000,5,186,2,2,2,2,,121
19,1,6,0,2,0,2,2,,7,1400,1,186,2,,,2,134,
30,2,6,0,2,2,3,2,2731.2,8,29700,5,145,2,2,2,2,224,
57,1,,0,2,0,2,1,2731.2,7,,0,81,,,2,2,,154
59,1,6,0,2,0,2,1,2731.2,5,13700,3,81,,2,2,2,163,154
87,2,3,0,1,0,2,1,2731.2,4,,3,202,1,1,2,1,,123
62,1,4,0,1,0,,1,,5,18000,4,202,,2,2,1,130,123
62,2,,0,2,0,,1,2731.2,5,15000,3,332,,,2,2,136,
29,1,6,,2,0,2,1,2731.2,5,41600,7,332,2,2,2,2,291,136
48,2,1,,2,0,,2,,8,56000,8,409,2,2,2,2,,
60,1,1,0,2,0,2,2,,5,13500,3,409,2,,,2,147,
74,2,3,,2,0,,1,2731.2,8,,4,412,,2,2,2,,55
45,2,4,0,2,0,2,1,2731.2,7,,7,412,,,,2,88,
56,1,,0,2,2,5,2,,6,140000,9,500,2,2,2,2,264,265
42,2,,0,1,2,5,2,,4,8700,2,500,2,1,,2,261,265
17,1,6,,2,2,5,2,,4,,1,500,1,2,1,2,397,265
15,1,6,,2,2,5,2,2731.2,3,0,0,500,,2,2,2,396,
17,2,,0,2,2,5,2,2731.2,4,,1,500,2,2,,2,253,265
42,2,1,,2,0,3,2,,5,8400,2,248,1,,,2,81,81
44,1,1,0,2,0,,2,2731.2,5,25900,5,248,2,,2,2,94,81
20,2,,0,2,0,3,2,,5,14700,3,248,1,2,2,2,103,
62,2,,0,2,0,3,1,,8,,3,160,,,2,2,44,44
44,2,3,,2,0,3,1,2731.2,7,10000,2,160,2,,,2,58,
62,2,6,,2,0,,1,2731.2,8,,3,160,2,,2,2,,44
29,2,,0,2,2,4,2,2731.2,1,2500,1,19,,2,,2,200,
37,1,1,0,2,2,4,2,2731.2,1,2500,1,19,2,1,2,2,105,200
70,1,,,2,0,,1,2731.2,11,198000,9,501,,,2,2,97,97
64,2,1,0,2,0,2,1,,10,14000,3,501,2,2,2,2,,97
68,2,,,2,0,3,1,2731.2,5,,6,254,,2,,2,199,
50,1,5,0,2,0,3,1,,5,16000,4,254,2,2,2,2,,199
55,2,1,,2,0,,1,2731.2,9,57100,8,314,2,,,2,66,
63,1,1,0,2,0,,1,2731.2,5,4800,2,314,,,,2,,66
25,1,6,,2,0,3,1,2731.2,1,,0,314,1,,,2,,66
41,2,6,0,2,1,,2,2731.2,4,31900,6,158,1,2,2,2,41,
19,2,,0,2,1,3,2,,4,270,1,158,2,2,,2,53,
17,1,,,2,1,,2,,5,0,0,158,2,2,2,2,55,40
49,1,,0,2,0,2,2,,5,30000,5,219,2,2,2,2,665,665
49,2,1,0,2,0,,2,,5,7200,2,219,2,2,,2,750,
70,1,,,2,0,3,1,2731.2,7,19000,4,297,,,2,2,,
68,2,1,,2,0,3,1,2731.2,5,14400,3,297,2,2,,2,,69
70,1,4,0,2,0,,1,2731.2,7,25900,5,297,2,2,2,2,,69
68,2,,0,2,0,,1,2731.2,5,10000,2,81,1,1,2,2,79,
38,2,,0,2,2,3,2,,9,19500,4,96,2,2,2,2,105,105
62,1,1,0,2,0,2,1,2731.2,7,0,0,92,,,2,2,,189
63,2,1,0,2,0,,1,,8,15600,4,92,2,2,,2,,
61,2,4,0,2,0,,1,2731.2,8,24200,5,174,2,2,2,2,,48
41,2,4,0,2,0,5,1,2731.2,8,,5,174,1,,2,2,65,48
18,1,6,0,2,0,5,1,2731.2,5,,1,174,,2,,2,91,
36,1,4,,2,4,5,2,2731.2,7,71000,8,238,2,2,2,2,334,335
17,1,6,0,2,4,5,2,,4,0,0,238,,,2,2,386,
63,1,1,0,2,0,2,1,2731.2,5,28700,5,228,2,2,2,2,76,76
62,2,1,0,2,0,,1,2731.2,5,,3,228,,1,,2,72,76
80,2,,0,2,0,,1,,8,,3,271,2,2,2,2,58,58
81,1,1,0,2,0,2,1,2731.2,8,26900,5,271,2,1,2,1,33,58
59,2,4,,2,0,,1,,10,58150,8,358,2,,2,2,,38
23,1,6,0,2,0,2,1,2731.2,7,,1,358,2,2,,2,,
53,1,,0,2,0,,1,2731.2,7,0,0,0,2,2,2,2,,38
23,1,6,0,2,0,2,1,,7,,0,0,2,,2,2,,
30,2,,0,2,1,2,1,,5,0,0,0,2,,2,2,183,183
53,1,4,0,2,0,,2,,8,9300,2,54,2,1,2,2,185,
35,2,,0,2,0,,2,,8,0,0,54,2,2,,2,170,
