AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,DENSITY,EDU,PINCP,PINCP_DECILE,POVPIP,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
66,1,1,0,2,0,,1,2731.2,9,283500,9,501,2,2,2,2,45,
63,2,1,0,,,2,1,,7,11000,3,501,2,,,2,50,45
41,2,5,0,2,2,3,2,2731.2,,32000,6,155,2,2,2,2,157,157
24,2,6,,2,2,3,1,2731.2,7,,,36,2,,2,,588,
61,2,4,0,,0,2,1,2731.2,7,,0,54,2,2,,2,48,48
33,,,0,2,0,2,,2731.2,5,9300,2,54,1,,2,,53,48
65,,6,0,2,0,,1,2731.2,,2200,1,,2,2,2,2,,140
19,1,,0,2,0,,1,,5,14000,,,2,2,2,2,245,
63,1,1,0,2,0,2,1,,7,17080,4,204,,2,1,1,59,59
59,2,1,0,2,0,2,,2731.2,10,17300,,204,2,1,2,,56,59
86,,3,0,1,,3,1,,5,16700,4,209,2,,2,2,,62
68,2,2,0,1,0,,1,2731.2,10,16800,4,209,2,2,2,,69,62
43,2,6,0,1,,3,1,2731.2,7,8000,2,209,2,,2,,81,62
81,1,2,0,1,0,,1,2731.2,11,,,139,2,,2,2,63,62
57,1,1,,2,0,,1,,9,57000,8,501,2,2,,2,49,49
,2,,,2,0,3,,2731.2,5,51000,7,501,2,2,2,2,49,49
35,,6,,2,0,,1,2731.2,9,,,501,,2,2,,70,49
71,1,1,0,2,,3,1,2731.2,7,34500,6,432,2,2,2,1,215,215
71,2,1,0,2,0,3,,2731.2,5,21200,4,432,2,2,2,2,257,215
,1,5,0,2,0,3,,2731.2,9,30000,5,432,2,,2,,326,215
36,,5,0,,4,,2,,4,900,1,3,,2,,2,69,70
36,1,1,0,2,2,4,1,2731.2,9,,6,356,2,2,2,2,184,185
33,2,1,,2,2,4,1,,10,54600,,356,2,2,,2,127,185
74,1,1,0,2,0,2,1,2731.2,5,,8,495,2,,2,2,34,33
68,2,,0,2,0,,1,2731.2,9,15600,4,495,,2,2,2,42,33
,1,4,,2,0,2,2,2731.2,7,21000,4,154,,2,2,2,132,132
51,1,6,0,2,0,2,2,2731.2,,,2,154,2,,2,,138,132
72,1,1,0,2,,2,1,2731.2,7,34500,6,501,2,2,2,2,73,73
72,2,1,0,,,2,1,2731.2,9,44000,7,501,2,2,,2,87,73
28,1,6,,8,,3,1,2731.2,1,15000,,,2,2,2,,27,27
18,2,6,4,8,0,,1,2731.2,,0,0,73,2,2,2,2,43,27
30,2,6,1,3,2,3,,2731.2,4,9300,2,45,1,2,,,61,61
76,,1,0,,0,4,1,2731.2,3,52300,7,244,2,1,2,2,,96
74,2,1,0,2,0,,1,,7,8300,2,244,2,2,2,2,118,96
,2,6,0,,0,4,,2731.2,5,4000,1,,2,2,2,2,286,96
71,1,1,0,,0,4,1,2731.2,7,,7,239,2,2,2,,60,61
,,1,0,2,0,4,,2731.2,8,8300,2,239,2,2,2,2,71,
40,2,4,0,,0,4,1,2731.2,10,9000,2,,2,2,2,2,81,61
45,2,4,0,,0,2,2,2731.2,7,30000,,186,2,2,2,,120,121
19,1,,0,2,,2,2,,7,1400,,186,,2,2,,134,121
30,2,6,,2,2,3,,2731.2,8,,5,145,2,2,2,2,224,224
57,1,,0,2,0,2,1,2731.2,,0,,81,2,2,2,2,153,154
59,,6,0,2,0,2,1,,5,,3,81,,,2,2,163,154
87,2,,0,1,0,2,1,2731.2,4,,,202,1,1,2,1,122,123
62,1,4,0,1,0,2,,2731.2,,18000,4,202,2,2,2,1,130,
62,2,2,0,,0,2,,2731.2,5,15000,3,332,2,2,2,2,136,136
29,1,,0,,0,,1,,5,41600,7,332,,2,2,,291,136
48,2,1,,2,0,2,2,2731.2,8,56000,8,409,,2,2,2,252,252
60,1,1,0,,0,2,2,,5,13500,3,409,,2,,2,,252
74,2,,,2,0,2,1,2731.2,,,4,412,2,2,,,55,55
,2,4,0,2,0,2,,2731.2,7,46800,,,2,2,,2,88,
,1,1,0,2,2,5,,,6,140000,9,500,,2,2,2,,265
42,2,,0,,,5,,2731.2,,,2,500,2,1,2,2,261,265
17,1,6,,2,2,5,2,2731.2,4,1200,1,500,1,2,1,,397,
15,1,6,0,2,2,,2,2731.2,3,,0,500,1,,2,2,396,
,2,,0,2,2,,2,,,1100,1,,2,,2,2,253,265
,2,1,0,2,0,3,,,5,8400,,248,1,,,2,81,
44,1,,0,,0,3,2,2731.2,5,25900,5,,2,,2,2,94,81
20,2,6,0,2,0,3,2,2731.2,5,14700,3,248,1,2,2,2,103,81
62,2,3,0,2,0,3,1,2731.2,8,,3,160,2,2,2,2,44,
,2,,0,2,0,3,,2731.2,7,,2,160,2,2,2,2,58,44
62,2,,0,2,0,3,1,,,10400,3,160,2,2,,2,46,44
29,2,1,0,2,2,4,2,2731.2,1,,1,19,1,2,1,2,,200
37,1,1,0,,2,4,2,2731.2,1,,1,19,2,1,2,2,,200
70,1,1,0,2,0,2,1,2731.2,,198000,9,,2,2,2,2,,97
64,2,1,0,2,0,,1,2731.2,10,,,501,2,2,2,2,108,
68,,6,0,2,,3,1,2731.2,5,35500,6,254,2,2,,2,199,
50,1,,0,,0,3,1,2731.2,5,16000,4,254,2,,2,,289,199
55,2,1,0,2,0,3,1,2731.2,9,57100,8,314,2,2,2,,66,66
63,,1,0,2,0,3,1,2731.2,5,4800,2,,,2,2,2,65,66
25,1,6,0,,0,3,,2731.2,1,0,0,314,1,2,2,,,66
,2,,0,2,,3,2,2731.2,,31900,,,1,2,2,2,41,40
,2,6,,,1,,2,2731.2,4,270,1,158,,,2,2,53,
17,1,6,0,2,1,3,2,2731.2,5,0,0,,2,2,,,55,40
49,1,1,0,,,2,2,2731.2,5,30000,,219,,2,2,2,665,665
49,,1,0,2,0,2,2,2731.2,5,7200,2,219,,2,2,2,750,665
70,,1,0,,0,3,,,7,,4,297,2,2,,2,68,69
68,2,1,0,,0,3,,2731.2,5,,3,297,2,2,2,2,,
70,1,4,0,2,,3,1,2731.2,7,,,297,2,2,2,,64,69
68,2,6,0,2,0,3,1,2731.2,5,,2,,1,1,,2,79,
38,2,6,,2,,3,2,2731.2,9,19500,4,96,2,2,2,2,,105
62,,1,,2,0,2,1,,7,,0,92,2,2,2,2,190,
63,,1,,2,0,,1,2731.2,8,15600,4,92,2,,2,2,183,189
61,2,4,0,2,,5,1,2731.2,8,24200,5,174,2,2,2,2,47,48
41,2,4,0,2,0,,,2731.2,8,27500,5,174,1,2,2,2,65,48
18,1,6,0,2,,5,1,2731.2,5,2600,1,174,2,2,2,2,91,48
36,1,4,,,4,5,2,2731.2,7,71000,8,238,2,2,2,2,334,335
,1,,0,2,4,5,,2731.2,4,0,,238,2,2,2,2,386,335
63,1,1,,,0,2,1,2731.2,5,,5,,2,2,2,2,76,76
,2,1,0,2,,2,1,2731.2,5,10200,3,228,2,1,1,2,72,76
,2,1,0,2,0,2,1,2731.2,8,,3,271,2,2,2,2,58,58
81,1,1,0,2,0,2,1,,8,,5,271,2,,2,1,33,58
59,,4,0,2,0,2,1,,10,58150,8,358,2,,2,2,38,38
23,1,,0,2,0,2,1,,7,3000,1,,2,2,2,2,83,
53,1,4,0,2,0,2,1,2731.2,7,0,0,0,,2,2,,61,38
23,1,,0,2,0,2,1,2731.2,7,0,0,0,2,2,,2,,
30,2,,0,2,1,,,2731.2,5,0,,,2,1,,,183,183
53,1,4,0,2,0,,2,2731.2,8,,,54,,1,2,2,185,
35,,6,0,2,0,,2,2731.2,,0,0,54,,2,2,2,,186
28,1,1,0,1,0,2,1,2731.2,8,10000,,,2,,,2,,129
,2,1,4,1,,2,1,2731.2,7,,2,,,2,,2,110,129
,1,,,,0,2,1,2731.2,5,,4,150,2,2,2,2,118,129
,1,6,0,,,2,1,2731.2,7,7500,2,,2,2,2,2,,129
64,2,4,,2,0,2,1,2731.2,,27000,,347,2,2,,2,129,130
39,1,6,,2,0,,,2731.2,9,32000,6,347,2,2,2,2,205,130
44,1,,0,2,0,3,2,2731.2,4,9300,2,,2,2,2,2,150,150
32,2,6,,,0,3,2,2731.2,5,0,0,61,2,2,2,2,114,
48,1,6,0,2,,,,2731.2,5,2800,1,61,2,2,,2,152,150
64,2,4,0,2,0,,1,,9,60000,,501,2,2,2,2,124,123
27,1,6,0,2,0,,1,2731.2,5,41600,,501,2,2,2,,267,
77,,1,0,1,0,,1,2731.2,7,40100,7,394,2,2,,2,117,118
82,1,1,0,,0,4,1,2731.2,6,15500,4,,1,,,,,
75,1,6,,1,0,4,1,2731.2,5,9100,2,394,1,,2,2,104,
64,2,6,0,1,0,4,1,2731.2,9,39000,6,,2,2,2,2,111,118
33,2,,0,,2,3,2,2731.2,5,0,0,0,2,2,1,2,135,134
31,2,5,0,2,2,5,1,2731.2,7,23900,5,,2,2,2,2,74,74
48,2,4,0,2,2,,1,2731.2,7,30900,6,259,,,2,,122,74
71,,3,0,,2,,1,2731.2,,25900,5,259,2,2,2,2,63,74
,2,6,0,2,0,2,2,,,,,137,1,2,2,2,63,
20,1,6,0,2,0,,2,2731.2,7,14100,3,137,2,,2,2,106,63
,2,4,,2,,2,,,8,36600,6,211,1,2,1,2,60,60
,,6,0,2,1,2,1,2731.2,4,49000,7,372,2,2,2,,68,60
,,6,0,2,1,2,,2731.2,4,300,1,211,2,2,2,2,45,
30,2,2,0,2,1,2,2,2731.2,9,5600,2,32,2,2,2,2,389,389
,,1,0,2,0,2,1,2731.2,7,21000,4,277,2,2,2,2,439,
69,1,,0,,0,2,1,,5,26400,5,277,,2,2,2,262,439
70,2,1,0,1,0,2,1,2731.2,,41400,7,452,,2,2,2,41,41
,1,,,1,0,2,1,2731.2,5,27600,5,452,2,1,2,,37,41
41,2,6,0,2,1,,,2731.2,,31500,6,180,2,2,,2,164,164
17,,6,0,2,1,2,2,2731.2,4,0,0,,2,,2,2,226,164
49,2,6,0,1,,2,1,2731.2,,,1,,1,2,,2,57,58
84,,,,1,0,,1,2731.2,,,1,27,2,,2,2,39,58
49,1,1,4,1,0,2,1,2731.2,5,33600,6,199,2,2,2,,238,238
45,2,1,4,1,,2,1,,5,0,0,199,2,2,,2,,238
59,1,1,,,0,,1,2731.2,7,0,0,0,2,2,2,2,35,35
59,2,1,0,,0,,1,2731.2,7,0,0,0,2,,2,2,34,35
56,2,6,0,8,0,3,1,2731.2,5,0,0,0,2,2,2,2,32,35
93,,3,,,0,,,2731.2,5,16800,4,110,1,1,1,1,,341
22,,6,0,2,0,,1,2731.2,5,0,0,110,2,2,2,2,510,341
72,2,,,2,0,,1,2731.2,10,54400,,501,,,2,2,83,
75,,1,0,2,0,2,1,2731.2,9,74200,,501,,,2,2,62,83
69,2,1,0,2,0,2,,2731.2,7,57000,,466,2,1,2,2,,78
69,,1,,2,0,2,1,2731.2,7,,3,466,2,,2,,,
,1,,0,2,0,2,2,2731.2,7,15000,3,146,2,,2,2,104,105
73,1,6,0,2,0,2,2,2731.2,,9700,2,146,1,,1,2,95,
62,1,,0,2,,2,2,2731.2,5,11300,3,138,1,1,,,,118
69,2,,0,2,0,2,2,2731.2,5,12000,3,138,2,2,,2,134,118
70,1,3,0,2,0,4,2,2731.2,5,1200,1,25,2,1,2,,126,
29,,,0,,,4,2,2731.2,,5300,2,,1,1,,,421,
73,1,1,0,2,0,8,1,2731.2,4,19200,,,2,2,,2,37,36
69,2,1,0,,0,8,1,,7,12600,3,129,2,2,2,2,44,36
51,2,,0,,0,8,,2731.2,9,8200,2,129,2,2,2,2,54,36
,2,6,0,2,0,8,1,2731.2,7,8000,2,,2,2,2,2,61,36
16,1,6,,2,0,8,1,2731.2,4,0,0,129,,2,2,2,,36
15,1,6,0,2,0,8,1,,4,9000,2,129,2,2,2,2,65,36
27,2,6,,2,,3,1,,9,,2,49,2,2,2,2,215,214
63,,4,0,2,0,,1,2731.2,9,0,0,,2,2,2,,,214
63,2,4,,2,0,3,1,2731.2,9,820,1,,2,1,2,2,83,214
27,2,6,0,2,0,3,1,2731.2,,,,228,2,2,2,2,,
57,2,1,0,2,0,3,1,2731.2,7,30000,5,382,2,2,2,2,120,120
,1,1,0,2,0,3,1,2731.2,7,27400,5,382,2,2,2,2,,
,,6,0,,0,,,2731.2,7,18000,4,382,,,2,2,226,
57,2,1,0,1,0,2,2,2731.2,,26700,,181,2,1,2,1,85,
62,1,1,0,1,0,2,2,,5,3800,1,181,2,2,1,,80,85
77,,4,,2,0,2,2,2731.2,8,30800,6,201,2,2,2,2,86,86
33,2,6,0,2,0,,2,2731.2,5,0,0,201,2,,2,2,68,86
59,2,1,0,2,0,3,1,2731.2,8,0,0,181,2,2,2,2,156,155
60,1,1,0,2,0,3,,2731.2,5,,1,181,,2,2,2,153,155
30,1,6,0,2,,3,1,2731.2,9,,,181,,2,2,2,257,155
64,,,0,2,,2,1,2731.2,9,63600,8,501,2,1,,2,,
64,1,1,0,2,0,2,1,2731.2,5,53000,7,501,2,1,2,2,170,175
