AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,DENSITY,EDU,PINCP,PINCP_DECILE,POVPIP,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
66,,,0,,0,2,1,2731.2,9,283500,9,501,,,2,2,,
63,2,,,,0,2,1,2731.2,7,11000,3,,,2,2,2,50,45
,2,5,0,2,2,3,2,,8,32000,,155,,2,,2,157,157
24,2,6,0,,2,3,,,,7400,,36,2,2,2,2,588,589
61,2,,0,2,,2,1,2731.2,7,0,0,,2,2,2,,48,48
33,2,6,,,0,2,,2731.2,5,9300,2,54,1,,2,2,53,48
,2,6,0,2,,2,1,2731.2,7,2200,1,105,2,,,2,141,140
19,1,6,0,,0,2,,2731.2,5,14000,3,105,,2,2,2,245,140
63,1,1,0,2,0,2,,2731.2,7,17080,4,204,,2,,1,59,59
59,2,,0,2,0,2,,,10,17300,4,204,2,1,,2,56,59
86,2,,,1,0,3,,2731.2,5,16700,4,,2,,,2,62,62
68,2,2,0,1,,,1,2731.2,10,16800,4,209,2,,2,2,69,62
43,2,6,0,1,0,,,2731.2,,,2,209,2,2,,2,81,62
,,2,0,1,,3,1,,,,4,139,2,2,2,2,63,62
57,1,1,,2,0,3,1,2731.2,9,57000,8,,2,2,2,2,,49
,2,1,0,2,0,3,1,,5,51000,7,501,2,,2,2,49,49
35,,6,0,2,,3,1,2731.2,9,50000,7,501,2,2,2,2,70,49
71,1,1,0,2,,3,1,2731.2,,34500,6,432,2,2,2,1,,
,2,1,0,,,3,1,2731.2,5,21200,4,,2,2,2,2,257,215
,1,,0,2,0,3,1,,9,30000,,432,2,2,,2,326,215
36,,5,0,2,,5,2,2731.2,4,900,1,3,,2,2,2,69,70
,,,0,2,2,4,1,2731.2,9,36200,6,356,2,,2,,184,185
33,2,1,0,2,2,4,1,,10,54600,,356,2,2,2,,127,185
,1,1,0,2,0,2,1,2731.2,5,60800,8,495,2,2,,2,34,33
,2,1,0,2,0,2,1,2731.2,9,15600,4,,,2,2,2,42,
52,1,4,0,,0,2,2,2731.2,7,21000,4,154,2,2,2,2,132,132
51,1,,0,2,0,2,2,,,5000,2,154,2,,,2,,
,1,1,,2,0,2,1,2731.2,,34500,6,,,2,,2,73,73
72,2,,,2,,,1,,,44000,7,501,2,2,2,2,,73
,1,6,,,0,3,1,2731.2,1,15000,,,2,2,2,2,27,
18,2,6,4,8,0,3,1,2731.2,,0,,73,2,2,2,,43,27
30,2,6,,,2,,2,2731.2,4,9300,2,45,1,,,2,61,61
76,1,1,,,0,,,2731.2,3,52300,7,,2,1,,2,97,96
,2,,0,2,0,4,1,2731.2,7,,2,,2,2,2,2,118,96
25,2,,0,2,,4,,2731.2,5,4000,1,244,2,2,2,2,286,96
71,1,1,0,2,0,4,1,2731.2,7,46100,7,239,2,2,2,2,60,
,2,1,,2,0,4,1,,,8300,2,,,2,,2,71,61
40,2,4,0,2,,,1,2731.2,,,,,2,2,2,2,,61
